"List of IIMs","Year of Establishment","NIRF MBA Ranking 2022"
"Indian Institute of Management Ahmedabad","1961","1"
"Indian Institute of Management Calcutta","1961","3"
"Indian Institute of Management Bangalore","1973","2"
"Indian Institute of Management Lucknow","1984","6"
"Indian Institute of Management Indore","1996","7"
"Indian Institute of Management Kozhikode","1997","5"
"Indian Institute of Management Shillong","2008","26"
"Indian Institute of Management Rohtak","2009","16"
"Indian Institute of Management Udaipur","2009","22"
"Indian Institute of Management Ranchi","2010","15"
"Indian Institute of Management Raipur","2010","14"
"Indian Institute of Management Kashipur","2011","23"
"Indian Institute of Management Tiruchirappalli","2011","18"
"Indian Institute of Management Visakhapatnam","2015","33"
"Indian Institute of Management Amritsar","2015","55"
"Indian Institute of Management Nagpur","2015","43"
"Indian Institute of Management Bodh Gaya","2015","73"
"Indian Institute of Management Sirmaur","2015","67"
"Indian Institute of Management Sambalpur","2015","66"
"Indian Institute of Management Jammu","2016","36"
