Author,Documents,h-index,Affiliation,City,Country/Territory
"Kv, Ramani",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Lahiri, Sandeb",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Lmhiri, Somdeb",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Lone, Aashiq Hussian",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Madhavan, T.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Madhavan, T.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mahanta, Hiranmay",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Maheshwari, Mridul",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Majilla, Tanmoy",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Malek, Imran",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mavalankar, Dv",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Meena, Tarun",1.0,1.0,Yale University,New Haven,United States
"Mehandiratta, Sweta",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mishra, Abinash",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mishra, Akashdeep",1.0,0.0,Indira Gandhi Inst,Mumbai,India
"Mishra, Prabhat Kumar",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Misra, P. N.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mohan, L.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mohan, Neeraj",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mukerji, Aditya",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mukherjee, Debdatta",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mukherjee, Jayant",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Mukul, Kumar",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Murthy, N.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Namboodiri, Vishnu N.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Narayanan, M.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Navik, Viral",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"P Oornachandra R Ao, P.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Padia, Veena",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Pandey, Ashok Kumar",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Pandey, Avinash",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Pandey, Sandeep",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Pandit, Anuradha",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parakh, Kritika",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Paranjape, Avinash",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parekh, Sandeep P.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parekh, Sandeep",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parhi, Sampanna",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parikh, Darshan",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parikh, V. C.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Parmar, Ashis Jalote",1.0,1.0,Ahmedabad University,Ahmedabad,India
"Parmar, M.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Patel, H.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Patel, I. G.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Patel, Kalpesh",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Patel, Nitin R.",1.0,1.0,University of Pittsburgh,Pittsburgh,United States
"Patel, Sureshchandra R.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Pathak, Swati",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Phansalkar, S. J.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Poonawala, Sakina H.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Prabhakar, A. S.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Prakash, T. N.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Prasad, Ashita",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Preeta, Vyas",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Priya, Ritwick",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Purohit, Siddharth M.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Puroshotham, P.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Purushotham, P.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Puvar, Tapasvi",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Puwar, Tapaswi",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Raghavachari, M.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rahaman, Wasim",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rai, Aditi",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Ram, Bhagwat",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Ram, Mohan M.P.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Ramakrishnan, T. S.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Raman, Charanya",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Raman, M.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Ranade, C. G.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rangarajan, C.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rangarajan, T.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rao, P. Poornachandra",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rao, T. P.Rama",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rao, T. V.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rao, T. V.",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rao, V. Venkata",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Ravikumaran, Vasudha",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Rohit, P.",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Sahu, Balram",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Saini, Lakshya Singh",1.0,0.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
"Sarrion, Miguel",1.0,1.0,Indian Institute of Management Ahmedabad,Ahmedabad,India
