Author,Documents,h-index,Affiliation,City,Country/Territory
"Sindhwani, Rahul",50.0,16.0,Indian Institute of Management Amritsar,Amritsar,India
"Ramamoorthy, Nagarajan  Ramamoorty, Nagarajan   Ramamoorthy, N.",20.0,12.0,Indian Institute of Management Amritsar,Amritsar,India
"Kaushik, Arun Kumar  Kaushik, Arun K.",19.0,10.0,Indian Institute of Management Amritsar,Amritsar,India
"Asokan-Ajitha, Aswathy  Aswathy, Asokan A.   Aswathy Asokan, A.   Aswathy, Asokan Ajitha   Ajitha, Aswathy Asokan   Asokan Ajitha, Aswathy",13.0,4.0,Indian Institute of Management Amritsar,Amritsar,India
"Gupta, Mahima",10.0,4.0,Indian Institute of Management Amritsar,Amritsar,India
"Arora, Swapan Deep",8.0,4.0,Indian Institute of Management Amritsar,Amritsar,India
"Kumar, Mukesh",8.0,3.0,Indian Institute of Management Amritsar,Amritsar,India
"Jagadale, Sujit Raghunathrao",6.0,3.0,Indian Institute of Management Amritsar,Amritsar,India
"Singh, Gurbir  Singh, Gubir",6.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Singh, Sweta",6.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Majhi, Siddharth Gaurav",5.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Tripathi, Divya",5.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Asokan-Ajitha, Aswathy  Asokan Ajitha, Aswathy",4.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Kumar, Ranjan",4.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Sharma, Ankit",4.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Sharma, Udayan",4.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Vatavwala, Sanket",4.0,3.0,Indian Institute of Management Amritsar,Amritsar,India
"Chakraborty, Shuvabrata",3.0,2.0,Indian Institute of Management Amritsar,Amritsar,India
"Dutta, Vartika",2.0,1.0,Indian Institute of Management Amritsar,Amritsar,India
"Gupta, Amit",2.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Gupta, Rajeev",2.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Kommu, Ravishankar Venkata  Kommu, Ravishankar V.",2.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Mohan, Geetha",2.0,1.0,Indian Institute of Management Amritsar,Amritsar,India
"Sharma, Ankit",2.0,1.0,Indian Institute of Management Amritsar,Amritsar,India
"Srivastava, Jagriti",2.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Chakraborty, Shuvabrata",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Gupta, Mahima",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Komera, Surender Rao",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Kumar Kaushik, Arun",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Sharma, Shubham",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Singh, Dilbag",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Singh, Pavneet",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
"Tiwari, Santosh Kumar",1.0,0.0,Indian Institute of Management Amritsar,Amritsar,India
