Author,Documents,h-index,Affiliation,City,Country/Territory
"Krishnamurthy, Ananth  Krishnamurthy, A.",91.0,20.0,Indian Institute of Management Bangalore,Bengaluru,India
"Ghosh, Pulak",64.0,17.0,Indian Institute of Management Bangalore,Bengaluru,India
"Das, Gopal",52.0,18.0,Indian Institute of Management Bangalore,Bengaluru,India
"De’, Rahul  Dé, Rahul   De', Rahul   De, Rahul",49.0,13.0,Indian Institute of Management Bangalore,Bengaluru,India
"Chanda, Rupa  Chanda, R.",45.0,9.0,Indian Institute of Management Bangalore,Bengaluru,India
"Mishra, Sushanta Kumar  Mishra, Sushanta   Mishra, Sushanta K.",44.0,12.0,Indian Institute of Management Bangalore,Bengaluru,India
"Hazra, Jishnu",41.0,10.0,Indian Institute of Management Bangalore,Bengaluru,India
"Dinesh Kumar, U.  Kumar, U. Dinesh   Kumar, U. D.",40.0,11.0,Indian Institute of Management Bangalore,Bengaluru,India
"Kulkarni, Mukta V.  Kulkarni, Mukta",38.0,18.0,Indian Institute of Management Bangalore,Bengaluru,India
"Saranga, Haritha  Saranga, H.",35.0,20.0,Indian Institute of Management Bangalore,Bengaluru,India
"Banerjee, Ritwik",34.0,11.0,Indian Institute of Management Bangalore,Bengaluru,India
"Manimala, Mathew James  Manimala, Mathew J.   MANIMALA, MATHEW J.",34.0,8.0,Indian Institute of Management Bangalore,Bengaluru,India
"Shainesh, Gangadharan  Shainesh, G.",34.0,9.0,Indian Institute of Management Bangalore,Bengaluru,India
"Tirupati, Devanath  TIRUPATI, DEVANATH   Tirupati, D.",34.0,16.0,Indian Institute of Management Bangalore,Bengaluru,India
"Das, Debojyoti",32.0,17.0,Indian Institute of Management Bangalore,Bengaluru,India
"Desai, Jitamitra  Desai, J.",31.0,10.0,Indian Institute of Management Bangalore,Bengaluru,India
"Jain, Tarun  Jain, Tarnn",31.0,8.0,Indian Institute of Management Bangalore,Bengaluru,India
"Mahadevan, B.  Mahadevan, B.   Mahadevan, Balasubramanian",28.0,13.0,Indian Institute of Management Bangalore,Bengaluru,India
"Basu, Sankarshan  Basu, S.   Prof, Sankarshan Basu",26.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Krishna, S.",25.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"George, Rejie P.  George, Rejie",24.0,13.0,Indian Institute of Management Bangalore,Bengaluru,India
"Srinivasan, Vasanthi  Srinivasan, V.",24.0,9.0,Indian Institute of Management Bangalore,Bengaluru,India
"Murthy, Ishwar  Murthy, I.",23.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Ojha, Abhoy Kumar  Ojha, Abhoy   Ojha, Abhoy K.",23.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Srinivasan, R.",22.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Bandi, Rajendra K.  Rajendra, Bandi",21.0,3.0,Indian Institute of Management Bangalore,Bengaluru,India
"Kanagal, Nagasimha Balakrishna",21.0,0.0,Indian Institute of Management Bangalore,Bengaluru,India
"Diatha, Krishna Sundar  Sundar, D. Krishna   Sundar, Diatha Krishna   Sundar, Diatha K.   Diatha, K. S.",20.0,5.0,Indian Institute of Management Bangalore,Bengaluru,India
"Sapra, Amar",20.0,5.0,Indian Institute of Management Bangalore,Bengaluru,India
"Shekar, B.",20.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Bhatia, Jagdish C.  Bhatia, Jagdish   Bhatia, J. C.   Bhatia, J.",19.0,10.0,Indian Institute of Management Bangalore,Bengaluru,India
"Satish, Sathyanarayana  Satish, Satyanarayana   Satish, S.",19.0,9.0,Indian Institute of Management Bangalore,Bengaluru,India
"Prabhu, Ganesh N.",18.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Raghuram, G.",18.0,4.0,Indian Institute of Management Bangalore,Bengaluru,India
"Thampy, Ashok",18.0,3.0,Indian Institute of Management Bangalore,Bengaluru,India
"Kamath, Rajalaxmi",17.0,5.0,Indian Institute of Management Bangalore,Bengaluru,India
"Bhattacharyya, Malay  Bhattachharyya, Malay",16.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Damodaran, Appukuttan Nair  Damodaran, A.   Damodaran, Appukuttan",16.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Suchitra, J. Y.",16.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Badrinath, Swaminathan G.  BADRINATH, S. G.   Badrinath, S. G.",15.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Bhullar, Naureen  Bhullar, N.",15.0,5.0,Indian Institute of Management Bangalore,Bengaluru,India
"Nagadevara, Vishnuprasad S.S.V.  Nagadevara, V.   Nagadevara, Vishnuprasad   Nagadevara, V. S.S.V.",15.0,4.0,Indian Institute of Management Bangalore,Bengaluru,India
"Subramanian, Chetan",15.0,2.0,Indian Institute of Management Bangalore,Bengaluru,India
"Ramachandran, J.",14.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Tripathi, Ritu",14.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Agrawal, Narendra M.  Agrawal, N. M.",13.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Bhat, Jyoti M.  Bhat, Jyoti",13.0,5.0,Indian Institute of Management Bangalore,Bengaluru,India
"Naik, Gopal",13.0,6.0,Indian Institute of Management Bangalore,Bengaluru,India
"Panchapagesan, Venkatesh  Panchapagesan, Venky",13.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Patibandla, Murali",13.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
