Author,Documents,h-index,Affiliation,City,Country/Territory
"Saha, Debashis  Saha, Debashish   Saha, Debasish   Saha, D.",194.0,16.0,Indian Institute of Management Calcutta,Kolkata,India
"Mukerjee, Rahul  Mukerjeeb, Rahul   MUKERJEE, RAHUL   Mukerjee, R.   Mukerjee, Ruhal",185.0,22.0,Indian Institute of Management Calcutta,Kolkata,India
"Dasgupta, Partha Sarathi  Dasgupta, P. S.   Dasgupta, Parthasarathi   Dasguptat, Parthasarathi   Dasgupta, P.   Dasgupta, Parthsarathi   Dasgupta, Parthasarthi   DasGupta, Parthasarathi   Dasgupta, Partha S.",88.0,10.0,Indian Institute of Management Calcutta,Kolkata,India
"Mitra, Subrata Kumar  Mitra, Subrata   Kumar Mitra, Subrata   Mitra, Subrata K.   Mitra, S.   Mitra, Subrat Kumar   Mitra, S. K.",85.0,22.0,Indian Institute of Management Calcutta,Kolkata,India
"Bandyopadhyay, Somprakash N.  Bandyopadhyay, Somprokash   Bandyopadhyay, S. N.   Bandyopadhyay, Somprakash   Bandyopadhyay, S.",82.0,18.0,Indian Institute of Management Calcutta,Kolkata,India
"Singh, Ramendra",59.0,16.0,Indian Institute of Management Calcutta,Kolkata,India
"Seetharaman, Priya  Seetharaman, P.",46.0,8.0,Indian Institute of Management Calcutta,Kolkata,India
"Roy, Rahul Kumar  Roy, Rahul K.   Roy, Rahul",44.0,10.0,Indian Institute of Management Calcutta,Kolkata,India
"Mahanti, Ambuj  Mahanti, A.",40.0,11.0,Indian Institute of Management Calcutta,Kolkata,India
"Bandyopadhyay, Jayanta  Bandyopadhyay, J.",38.0,11.0,Indian Institute of Management Calcutta,Kolkata,India
"Mishra, Prashant  Mishra, P.   Mishra, Prashanth",31.0,6.0,Indian Institute of Management Calcutta,Kolkata,India
"Sen, Anup Kumar  Sen, Anup K.",31.0,7.0,Indian Institute of Management Calcutta,Kolkata,India
"Pal, Asim Kumar  Pal, Asim   Kumar Pal, Asim   Pal, Asim K.   Pal, A. K.",30.0,5.0,Indian Institute of Management Calcutta,Kolkata,India
"Sadhukhan, Samir K.  Sadhukhan, Samir",30.0,7.0,Indian Institute of Management Calcutta,Kolkata,India
"Sarkar, Uttam Kumar  Sarkar, Uttam   Sarkar, Uttam K.   Sarkar, U. K.",29.0,8.0,Indian Institute of Management Calcutta,Kolkata,India
"Sarkar, Sahadeb  Sarkar, S.",27.0,9.0,Indian Institute of Management Calcutta,Kolkata,India
"Thakur, Manish Kumar  Thakur, Manish K.   Thakur, Manish",27.0,2.0,Indian Institute of Management Calcutta,Kolkata,India
"Jammulamadaka, Nimruji Prasad  Jammulamadaka, Nimruji",25.0,6.0,Indian Institute of Management Calcutta,Kolkata,India
"Rajesh Babu, R.  Babu, R. Rajesh",25.0,2.0,Indian Institute of Management Calcutta,Kolkata,India
"Chakrabarty, Manisha",24.0,6.0,Indian Institute of Management Calcutta,Kolkata,India
"Chatterjee, Ashis Kumar  Chatterjee, A. K.   Chatterjee, Ashis K.",23.0,11.0,Indian Institute of Management Calcutta,Kolkata,India
"Ojha, Abhoy Kumar  Ojha, Abhoy   Ojha, Abhoy K.",23.0,7.0,Indian Institute of Management Bangalore,Bengaluru,India
"Pal, Parthapratim  Pal, Parthapra",23.0,4.0,Indian Institute of Management Calcutta,Kolkata,India
"Pandey, Manish",21.0,9.0,Indian Institute of Management Calcutta,Kolkata,India
"Bhattacharya, Subir",20.0,8.0,Indian Institute of Management Calcutta,Kolkata,India
"Shaw, Annapurna  Shaw, A.",20.0,8.0,Indian Institute of Management Calcutta,Kolkata,India
"Basu, Sumanta",19.0,5.0,Indian Institute of Management Calcutta,Kolkata,India
"Paul, Samit",19.0,7.0,Indian Institute of Management Calcutta,Kolkata,India
