Author,Documents,h-index,Affiliation,City,Country/Territory
"Renganathan, Amrutha",1.0,0.0,Indian Institute of Management Indore,Indore,India
Rihana,1.0,0.0,Indian Institute of Management Indore,Indore,India
"Sagarika, Sipra",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Sahu, Bhawna",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Sahu, Rohit",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Sandhu, Harsimran",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Sen, Sudipta",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Sengupta, Anirban",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Shandilya, Bhaskar",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Shankar, S. Bhavani",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Sharma, Saumya",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Sharma, Tarun K.",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Singh, Gaurika",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Singh, Pawan",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Singh, Reetendra",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Singh, Surabhi",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Sood, Adithya",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Sunder, D. L.",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Tiwari, Santosh Kumar",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Tyagi, Divya",1.0,0.0,Indian Institute of Management Indore,Indore,India
"Varyani, Vartika",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Yadav, Aashish",1.0,1.0,Indian Institute of Management Indore,Indore,India
"Yadav, Nikhilesh K.  Yadav, Nikhilesh K.",1.0,1.0,National Chemical Laboratory India,Pune,India
"Mishra, Abhishek",42.0,10.0,Indian Institute of Management Indore,Indore,India
"Maitra, Debasish  Maitra, Debashish",33.0,11.0,Indian Institute of Management Indore,Indore,India
"Pandey, Jatin",32.0,9.0,Indian Institute of Management Indore,Indore,India
"Ranjan, Pritam Vanaja  Ranjan, Pritam   Ranjan, P.   Ranjan, P. Vanaja",32.0,9.0,Indian Institute of Management Indore,Indore,India
"Dey, Shubhamoy  Dey, S.   Dey, Shubhomay",29.0,8.0,Indian Institute of Management Indore,Indore,India
"Bapat, Sudeep R.",27.0,7.0,Indian Institute of Management Indore,Indore,India
"Dash, Saumya Ranjan",25.0,8.0,Indian Institute of Management Indore,Indore,India
"Raithatha, Mehul  Raithatha, Mehul Ashok",23.0,6.0,Indian Institute of Management Indore,Indore,India
"Popli, Manish",22.0,8.0,Indian Institute of Management Indore,Indore,India
"Kapoor, Rohit",21.0,6.0,Indian Institute of Management Indore,Indore,India
"Mishra, Rajhans",20.0,6.0,Indian Institute of Management Indore,Indore,India
"Shah, Bhavin J.  Shah, Bhavin J.   Shah, Bhavin",20.0,6.0,Indian Institute of Management Indore,Indore,India
