Author,Documents,h-index,Affiliation,City,Country/Territory
"Ali, Jabir  Ali, J.",56.0,13.0,Indian Institute of Management Jammu,Jammu,India
"Sahay, B. S.",54.0,20.0,Indian Institute of Management Jammu,Jammu,India
"Akram, Vaseem",39.0,9.0,Indian Institute of Management Jammu,Jammu,India
"Yadav, Rambalak",35.0,14.0,Indian Institute of Management Jammu,Jammu,India
"Upadhyay, Nitin  Upadhyay, N.",30.0,8.0,Indian Institute of Management Jammu,Jammu,India
"Mukherjee, Rohan  Mukherjee, R.",25.0,4.0,Indian Institute of Management Jammu,Jammu,India
"Singh, Sujeet Kumar",13.0,8.0,Indian Institute of Management Jammu,Jammu,India
"Shaikh, Ateeque",11.0,7.0,Indian Institute of Management Jammu,Jammu,India
"Pandey, Pallavi",10.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Tripathi, Mamta",9.0,5.0,Indian Institute of Management Jammu,Jammu,India
"Kamble, Aakash  Kamble, Aakash Ashok",8.0,3.0,Indian Institute of Management Jammu,Jammu,India
"Silal, Prakrit",7.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Gadekar, Mahesh",6.0,4.0,Indian Institute of Management Jammu,Jammu,India
"Kumar, Manoj",6.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Kumari, Minakshi  Kumari, M.",6.0,4.0,Indian Institute of Management Jammu,Jammu,India
"Navare, Ajinkya  Navare, Ajinkya V.",6.0,4.0,Indian Institute of Management Jammu,Jammu,India
"Kumar, Ashish",5.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Parida, Rashmi Ranjan",5.0,3.0,Indian Institute of Management Jammu,Jammu,India
"Jain, Tinu",4.0,1.0,Indian Institute of Management Jammu,Jammu,India
"Kaur, Kulwinder",4.0,3.0,Indian Institute of Management Jammu,Jammu,India
"Srivastava, Abhishek",4.0,3.0,Indian Institute of Management Jammu,Jammu,India
"Kumar, Avinash",3.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Mathew, Shawn",3.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Sharma, Santosh Kumar",2.0,2.0,Indian Institute of Management Jammu,Jammu,India
"Burhan, Muqbil",1.0,1.0,Indian Institute of Management Jammu,Jammu,India
"Dimple, Dimple",1.0,0.0,Indian Institute of Management Jammu,Jammu,India
Dimple,1.0,1.0,Indian Institute of Management Jammu,Jammu,India
"Nirmal, Deepak Datta",1.0,0.0,Indian Institute of Management Jammu,Jammu,India
"Reddy, K. Nageswara",1.0,1.0,Indian Institute of Management Jammu,Jammu,India
"Tripathi, Mamta",1.0,0.0,Indian Institute of Management Jammu,Jammu,India
