Author,Documents,h-index,Affiliation,City,Country/Territory
"Kumar, Harish  Kumar, H.",55.0,11.0,Indian Institute of Management Kashipur,Kashipur,India
"Mukherjee, Kampan  Mukherjee, K.   Mukherjee, Kuhali",40.0,12.0,Indian Institute of Management Kashipur,Kashipur,India
"Kumar, Dilip",39.0,9.0,Indian Institute of Management Kashipur,Kashipur,India
"Jauhar, Sunil Kumar  Jauhar, Sunil   Jauhar, S. K.",30.0,10.0,Indian Institute of Management Kashipur,Kashipur,India
"Ganguly, Kunal K.  Ganguly, Kunal K.   Ganguly, Kunal",27.0,8.0,Indian Institute of Management Kashipur,Kashipur,India
"Deb, Madhurima",26.0,8.0,Indian Institute of Management Kashipur,Kashipur,India
"Balooni, Kulbhushan  Balooni, K.",25.0,11.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Banerjee, Probir Kumar  Banerjee, P.   Banerjee, Probir   Kumar, Banerjee Probir   Banerjee, Probir K.",21.0,7.0,Indian Institute of Management Kashipur,Kashipur,India
"Batra, Safal",20.0,7.0,Indian Institute of Management Kashipur,Kashipur,India
"Agrawal, Rakesh Kumar  Agrawal, Rakesh",19.0,7.0,Indian Institute of Management Kashipur,Kashipur,India
"Chakrabarti, Somnath",19.0,6.0,Indian Institute of Management Kashipur,Kashipur,India
"Dharani, Munusamy  Munusamy, Dharani   Dharani, D.   Dharani M, M.   				      Dharani",19.0,8.0,Indian Institute of Management Kashipur,Kashipur,India
"Roy, Vivek",19.0,9.0,Indian Institute of Management Kashipur,Kashipur,India
"Garg, Ashish Kumar  Garg, Ashish   Kumar, Ashish",15.0,6.0,Indian Institute of Management Kashipur,Kashipur,India
"Bharti, Kumkum",14.0,7.0,Indian Institute of Management Kashipur,Kashipur,India
"Krishnaswamy, Venkataraghavan  Venkataraghavan, K.",14.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
"Kumar, Rajiv",13.0,6.0,Indian Institute of Management Kashipur,Kashipur,India
"Padhy, Ramakrushna  Padhy, Rama Krushna   Padhy, Ramakrishna   Padhy, Ramakrushna K.   Padhy, R. K.",11.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
Utkarsh,11.0,6.0,Indian Institute of Management Kashipur,Kashipur,India
"Bhamoriya, Vaibhav",10.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Sharma, Srinarayan",10.0,8.0,Indian Institute of Management Kashipur,Kashipur,India
"Srivastava, Abhishek",10.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Ali, Asgar",9.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Patra, Sabyasachi",9.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
"Badhani, K. N.  Badhani, K. N.",8.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Bashir, Hajam Abid",8.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Chatterjee, Devjani",8.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Samad, Taab Ahmad",8.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
"Kulshrestha, Anurag  Kulshrestha, A.",7.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"K̀umar, Vivek  Kumar, Vivek",7.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Narwal, Preeti",7.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Pathak, Devendra Kumar  Kumar Pathak, Devendra",7.0,6.0,Indian Institute of Management Kashipur,Kashipur,India
"Srivastava, Mala",7.0,6.0,Indian Institute of Management Kashipur,Kashipur,India
"Koshta, Nitin",6.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
"Sanguri, Kamal  Sanguri, K.",6.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Devi, Yashoda",5.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Islam, K. M.Baharul  Baharul Islam, K. M.",5.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Manchanda, Mohit",5.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
"Sharma, Mayank",5.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Bhuyan, Atanu  Bhuyan, A.",4.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Kaushik, Vineet",4.0,4.0,Indian Institute of Management Kashipur,Kashipur,India
"Gupta, Rajesh",3.0,1.0,Indian Institute of Management Kashipur,Kashipur,India
"Jois, Achutha",3.0,0.0,Indian Institute of Management Kashipur,Kashipur,India
"Kumar, Suraj",3.0,1.0,Indian Institute of Management Kashipur,Kashipur,India
"Maheshwari, Mridul",3.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Maiti, Abhradeep",3.0,1.0,Indian Institute of Management Kashipur,Kashipur,India
"Mewafarosh, Rekha",3.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Mondal, Jalaluddin",3.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Qamar, Yusra",3.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Sahu, Aditya Kumar",3.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Samal, Arbind",3.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Sengupta, Mayuree",3.0,0.0,Indian Institute of Management Kashipur,Kashipur,India
"Sharma, Vinay Kumar  Sharma, Vinay",3.0,3.0,Indian Institute of Management Kashipur,Kashipur,India
"Trehan, Deepak",3.0,2.0,Indian Institute of Management Kashipur,Kashipur,India
"Ambatipudi, Vamsidhar",2.0,0.0,Indian Institute of Management Kashipur,Kashipur,India
"Dharap, Oshin",2.0,0.0,Indian Institute of Management Kashipur,Kashipur,India
"Islam, Kazi Maruful Bahrul  Islam, K. M.Bahrul   Islam, Kazi Maruful",2.0,1.0,Indian Institute of Management Kashipur,Kashipur,India
"Jain, Aman",2.0,1.0,Indian Institute of Management Kashipur,Kashipur,India
