Author,Documents,h-index,Affiliation,City,Country/Territory
"S, Sreejesh  S., Sreejesh   S. Pillai, Sreejesh   Pillai, Sreejesh S.   Sreejesh, S.",57.0,16.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Krishnan, Satish Siva Rama  Krishnan, S. Siva Rama   Krishnan, Satish",55.0,13.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Gurumurthy, Anand  Anand, G.   Anand, Gurumurthy   Gurumurthy, A.",50.0,23.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Sebastian, Dr M.P.  Sebastian, M. P.   Sebastian Dr., M. P.",45.0,8.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Verma, Pratima  Verma, P.",34.0,7.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Purani, Keyoor",31.0,10.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Sensarma, Rudra",30.0,10.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Adhikari, Atanu",29.0,6.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Balakrishnan, Pulapre  Balakrishnan, P.",28.0,6.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Balooni, Kulbhushan  Balooni, K.",25.0,11.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Chowdhury, Shovan  Chowdhury, S.",25.0,8.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Kumar Pati, Rupesh  Pati, R. K.  					       Pati, Rupesh K.   Pati, Rupesh Kumar",21.0,12.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Mateen, Arqum",18.0,9.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Radhakrishna Pillai, Radhakrishna  Pillai, R. Radhakrishna   Pillai, Radhakrishna   Pillai, Radhakrishna R.   Radhakrishna Pillai, R.",18.0,4.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Raju, C.  Chockalingam, Raju",18.0,5.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Joy, Simy  Joy, S.",17.0,6.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Mitra, Sumit",17.0,4.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Nandakumar, M. K.  Nandakumar, M. K.   Mankavil Kovil Veettil, Nandakumar",17.0,7.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Sridhar, Guda  Guda, Sridhar   Sridhar, G.",17.0,6.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Gangopadhyay, Kausik",16.0,6.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Unnithan, Anandakuttan B.  Unnithan, Anandakuttan B.   Unnithan, Anandakuttan",16.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Abdulla, Mohammed Shahid",15.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Swain, Anjan Kumar  Swain, A. K.",15.0,4.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Roy, Soumya",14.0,7.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Khan, Anupriya",13.0,5.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Upadhyayula, Rajesh Srinivas  Upadhyayula, Rajesh S.   Upadhyayula, Rajesh",13.0,5.0,Indian Institute of Management Kozhikode,Kozhikode,India
