Author,Documents,h-index,Affiliation,City,Country/Territory
"Nandi, Sukumar",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Pagare, Dewang Vijay",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Pal Singh, Guninder",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Pandey, Rahul",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Pandey, Rahul",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Pandey, Santosh Kumar",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Pandey, Vikas",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Parveen, Zeenat",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Prakash Dewani, Prem",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Prasad Mishra, Bibek",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"R, Kiran",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Rauniyar, Sourav",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Raval, Heli",1.0,0.0,Ahmedabad University,Ahmedabad,India
"Rawat, Gargi",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Reddy, Vanga Deeksha",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Samant, Vinayak",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Samanta, Tamal",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Sekhar, Sujit",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Sethi, Kanupriya",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Sharma, Mayank",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Sharma, Swati",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Sharma, Varun",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Shekhar, Niti",1.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Shukla, G. K.",1.0,1.0,"ICAR - Central Institute for Subtropical Horticulture, Lucknow",Lucknow,India
"Shukla, Shashank Shekhar",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Guninder Pal",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Gurmeet",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Neeraj",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, S. K.",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Vatsala",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Vijay P.",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Vijay P.",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Sinha, Nishit Kumar",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Smriti, Kumari",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Talluri, Surendra Babu",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Vaithinathan, Soumya",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Vasudevan, Karthik",1.0,0.0,Indian Institute of Management Lucknow,Lucknow,India
"Yadav, Amit",1.0,1.0,Indian Institute of Management Lucknow,Lucknow,India
"Sharma, Chandan",60.0,15.0,Indian Institute of Management Lucknow,Lucknow,India
"Kumar, Sushil Suresh S.  Kumar, S.   Kumar, S. S.S.   Kumar, Sushil",48.0,12.0,Indian Institute of Management Lucknow,Lucknow,India
"Kumar, Pradeep",46.0,11.0,Indian Institute of Management Lucknow,Lucknow,India
"Jakhar, Suresh Kumar  Jakhar, Suresh   Jakhar, Suresh K.",43.0,19.0,Indian Institute of Management Lucknow,Lucknow,India
"Srivastava, Samir K.  Srivastava, Samir   Srivastava, Samir K.",43.0,15.0,Indian Institute of Management Lucknow,Lucknow,India
"Nautiyal, Jagdish C.  Nautiyal, J. C.   Nautiyal, Jagdish",41.0,10.0,Indian Institute of Management Lucknow,Lucknow,India
"Bhasker, Bharat  Bhasker, Bharal   Bhasker, B.",38.0,10.0,Indian Institute of Management Raipur,Raipur,India
"Mukhopadhyay, Arunabha",36.0,9.0,Indian Institute of Management Lucknow,Lucknow,India
"Pal, Debdatta",35.0,13.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Sanjay  Singh, S. K.   Singh, Sanjay K.   Singh, Sanjay Kumar",34.0,10.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Shailendra  Singh, S.",32.0,9.0,Indian Institute of Management Lucknow,Lucknow,India
"Daultani, Yash  Daultani, Y.",31.0,11.0,Indian Institute of Management Lucknow,Lucknow,India
"Singh, Sanjeet",31.0,7.0,Indian Institute of Management Lucknow,Lucknow,India
"Mohanty, Bhaba Krishna  Mohanty, B.   Mohanty, B. K.",30.0,9.0,Indian Institute of Management Lucknow,Lucknow,India
"Agarwal, Yogesh Kumar  Agarwal, Yogesh K.   Agarwal, Yogesh   Agarwal, Y. K.",27.0,8.0,Indian Institute of Management Lucknow,Lucknow,India
"Dash, Satyabhusan Bhushan  Dash, Satya Bhushan   Dash, Satya Bhusan   Dash, S. B.   Dash, Satyabhushan   Dash, Satya   Dash, Satyabhusan",27.0,13.0,Indian Institute of Management Lucknow,Lucknow,India
"Bhatia, Manjot Singh  Singh Bhatia, Manjot",25.0,11.0,Indian Institute of Management Lucknow,Lucknow,India
"Dey, Kushankur",22.0,6.0,Indian Institute of Management Lucknow,Lucknow,India
"Maity, Moutusy",22.0,8.0,Indian Institute of Management Lucknow,Lucknow,India
Vipul,22.0,8.0,Indian Institute of Management Lucknow,Lucknow,India
"Chakraborty, Madhumita",21.0,5.0,Indian Institute of Management Lucknow,Lucknow,India
"Srivastava, Rajiv Kumar  Srivastava, Rajiv K.",20.0,9.0,Indian Institute of Management Lucknow,Lucknow,India
"Goyal, Anita",19.0,7.0,Indian Institute of Management Lucknow,Lucknow,India
"Vaidya, Omkarprasad S.  Vaidya, Omkarprasad",19.0,9.0,Indian Institute of Management Lucknow,Lucknow,India
"Dewani, Prem Prakash  Dewani, P. P.   Dewani, Prem P.   Dewani, Prem",18.0,5.0,Indian Institute of Management Lucknow,Lucknow,India
