Author,Documents,h-index,Affiliation,City,Country/Territory
"Bhattacharyya, Som Sekhar  Bhattacharyya, Som   Bhattacharyya, Som Sekhar Sekhar   Sekhar Bhattacharyya, Som   Bhattacharyya, Som Shekhar   Bhattacharyya, Somsekhar",87.0,13.0,Indian Institute of Management Nagpur,Nagpur,India
"Jain, Nikunj Kumar  Jain, N. K.   Kumar Jain, Nikunj",27.0,13.0,Indian Institute of Management Nagpur,Nagpur,India
"Metri, Bhimaraya A.  Metri, Bhimaraya   Metri And, Bhimaraya A.   Metri, B. A.",27.0,9.0,Indian Institute of Management Nagpur,Nagpur,India
"Arghode, Vishal",19.0,7.0,Indian Institute of Management Nagpur,Nagpur,India
"Pathak, Atul Arun",17.0,4.0,Indian Institute of Management Nagpur,Nagpur,India
"Dohale, Vishwas D.  Dohale, Vishwas   Dohale, V. D.",15.0,7.0,Indian Institute of Management Nagpur,Nagpur,India
"Kaushik, Kapil",11.0,4.0,Indian Institute of Management Nagpur,Nagpur,India
"Srikanth, Peruvemba B.  Srikanth, P. B.   P.B, Srikanth",11.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Tomer, Gunjan",10.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Mukherjee, Deeparghya",9.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Kakkar, Shiva",8.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Nagarajan, Magesh  Nagarajan, M.",7.0,5.0,Indian Institute of Management Nagpur,Nagpur,India
"Khandker, Varsha",6.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Awasthy, Prakash",5.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Sett, Rahul Kumar  Sett, Rahul",5.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Mendonca, Avina J.  Mendonca, Avina",4.0,2.0,Indian Institute of Management Nagpur,Nagpur,India
"Gupta, Nilesh",3.0,1.0,Indian Institute of Management Nagpur,Nagpur,India
"Thakurata, Indrajit",3.0,3.0,Indian Institute of Management Nagpur,Nagpur,India
"Mohanty, Shiba Prasad",2.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Yadav, Kartik",2.0,1.0,Indian Institute of Management Nagpur,Nagpur,India
"Bhajni, Sameer",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Bhattacharya, Som Sekhar",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Dash, Ankita",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"G.p, Ranjitha  G.P, Ranjitha",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Haldar, Tanushree",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Jana, Sayantee",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Krishnan, T. S.",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Nagarajan, Magesh",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Patil, Sourabh",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Pradhan, Alok Kumar",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
"Ranjitha, G. P.",1.0,0.0,Indian Institute of Management Nagpur,Nagpur,India
