Author,Documents,h-index,Affiliation,City,Country/Territory
"Gupta, Sumeet  Gupta, S.   Sumeet, Gupta",118.0,30.0,Indian Institute of Management Raipur,Raipur,India
"Jana, R. K.  Jana, Rabin K.   Jana, R. K.",58.0,14.0,Indian Institute of Management Raipur,Raipur,India
"Kumar, G.  Kumar, Gopal",18.0,12.0,Indian Institute of Management Raipur,Raipur,India
"Charan, Parikshit  Charan, P.",25.0,11.0,Indian Institute of Management Raipur,Raipur,India
"Chattopadhyay, Manojit",45.0,11.0,Indian Institute of Management Raipur,Raipur,India
"Goswami, Mohit  Goswami, M.",33.0,11.0,Indian Institute of Management Raipur,Raipur,India
"Kumar, Sushant",19.0,11.0,Indian Institute of Management Raipur,Raipur,India
"Prashar, Sanjeev",66.0,11.0,Indian Institute of Management Raipur,Raipur,India
"Ramkumar, M.  M. Arputham, Ramkumar",27.0,11.0,Indian Institute of Management Raipur,Raipur,India
"Bhasker, Bharat  Bhasker, Bharal   Bhasker, B.",38.0,10.0,Indian Institute of Management Raipur,Raipur,India
"Kannadhasan, Manoharan  Manoharan, Kannadhasan   Kannadhasan, M.",23.0,10.0,Indian Institute of Management Raipur,Raipur,India
"Chauhan, Yogesh  Chauhan, Yogesh Kumar",26.0,9.0,Indian Institute of Management Raipur,Raipur,India
"Bapat, Dhananjay Madhukar  Bapat, Dhananjay   Bapat, Dhannajay",21.0,8.0,Indian Institute of Management Raipur,Raipur,India
"Gaur, Jighyasu",19.0,8.0,Indian Institute of Management Raipur,Raipur,India
"Pathak, Rajesh",30.0,8.0,Indian Institute of Management Raipur,Raipur,India
"Tata, Sai Vijay  Tata, Vijay Sai   Vijay, T. Sai   Vijay, Tata Sai",32.0,8.0,Indian Institute of Management Raipur,Raipur,India
"De, Sourya Joyee  Joyee De, Sourya",23.0,7.0,Indian Institute of Management Raipur,Raipur,India
"Singh, Pankaj",14.0,6.0,Indian Institute of Management Raipur,Raipur,India
"Dawra, Jagrook",12.0,5.0,Indian Institute of Management Raipur,Raipur,India
"Jadiyappa, Nemiraja  Jadiyappa, Nemiraj",21.0,5.0,Indian Institute of Management Raipur,Raipur,India
"Das, Satyasiba",14.0,4.0,Indian Institute of Management Raipur,Raipur,India
"Dash, Pradyumna",8.0,4.0,Indian Institute of Management Raipur,Raipur,India
"Raj, P. Praveen Vijaya  Raj, Praveen Vijiya   Raj, Praveen Vijaya Raj Pushpa   Raj, P. Praveen Vijaya   Raj, P. V.R.P.",6.0,4.0,Indian Institute of Management Raipur,Raipur,India
"Singh, Bhanu Pratap  Thakur, Bhanu Pratap Singh",7.0,4.0,Indian Institute of Management Raipur,Raipur,India
"Chhabra, Ankita",3.0,3.0,Indian Institute of Management Raipur,Raipur,India
"Dadhich, Anubha",3.0,3.0,Indian Institute of Management Raipur,Raipur,India
"Kakani, Ram Kumar",12.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Saini, Damini",9.0,3.0,Indian Institute of Management Raipur,Raipur,India
Shubham,5.0,3.0,Indian Institute of Management Raipur,Raipur,India
"Balakrishnan, Radhakrishnan",2.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Baruah, Ashapurna",6.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Chandra, Chandra Prakash  Prakash, Chandra",3.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Choudhary, Nishat Alam  Choudhary, Nishat",4.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Dhagarra, Devendra",3.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Khanzode, Akshay G.  Khanzode, Akshay G.",2.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Lalwani, Vaibhav",6.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Mallick, Eeman  Mallick (Basu), Eeman",4.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Parihar, Prateeksha",2.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Shah, Arunima",2.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Sharma, Namrata",3.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Shukla, Rashmi",3.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Singh, Shalabh",6.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Srivastava, Himanshu S.  Srivastava, Himanshu S.   Srivastava, Himanshu Shekhar",5.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Swain, Chandrakanta",2.0,2.0,Indian Institute of Management Raipur,Raipur,India
"Ansari, Sana",6.0,1.0,Indian Institute of Management Raipur,Raipur,India
"Arora, Somya",2.0,1.0,Indian Institute of Management Raipur,Raipur,India
"Banerjee, Abhishek",1.0,1.0,Indian Institute of Management Raipur,Raipur,India
"Basu, Eeman",1.0,1.0,Indian Institute of Management Raipur,Raipur,India
"Chakravorty, Arjun",4.0,1.0,Indian Institute of Management Raipur,Raipur,India
"Chatterjee, Subham",1.0,1.0,Indian Institute of Management Raipur,Raipur,India
"Devaguptapu, Adviti",2.0,1.0,Indian Institute of Management Raipur,Raipur,India
