Author,Documents,h-index,Affiliation,City,Country/Territory
"Bala, Pradip Kumar",49.0,13.0,Indian Institute of Management Ranchi,Ranchi,India
"Sarkar, Sobhan",42.0,13.0,Indian Institute of Management Ranchi,Ranchi,India
"Ghosh, Piyali",36.0,14.0,Indian Institute of Management Ranchi,Ranchi,India
"Sengupta, Tuhin",30.0,12.0,Indian Institute of Management Ranchi,Ranchi,India
"Sachan, Amit",26.0,10.0,Indian Institute of Management Ranchi,Ranchi,India
"Bera, Sasadhar",24.0,7.0,Indian Institute of Management Ranchi,Ranchi,India
"Dutta, Tanusree  Dutta, T.",23.0,8.0,Indian Institute of Management Ranchi,Ranchi,India
"Dixit, Vijaya",22.0,9.0,Indian Institute of Management Ranchi,Ranchi,India
"Gupta, Rohit  Gupta, R.",22.0,9.0,Indian Institute of Management Ranchi,Ranchi,India
"Adhikari, Arnab  Adhikar, Arnab",21.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Bansal, Manish",21.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Naresh, G.  Gopal, Naresh",20.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Aggarwal, Divya",16.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Sarkar, Soumya",16.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Mishra, Aditya Shankar  Mishra, Aditya   Mishra, Aditya S.",15.0,7.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Manish",14.0,9.0,Indian Institute of Management Ranchi,Ranchi,India
"Mukherjee, Arindam",14.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Singh, Shiwangi",14.0,10.0,Indian Institute of Management Ranchi,Ranchi,India
"Dutta, Swarup Kumar  Dutta, Swarup K.   Dutta, Swarup",13.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Ray, Pritee",13.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Rohit",12.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Nandy, Amarendu",12.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Anand, Ambuj",11.0,3.0,Indian Institute of Management Ranchi,Ranchi,India
"Bhattacharjee, Sankalpa",11.0,6.0,Indian Institute of Management Ranchi,Ranchi,India
"Chakraborty, Shibashish",11.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Pradeep",11.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Mishra, Bijaya",11.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Kundu, Sayantan",10.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Chakrabarti, Prasenjit",9.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Singhal, Rekha  Singhal, R.",9.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Dasgupta, Shilpee A.",8.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Elembilassery, Varun",8.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Sai Vijay, T.",8.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"David, Rajasekhar",7.0,3.0,Indian Institute of Management Ranchi,Ranchi,India
"Sinha, Ashutosh Kumar  Sinha, Ashutosh",7.0,5.0,Indian Institute of Management Ranchi,Ranchi,India
"Acharya, Abhilash",6.0,3.0,"Army Institute of Management, Kolkata",Kolkata,India
"Banerjee, Aditya",6.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Rajeev Ranjan",6.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Agarwal, Sharad",5.0,3.0,Indian Institute of Management Ranchi,Ranchi,India
"Chattopadhyay, Subir",5.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Hazarika, Angshuman",5.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Rahul",5.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Marathe, Gaurav Manohar  Marathe, Gaurav",5.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Singh, Nitin",5.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Xavier, Maria Joseph  Xavier, M. J.",5.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Bhatia, Prince",4.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Chandrashekhar, Hemalatha",4.0,3.0,Indian Institute of Management Ranchi,Ranchi,India
"Ghosh, Debjani",4.0,4.0,Indian Institute of Management Ranchi,Ranchi,India
"Maurya, Prashant",4.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Quddus, Kamran",4.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
Satyam,4.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Shukla, Ankur",4.0,3.0,Indian Institute of Management Ranchi,Ranchi,India
"Sinha, Meenakshi",4.0,1.0,Indian School of Business,Hyderabad,India
"Sinha, Saitab",4.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Chakrabarti, Dipankar",3.0,0.0,"PricewaterhouseCoopers Pvt. Ltd., India",Kolkata,India
"Kalia, Deepali",3.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Kamal, Hutanshu",3.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumari, Shalini",3.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Ramachandran, Renjith",3.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Sankaran, Raja",3.0,3.0,Indian Institute of Management Ranchi,Ranchi,India
"Sharma, Shweta",3.0,2.0,Central University of Rajasthan,Ajmer,India
"Shekhar, Sudhanshu",3.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Varma, Virajanand",3.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Abraham, Balaji",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Anand, Anand",2.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Chandra, Snehal",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Das, Sibanjan Debeeprasad  Das, Sibanjan",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Gupta, Deeksha",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Indwar, Radha Govind",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Jha, Ankur",2.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Maruthasalam, Arulanantha Prabu Ponnachiyur  Maruthasalam, Arulanantha P.P.",2.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Nandankar, Sunil",2.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Pattanayak, Anindya",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Sarkar, Soumya",2.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Sawarni, Kumar Sanjay",2.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Soni, Mayank Jyotsna",2.0,2.0,Indian Institute of Management Ranchi,Ranchi,India
"Allen, Joshua George",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
Anand,1.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Baburaj, Sharath",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Bhusan, Ca Soumik  Bhusan, CA Soumik",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Bhusan, Soumik",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Borah, Manash Jyoti",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Dash, Bishnu Prasad",1.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Gautom, Ojaswi",1.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Gnana Prasad, J.",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Hazarika, Angshuman",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Jagannath Sharma, Nistala",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Jha, Chandan",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Jha, Saakshi",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Kesharbani, Neeraj Kumar",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Kamlesh",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Kumar, Rohit",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Majumdarr, Shubh",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Pal Singh, Satender",1.0,1.0,Indian Institute of Management Ranchi,Ranchi,India
"Pandey, Jayesh",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
"Prasad, J. Gnana  Prasad, J. Gnana",1.0,0.0,Indian Institute of Management Ranchi,Ranchi,India
