Author,Documents,h-index,Affiliation,City,Country/Territory
"Srivastava, Praveen Ranjan  Srivatsava, Praveen Ranjan",104.0,17.0,Indian Institute of Management Rohtak,Rohtak,India
"Sharma, Dheeraj P.  Sharma, Dheeraj",58.0,14.0,Indian Institute of Management Rohtak,Rohtak,India
"Singh, Amol  Singh, A.",38.0,16.0,Indian Institute of Management Rohtak,Rohtak,India
"Ghosh, Koustab",29.0,12.0,Indian Institute of Management Rohtak,Rohtak,India
"Garg, Chandra Prakash   Prakash, Chandra",28.0,17.0,Indian Institute of Management Rohtak,Rohtak,India
"Pandey, Shivendra Kumar  Pandey, Shivendra K.   Pandey, S.   Pandey, Shivendra   Pandey, S. K.",28.0,6.0,Indian Institute of Management Rohtak,Rohtak,India
"Kumar, Ashwani  Kumar, A.",21.0,7.0,Indian Institute of Management Rohtak,Rohtak,India
"Jharkharia, Sanjay",20.0,11.0,Indian Institute of Management Rohtak,Rohtak,India
"Kesharwani, Ankit",18.0,9.0,Indian Institute of Management Rohtak,Rohtak,India
"Khanna, Rupika  Khanna, RUPIKA",13.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Khatwani, Gaurav",13.0,7.0,Indian Institute of Management Rohtak,Rohtak,India
"Seth, Himanshu",13.0,6.0,Indian Institute of Management Rohtak,Rohtak,India
"Dash, Sanket Sunand  Dash, Sanket S.   Sunand Dash, Sanket   Dash, Sanket",12.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Patro, Archana",11.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Tripathi, Manas Mani  Tripathi, Manas",11.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Verma, Abhishek  Verma, A.",11.0,6.0,Indian Institute of Management Rohtak,Rohtak,India
"Pandey, Peeyush",10.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Sharma, Divya",10.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Sinha, Priyank",10.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Tapar, Archit Vinod  Tapar, Archit V.",9.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Mishra, Madhurima",8.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Murthy, Venkatesh R.  Murthy, Venkatesh   Venkatesh Murthy, R.",8.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
"Pant, Abhay  Pant, ABHAY",8.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Sarkar, Subhro",8.0,6.0,Indian Institute of Management Rohtak,Rohtak,India
"Tiwari, Amit Anand",8.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
"Yadav, Rama Shankar  Yadav, Ramashankar",8.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Kohli, Reena",6.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Pandey, Agrata",6.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
"Baishya, Kuldeep",5.0,4.0,Indian Institute of Management Rohtak,Rohtak,India
"Bhardwaj, Neha",5.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Bhardwaj, Preshth",5.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
"Patel, Shivan Sanjay",5.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
"Rakshit, Atanu",5.0,3.0,Indian Institute of Management Rohtak,Rohtak,India
"Singh, Abhishek",5.0,1.0,Indian Institute of Management Rohtak,Rohtak,India
"Arun, T. M.",4.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
"Garg, Chandra Prakash",4.0,1.0,Indian Institute of Management Rohtak,Rohtak,India
"Gaur, Diptanshu",4.0,1.0,Indian Institute of Management Rohtak,Rohtak,India
"Irum, Ayesha",4.0,2.0,Indian Institute of Management Rohtak,Rohtak,India
