Author,Documents,h-index,Affiliation,City,Country/Territory
"Jaiswal, Mahadeo Prasad  Jaiswal, Mahadeo   Jaiswal, Mahadeo P.   Jaiswal, M. P.",29.0,12.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Guha Deb, Soumya  Deb, Soumya Guha   Deb, Soumya G.",25.0,5.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Kumar, Rahul Ranjith  Kumar, Rahul   Kumar, R. Ranjith   Kumar, R.",22.0,8.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Mahapatra, Diptiranjan  Mahapatra, D.",12.0,6.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Choudhary, Divya",10.0,4.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Sindhi, Sumita",10.0,3.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Annamalai, Balamurugan",9.0,4.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Tripathi, Ashutosh Kumar",8.0,2.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Ali, Esrafil",2.0,0.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Bhardwaj, Shikha",2.0,1.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Padhy, Ramakrushna K.  Padhy, Ramakrushna   Padhy, R. K.",2.0,1.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Shukla, Sakshi",2.0,1.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Misra, Arun Kumar",1.0,0.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Nag, Gopal C.",1.0,1.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Nandy, Merlin",1.0,0.0,Indian Institute of Management Sambalpur,Sambalpur,India
"Sharma, Ankul",1.0,1.0,Indian Institute of Management Sambalpur,Sambalpur,India
