Author,Documents,h-index,Affiliation,City,Country/Territory
"Upadhyay, Parijat  Upadhyaya, Parijat",34.0,11.0,Indian Institute of Management Shillong,Shillong,India
"Roychoudhury, Basav",24.0,7.0,Indian Institute of Management Shillong,Shillong,India
"Joshi, Rohit",20.0,7.0,Indian Institute of Management Shillong,Shillong,India
"Pattusamy, Murugan",18.0,7.0,Indian Institute of Management Shillong,Shillong,India
"Choudhary, Kailash  Choudhary, K.",17.0,9.0,Indian Institute of Management Shillong,Shillong,India
"Tripathy, Naliniprava",15.0,4.0,Indian Institute of Management Shillong,Shillong,India
"Sadarangani, Pradip H.  Sadarangani, Pradip",14.0,6.0,Indian Institute of Management Shillong,Shillong,India
"Gogoi, Bidyut Jyoti",12.0,4.0,Indian Institute of Management Shillong,Shillong,India
"Das, Sitanshu Sekhar  Sekhar Das, Sitanshu",11.0,5.0,Rajagiri Business School,Kochi,India
"Rani, Neelam",11.0,5.0,Indian Institute of Management Shillong,Shillong,India
"Bhattacharya, Mousumi  Bhattacharya, Mousami",10.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Chopdar, Prasanta Kr",10.0,8.0,Indian Institute of Management Shillong,Shillong,India
"Jaipuria, Sanjita",10.0,4.0,Indian Institute of Management Shillong,Shillong,India
"Mishra, Debasisha",10.0,4.0,Indian Institute of Management Shillong,Shillong,India
"Kumar, Deepak",9.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Mandal, Pratap Chandra  Chandra Mandal, Pratap",9.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Mukherjee, Sanjoy",9.0,3.0,Indian Institute of Management Shillong,Shillong,India
"Kakoty, Sanjeeb",8.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Mukherjee, Subhadip",7.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Sengupta, Keya",7.0,3.0,Indian Institute of Management Shillong,Shillong,India
"Bhattacharya, Sharad Nath  Bhattachary, Sharad Nath",6.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Kumar, Shubham",6.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Amawate, Vibhas",5.0,3.0,Indian Institute of Management Shillong,Shillong,India
"Giri, Tapas Kumar  Giri, Tapas K.",5.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Chatterjee, Swetarupa",4.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Ghosh, Swagata",4.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Mehta, Atul",4.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Desai, Malavika",3.0,0.0,Indian Institute of Management Shillong,Shillong,India
"Dwivedi, Rohit",3.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Jha, Sumit Kumar",3.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Nongmaithem, Sonia",3.0,2.0,Indian Institute of Management Shillong,Shillong,India
"Saurabh, Kumar",3.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Arora, Ridhi",2.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Bhattacharjee, Biplab",2.0,1.0,Indian Institute of Management Shillong,Shillong,India
"Bhattacharya, Sharad Nath  Bhattacharya, Sharad",2.0,0.0,Indian Institute of Management Shillong,Shillong,India
"Borde, Prashant Sunil",2.0,0.0,Indian Institute of Management Shillong,Shillong,India
"Dhakate, Nikhil N.  Dhakate, Nikhil",2.0,2.0,Indian Institute of Management Shillong,Shillong,India
