Author,Documents,h-index,Affiliation,City,Country/Territory
"Ghosh, Arpita",20.0,9.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Dahiya, Rinki",19.0,6.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Kumar, Vikas",19.0,10.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
Vandana,17.0,5.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Vashisht, Devika  Vashist, Devika",14.0,8.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Shah, Bhavin",12.0,7.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Srivastava, Shashi Kant",12.0,3.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Kunroo, Mohd Hussain",10.0,3.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Malik, Parul",10.0,5.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Pachayappan, Murugaiyan  Murugaiyan, Pachayappan",10.0,4.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Patra, Pradipta",10.0,2.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Dhurkari, Ram Kumar",9.0,2.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Singh, Sanjay",8.0,3.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Bhawsar, Pragya",7.0,3.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Paidipati, Kiran Kumar",7.0,3.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Sangwa, Narpat Ram",6.0,2.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Singh, Amrinder",6.0,1.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Shah, Bhavin",4.0,1.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Roy, Arijit K.  Roy, A. K.   Roy, Arijit",3.0,0.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Agrawal, Anshu",2.0,2.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Maidullah, Sana",2.0,1.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Sharma, Puneet S.  Sharma, Puneet   Sharma, P. S.",2.0,1.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Kumar, Ashish",1.0,0.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Kumar, Pankaj",1.0,0.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
"Patra, Pradipta",1.0,1.0,Indian Institute of Management Sirmaur,Paonta Sahib,India
