Author,Documents,h-index,Affiliation,City,Country/Territory
"Kumar Sharma, Sujeet  Sharma, Sujeet Kumar   Sharma, Sujeet K.",54.0,23.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Pradhan, Sajeet",30.0,13.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Singh, Jang Bahadur  Singh, J. B.",17.0,6.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Gouda, Sirish Kumar  Gouda, Sirish",14.0,7.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Al-Salti, Zahran S.  Al-Salti, Zahran",13.0,6.0,Sultan Qaboos University,Muscat,Oman
"Godwin, T.",13.0,4.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Gajanand, M. S.  Gajanand, M. S.",12.0,4.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Mahajan, Varun",10.0,5.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Saravanan, Palanisamy  Saravanan, P.",10.0,4.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Maheswarappa, Satish Sasalu  Maheswarappa, Satish S.",9.0,5.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Gupta, Prashant  Gupta, P.",8.0,4.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Sreekumar, Hari",8.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Srirangacharyulu, B.",8.0,6.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Srivastava, Deepak Kumar  Srivastava, Deepak K.",8.0,5.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Totawar, Abhishek Kumar  Totawar, Abhishek K.   Totawar, Abhishek",8.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Joseph, Nidheesh",6.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Lanke, Parijat",6.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Manikandan, K. S.",6.0,4.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Nath, Papri",6.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Vimalkumar, M.  Vimalkumar, M.",6.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Gunupudi, Laxmi",5.0,1.0,Indian Institute of Management Bangalore,Bengaluru,India
"Makhecha, Upam Pushpak",5.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Khare, Apoorv",4.0,3.0,Indian Institute of Management Tiruchirappalli,Tiruchirapalli,India
"Sanjith, S. L.",4.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Chattopadhyay, Smita Prashant",3.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Dixit, Bipin Kumar",3.0,2.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Mukundhan, K. V.  Mukundhan, K. V.",3.0,2.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Nithyananda, K. V.  Nithyananda, K. V.",3.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Shaik, Farheen Fathima",3.0,2.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Som, Anirban",3.0,2.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Antony, Suresh Paul",2.0,2.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Khare, Apoorv",2.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Ramesh, Nedun  Ramesh, N.",2.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Sivakumar, S.",2.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Thomas, Vinu Cheruvil",2.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Ahmed, Mueen",1.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Banerjee, Sumit",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Charkraborty, Ayon",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirapalli,India
"Cheruvil Thomas, Vinu",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirapalli,India
"Hariharan, M.",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Raghuraman, J.",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Raja, S. L.N.",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Rajan, E. Sownthara",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Rao, H. K.Lakshmana",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Sukumaran, Rahul",1.0,1.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Sundarakamatchi, S.",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
"Susan Mathew, Shalina",1.0,0.0,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,India
