Author,Documents,h-index,Affiliation,City,Country/Territory
"Rose, Elizabeth L.  L Rose, Elizabeth   Rose, E. L.   Rose, Elizabeth L.   Rose, Elizabeth   Rose, E.",62.0,18.0,Indian Institute of Management Udaipur,Udaipur,India
"Shah, Janat  Shah, J.",25.0,13.0,Indian Institute of Management Udaipur,Udaipur,India
"Sharma, Prateek",18.0,5.0,Indian Institute of Management Udaipur,Udaipur,India
"Agrawal, Tushar",16.0,9.0,Indian Institute of Management Udaipur,Udaipur,India
"Rai, Arpana",15.0,7.0,Indian Institute of Management Udaipur,Udaipur,India
"Das, Ujjwal",14.0,4.0,Indian Institute of Management Udaipur,Udaipur,India
"Gupta, Saurabh",13.0,7.0,Indian Institute of Management Udaipur,Udaipur,India
"Bhattacharyya, Samadrita  Bhattacharya, Samadrita",12.0,4.0,Indian Institute of Management Udaipur,Udaipur,India
"Mitra, Debanjan",12.0,7.0,Indian Institute of Management Udaipur,Udaipur,India
"Banerjee, Dina",11.0,4.0,Indian Institute of Management Udaipur,Udaipur,India
"Adhikary, Anirban",9.0,5.0,Indian Institute of Management Udaipur,Udaipur,India
"Doshi, Vijayta",9.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Kumar, Kunal Kamal",8.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Basu, Ranojoy",7.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Dutta, Manisha N. 				                Dutta, M.   Dutta, M. N.   Dutta, Manisha",7.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Damodaran, Uday",6.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Bhatia, Sandhya",5.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Kumawat, Govind Lal",5.0,4.0,Indian Institute of Management Udaipur,Udaipur,India
"Memon, Nazia Zabin",5.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Mishra, Kirti",5.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Sanan, Neeti Khetarpal  Sanan, Neeti",5.0,4.0,Indian Institute of Management Udaipur,Udaipur,India
"Shukla, Dhirendra Mani",5.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Uparna, Jayaram",5.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Aggarwal, Nidhi",4.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Joseph, Thomas",4.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Nagarajan, Viswanathan",4.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Pingali, Srinivas Rao  Pingali, Srinivas",4.0,0.0,Indian Institute of Management Udaipur,Udaipur,India
"Sharma, Swati",4.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Galande, Ashish S.  Galande, Ashish S.",3.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Nawn, Samarpan",3.0,3.0,Indian Institute of Management Udaipur,Udaipur,India
"Choudhary, Suman",2.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Dugar, Amish",2.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Kapoor, Ankur",2.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Karthikeyan, Soorjith Illickal",2.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Nanarpuzha, Rajesh",2.0,2.0,Indian Institute of Management Udaipur,Udaipur,India
"Sultana, Rezina",2.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Aggarwal, Shobhit",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Anil, Siddharth",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Balaji, P.",1.0,0.0,Indian Institute of Management Udaipur,Udaipur,India
"Bhattacharyya, Arundhati",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Bose, Manab",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Desai, Prarthan B.",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Gopal, Shaleen",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Gupta, Tanvi",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Katewa, Sunanda",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Khandelwal, Urvashi",1.0,0.0,Indian Institute of Management Udaipur,Udaipur,India
"Krishnakumar, Sreejith Kumar",1.0,0.0,Indian Institute of Management Udaipur,Udaipur,India
"Mani Shukla, Dhirendra",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Sarkar, Soumya",1.0,0.0,Indian Institute of Management Udaipur,Udaipur,India
"Sinha, Nishant",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
"Vaishnav, Hemendra Kumar",1.0,1.0,Indian Institute of Management Udaipur,Udaipur,India
