Author,Documents,h-index,Affiliation,City,Country/Territory
"Shankar, Amit",41.0,15.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Chattopadhyay, Bhargab  Chattopadhyay, B.",19.0,6.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Sarma, P. R.S.  Sarma, P. R.S.   Sarma, Pappu Raja Sekhara   Sarma, Pappu R.S.   Sarma, PRS R.S.",18.0,8.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Singh Patyal, Vishal  Patyal, Vishal Singh",18.0,8.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Kumar, Aalok",13.0,9.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Kumari, Pooja",10.0,3.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Jawed, Mohammad Shameem",9.0,4.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Chakrabarti, Amit Baran  Chakrabarti, Amit B.",8.0,3.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Majumdar, Bishakha",7.0,2.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Pandey, Neena",7.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Titiyal, Rohit",7.0,3.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Vishwakarma, Pankaj",6.0,4.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Agnihotri, Shalini",4.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Pani, Saroj Kumar",4.0,2.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Patel, Shivshanker Singh",4.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Subramanian, Balaji",4.0,3.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Krishnan, Kaveri",3.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Chakraborty, Tamali",2.0,0.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Kolukuluri, Kalyan",2.0,0.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Kumar, Aman Prashanth  Kumar, Aman   Kumar, A. Prashanth",2.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Kumar, Ankit",2.0,2.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"More, Ajay",2.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Sharma, Anupama",2.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Chakraborty, Tamali",1.0,0.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Ganti, Subrahmanyam",1.0,0.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Moturu, Venkata Rajasekhar",1.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"M.v, Anuradha  M.V, Anuradha",1.0,0.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Nethi, Srinivas Dinakar",1.0,1.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
"Singh Patel, Shivshanker",1.0,0.0,"Indian Institute of Management, Visakhapatnam",Visakhapatnam,India
