Author,Documents,h-index,Affiliation,City,Country/Territory
"Agrawal, Rohit",34.0,10.0,Indian Institute of Technology Delhi,New Delhi,India
"Lathabhavan, Remya  Remya, L.",29.0,8.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Priyadarshinee, Pragati  priyadarshinee, Pragati",27.0,10.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Saurabh, Samant  Saurabh, S.",19.0,6.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Sahay, Vinita S.  Sahay, Vinita",14.0,8.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Srivastava, Amit Kumar  Srivastava, Amit",13.0,7.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Krishnankutty, Raveesh",11.0,5.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Laeequddin, Mohammed",11.0,6.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Suman, Hemant Kumar  Suman, Hemant   Suman, Hemant K.",10.0,6.0,Pontificia Universidad Católica de Chile,Santiago,Chile
"Bharti, Teena",8.0,3.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Das, Chiranjit",7.0,4.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Bharadwaja, Manaswita",5.0,4.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Yadav, Madan Lal",5.0,2.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Krishna Mohan, T. V.  Mohan, T. V.Krishna   Krishna Mohan, T. V.",4.0,3.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Gada, Viswa Prasad",3.0,2.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Ranjan, Prabhat",3.0,2.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Srivastava, Medha",3.0,1.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Sanyal, Priyavrat",2.0,2.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Kumar, Sudhanshu",1.0,0.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Mishra, Nidhi",1.0,0.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Pan, Aritra",1.0,0.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Saurabh, Samant",1.0,0.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Sengupta, Anirban",1.0,0.0,Indian Institute of Management Bodh Gaya,Gaya,India
"Singh, Baljeet",1.0,1.0,Indian Institute of Management Bodh Gaya,Gaya,India
