Author,Documents,h-index,Affiliation,City,Country/Territory
"Ghoshal, Sanjoy Kumar  Ghoshal, S. K.   Ghoshal, Sanjoy   Ghoshal, S.   Ghoshal, Sanjoy K.",73.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Gupta, Deepak K.  Gupta, Deepak Kumar   Gupta, Deepak   Gupta, D.   Gupta, D. K.   Gupta, Deepak K.",37.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kamble, Alka Damodhar  Kamble, Alka D.",16.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Jitendra  Kumar, J.",88.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Rakesh Ranjan",16.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Ritesh  Kumar, R.",28.0,10.0,Madan Mohan Malaviya University of Technology,Gorakhpur,India
"Kumari, Minashree",18.0,10.0,Indian Institute of Technology Delhi,New Delhi,India
"Moirangthem, Rakesh Singh  Moirangthemy, R. Singh   Moirangthem, Rakish S.   Moirangthem, Rakesh S.   Moirangthem, R. S.",49.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Pan, Somnath  Pan, S.",22.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Pasupuleti, Srinivas  Pasupuleti, S.",42.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Patra, Niladri  Patra, N.",22.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Paul, Partha Sarathi  Paul, P. S.   Paul, Partha S.",31.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"R, Rahul M.  Rahul, M. R.   R, Rahul M.",28.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Santra, Chiranjit  Santra, Chianjit",13.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Sarangi, Shushanta  Sarangi, Sushant   Sarangi, S.",24.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Sengupta, Aditi",28.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Shaw, Krishnendu",22.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, Garib Nath  Singh, Garib N.   Singh, G. N.",117.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, Mritunjay Kumar  Singh, Mritunjay K.   Singh, Mritumjay Kumar   Singh, M. K.",51.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, S. K.  Singh, Shailesh K.   Singh, Shailesh Kumar   Singh, S. K.   Singh, Shailesh   Singh, S.",24.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, Saumya",48.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, Shailendra Narayan  Singh, Shalendra N.   Singh, Shailendra N.   Singh, S. N.   Singh, S.",35.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Suri, Ajay  Suri, A.",27.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Trivedi, Shrawan Kumar",26.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Udayabhanu, Gopalakrishnan Nair  Udayabhanu, G.   Udayabhanu, G. N.",23.0,10.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Vishwakarma, G. K.  Vishwakarma, G.   Vishwakarma, Gajendra   Vishwakarma, Gajendra Kumar   Vishwakarma, G. K.   Vishwakarma, Gajendra K.",91.0,10.0,UCSI University,Kuala Lumpur,Malaysia
"Adak, Amitava  ADAK, AMITAVA   Adak, A.",28.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Bannerjee, Mollika",12.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Chaudhary, Nikita",16.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Chauhan, Naveen  Chauhan, Nilanshi",61.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Chetal, A. R.  Chetal, A. B.",58.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Choubey, Ashutosh  Choubey, A.",20.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Das, Alok Kumar  Das, Alok Kr   Das, Alokkumar   Das, Alok K.   Das, A. K.",18.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Donta, Praveen Kumar  Praveen Kumar, D.   D., Praveen Kumar",19.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Dwivedi, Ritesh D.  Dwivedi, Ritesh   Dwivedi, R. D.",21.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Gupta, Indrajeet",24.0,9.0,Bennett University,Greater Noida,India
"Jain, Manish Kumar  Jain, M. K.   Jain, Mantsh Kumar   Jain, Manish K.",52.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kaligatla, R. B.  Kaligatla, R. B.",19.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kar, Amlan",15.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kiran, Raj  Kiran, R.",28.0,9.0,University of Oklahoma,Norman,United States
"Kumar, Ashutosh",18.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Dharmendra  Kumar, D.",42.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Rajan Anil  Kumar, Rajan   Kumar, R.",12.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Rajkishor",35.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Kumar, Sumit  Kumar, S.",20.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Lakkaniga, Naga Rajiv",20.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Mahato, Bidyut  Mahato, B.",33.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Majee, Karunamay",11.0,9.0,Technion - Israel Institute of Technology,Haifa,Israel
"Mandal, Deepak Kumar",27.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Mondal, Manisha",21.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Pattanayak, J. K.  Pattanayak, Jamini Kanta   Pattanayak, J. K.   Pattanayak, Jamina Kanta",32.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Ravi Kumar, Chiranjeev Naveen  Ravi Kumar, C. N.   Kumar, C.   Kumar, C. Naveen   Kumar, Chiranjeev",42.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Rawat, Narendra Singh  Rawat, Narendra S.   Rawat, N. S.",34.0,9.0,Indian Institute of Technology (ISM) Dhanbad,Dhanbad,India
"Samad, Suresh Kumar",9.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Samanta, Abhijit  Samanta, Ajay   Samanta, A.",14.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Shaw, Ranjit K.  Shaw, R. K.   Shaw, Ranjit",17.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, Suvam  Singh, S.",23.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Singh, Yadvendra  Singh, Y.",35.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Sinha, Sushant Kumar  Sinha, S. K.   Sinha, Sunil K.   Sinha, Sunil Kumar",27.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Srinivasa Rao, Gangumalla  Srinivasa Rao, G.   Rao, G. Srinivasa",18.0,9.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
