Author,Documents,h-index,Affiliation,City,Country/Territory
"Vardhan, Harsh",11.0,9.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Vemuri, M. K.",11.0,3.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Venkateswarlu, D. S.",11.0,5.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Verma, Pratibha",11.0,5.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Adena, Sandeep Kumar Reddy  Adena, Sandeep K.Reddy",10.0,7.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Aggarwal, Shubham",10.0,2.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Agrawal, T. P.",10.0,3.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Alam, Md Bayazeed  Alam, Md B.",10.0,7.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Baidya, Anurag T.K.  Baidya, A. T.K.   Baidya, Anurag TK",10.0,4.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Chauhan, Swati  Chauhan, S.",10.0,5.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Das, Nilendu",10.0,3.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Dixit, Prashant",10.0,5.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Dubey, Shikha",10.0,9.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Guha, Nirmalya",10.0,3.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Gupta, Manushi",10.0,4.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Gupta, Prince Kumar  Gupta, P. K.   Gupta, Prince Kr   Gupta, Prince   Gupta, Prince K.",10.0,5.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Gupta, Sandeep",10.0,6.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
"Jana, Srabanti  Jana, S.",10.0,6.0,Indian Institute of Technology Banaras Hindu University,Varanasi,India
