Author,Documents,h-index,Affiliation,City,Country/Territory
"Biswas, Santosh  Biswas, S.",172.0,18.0,Indian Institute of Technology Bhilai,Raipur,India
"Devi, Kavita  Devi, K.",83.0,14.0,Indian Institute of Technology Bhilai,Raipur,India
"Sao, Anilkumar  Sao, Anil Kumar   Sao, Anil K.   Sao, Anil   Sao, A. K.",82.0,14.0,Indian Institute of Technology Bhilai,Raipur,India
"Kherani, Arzad Alam  Kherani, A.   Kherani, Arzad   Kherani, Arzad A.   Kherani, A. A.",79.0,15.0,Indian Institute of Technology Bhilai,Raipur,India
"Patra, Sudhanwa",64.0,19.0,Indian Institute of Technology Bhilai,Raipur,India
"Banerjee, Sanjib",60.0,20.0,Indian Institute of Technology Bhilai,Raipur,India
"Ghosh, Sabyasachi  Ghosh, S.",60.0,14.0,Indian Institute of Technology Bhilai,Raipur,India
"Srivastava, Parmeshwary Dayal  Srivastava, P. D.",60.0,9.0,Indian Institute of Technology Bhilai,Raipur,India
"Shukla, Pravesh Chandra  Chandra Shukla, Pravesh   Shukla, Pravesh   Shukla, Pravesh C.   Shukla, P.",58.0,17.0,Indian Institute of Technology Bhilai,Raipur,India
"Ghosh, Dhriti Sundar  Sundar Ghosh, Dhriti   Ghosh, Dhriti S.   Ghosh, D. S.",56.0,19.0,Indian Institute of Technology Bhilai,Raipur,India
"Ghosh, Ratan K.  Ghosh, R. K.   Ghosh, Ratan   Ghosh, Raja K.",56.0,11.0,Indian Institute of Technology Bhilai,Raipur,India
"Mehboob Alam, Md  Alam, Md Mehboob   Alam, Md M.",49.0,14.0,Indian Institute of Technology Bhilai,Raipur,India
"Gangopadhyay, Soumya  Gangopadhyay, S.",48.0,23.0,Indian Institute of Technology Bhilai,Raipur,India
"Gupta, Satyajit  Gupta, S.",44.0,22.0,Indian Institute of Technology Bhilai,Raipur,India
"Ali, Sk Subidh  Ali, Subidh   Subidh Ali, Sk",38.0,15.0,Indian Institute of Technology Bhilai,Raipur,India
"Chander, Nikhil  Chander, N.",35.0,15.0,Indian Institute of Technology Bhilai,Raipur,India
"Jakhar, Anuj  JAKHAR, ANUJ",33.0,5.0,Indian Institute of Technology Bhilai,Raipur,India
"Saha, Dhiman",33.0,6.0,Indian Institute of Technology Bhilai,Raipur,India
"Medishetty, Raghavender",30.0,23.0,Indian Institute of Technology Bhilai,Raipur,India
