Author,Documents,h-index,Affiliation,City,Country/Territory
"Nandan, R.",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Nandan, Rakesh",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Nandanam, Krishna",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Nandini, Gopinath",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Narde, Shardul R.",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Narde, Shradul R.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Nayak, Rupak Kumar",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Nayak, Saroj Kumar",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Neeharika, Gonuguntla",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Negi, Naveen",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Nitheesh Kumar, P.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Nongmaithem, Robinson Singh",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Ojha, A. K.",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"P, Nitheesh Kumar  P., Nitheesh Kumar",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Palanivel, Silambarasan",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Panda, Aum Sagar",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Pa.nda, Ganapati",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Panda, Taradutta",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Pandey, Apurve K.",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pandey, Paritosh",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pandit, M. K.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pantangi, Ramakrishna",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pany, Sudipta",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Parida, Arjun",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Parida, Chinmay",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Parida, Himanshu",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Parpe, Aditya",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Parulekar, Nachiket",1.0,1.0,National University of Singapore,Singapore City,Singapore
"Patan, Ayazulla Khan",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Patel, Payal",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Patel, Pooja",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pathak, S.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pati, Sumeet Kumar",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Patil, Dhananjay",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Patnaik, Pranab",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Patnaik, Rosalini",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Patnaik, Sarthak",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
Payal,1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pegu, Hansraj",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Poddar, Anindya",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Poddar, Shukla",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prakash, K. Satya",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pranavendra, Garani Vittal",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Praneeth, Mogullapally Sai",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prangya, Rout R.",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prasad, Choudhary Kushal",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prasad, Ram Naresh",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prasanna Kumar Ramesh, Kondragunta",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prasath, Sai",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Praveen, Huded M.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Priya, Priyamvada",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prusty, Agnish Dev",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Prusty, Suraj Kumar",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Pudi, Dhilleswararao",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Puspendu, Bhunia",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Rai, Mridul Kumar",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Raj, Kota Mukesh",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Raj, Pranay",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Raj, Rishu",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Rajesh, Dash R.",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Rajput, Parth",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Raju, Dandu Sriram",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Raju, V. Chetan",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Rama Chetan, A.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Ramdas, Meenu",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Ramesh, Raghav",1.0,1.0,University of Warwick,Coventry,United Kingdom
"Ramki, Tadiparthi",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Ramu Naidu, Y.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Rana, Sohel Samim",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Ranjan Dash, Suresh",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Ranjan Samantaray, Subhransu",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
"Rasam, Himanshu R.",1.0,1.0,Indian Institute of Technology Bhubaneswar,Bubhaneswar,India
"Rath, Satchidananda",1.0,0.0,Indian Institute of Technology Bhubaneswar,Bhubaneswar,India
