Author,Documents,h-index,Affiliation,City,Country/Territory
"Khwaja, Ulfa",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Kiran, Sarigamala Karthik  Sarigamala, Karthik Kiran   Karthik Kiran, Sarigamala",6.0,5.0,Indian Institute of Technology Bombay,Mumbai,India
"Kolap, Jyoti",6.0,1.0,Indian Institute of Technology Bombay,Mumbai,India
"Kolekar, Harshal",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Komarala, Eswara Vara Prasadarao R.  Komarala, Eswara Vara Prasadarao      Komarala, Eswaravara Prasadarao   Komarala, Eswara Vara P.R.   Komarala, E. V.P.",6.0,6.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Krishnakumar, S.",6.0,5.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kulkarni, Mandar D.",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kulkarni, Pravin Milind  Kulkarni, Pravin   Kulkarni, P. M.   Kulkarni, Pravin M.",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kulkarni, Sumeet",6.0,5.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kumar, Nikhil  Kumar, N.",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Kumar, Nikhil",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Kumar, Niteen  Kumar, N.",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Kumar, Pragyensh R.S.  Kumar, Pragyensh   Kumar, P. R.S.",6.0,5.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kumar, Satyam",6.0,3.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kumar, Sumit",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Kumar, Vinay V.S.Pradeep  Kumar, Vinay   Kumar, V.   Kumar, V. V.S.Pradeep",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Kumaravel, Maruthai",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Kundu, Mrinal K.  Kundu, M. K.",6.0,5.0,Indian Institute of Technology Bombay,Mumbai,India
"Lala, Krishna  Lala, K.",6.0,3.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Laxmi, Vijai",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"MacMahon, David  Macmahon, David",6.0,5.0,"Global Foundries, Germany",Dresden,Germany
"Maddala, Bala Gopal  Gopal, M. Bala   Gopal, Maddala Bala",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Madhavan, R.",6.0,5.0,Pvt. Ltd.,Mumbai,India
"Madhu, Swati",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Mahamiya, Vikram",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Majumdar, Nirmalya",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Malhotra, Harshit",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Malhotra, Sugandh",6.0,1.0,Indian Institute of Technology Bombay,Mumbai,India
"Mallya, Rasika",6.0,2.0,PAHER University,Udaipur,India
"Mandge, Darshan",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Manohar, C. V.",6.0,6.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mantri, Dinesh B.  Mantri, Dinesh",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Marathe, Soumitra",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Mathur, Arvind Kumar  Mathur, A. K.   Mathur, Arvind K.   Mathur, Arvind",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Mathur, Vipul",6.0,3.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mazumdar, Saikat",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Melath, Gopakumar",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mhatre, Darshan S.  Mhatre, Darshan",6.0,5.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mirgal, Paresh",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Mishra, Ratnesh",6.0,0.0,Indian Institute of Technology Bombay,Mumbai,India
"Mishra, Vandana",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Mistri, Sohrab R.  Mistri, S.   Mistri, Sohrab",6.0,1.0,Indian Institute of Technology Bombay,Mumbai,India
"Mital, Renu  Mital, R.",6.0,6.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mitra, Rahul",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Moiz Khan, Mohammed Moiz  Khan, M. Moiz   Moiz Khan, M.   Khan, Mohammed Moiz",6.0,1.0,Indian Institute of Technology Bombay,Mumbai,India
"More, Amit",6.0,2.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Moronshing, Maku",6.0,6.0,Indian Institute of Technology Bombay,Mumbai,India
"Muhammad, Salman",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Mujumdar, Kaustubh S.  Mujumdar, K. S.",6.0,4.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mukherjee, Madhubani",6.0,5.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mukherjee, Ramnayan",6.0,6.0,Indian Institute of Technology Bombay,Mumbai,India
"Mukhija, Achal",6.0,5.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Mukhopadhyay, Anasua",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Mulmule, D.  Mulmule, Dhruv",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Munagala, Meghana  Meghana, Munagala",6.0,5.0,Indian Institute of Technology Bombay,Mumbai,India
"Nabi, Rizwan",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Nagesh, Ajay",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Naik, Anmol",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Nair, Naveen",6.0,1.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Nampoothiri, A. V.V.N.  Nampoothiri, A. V.V.",6.0,3.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Nanaware, Nirmal  Nanware, Nirmal   Nanaware, N.",6.0,6.0,Indian Institute of Technology Bombay,Mumbai,India
"Nandi, Ritwik  Nandi, R.",6.0,2.0,Indian Institute of Technology Bombay,Mumbai,India
"Naphade, Tejas  Naphade, T.",6.0,5.0,Indian Institute of Technology Bombay,Mumbai,India
"Nedunuri, Aparna Sai Surya Sree  Nedunuri, Sai Surya Sree Aparna",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Neekhra, Suditi",6.0,3.0,Indian Institute of Technology Bombay,Mumbai,India
"Negi, Pawan",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Nori, Rajashree",6.0,2.0,"Indian Institute of Technology, Bombay",Mumbai,India
"Omar, Ahmad  Omar, A.",6.0,4.0,Indian Institute of Technology Bombay,Mumbai,India
"Pal, Lakhan  Pal, L.",6.0,3.0,"Indian Institute of Technology, Bombay",Mumbai,India
