Author,Documents,h-index,Affiliation,City,Country/Territory
"Roy, Shantanu  Roy, S.",99.0,26.0,Indian Institute of Technology Delhi,New Delhi,India
"Agrawal, Monika  Agrawal, M.   Aggarwal, Monika",98.0,12.0,Indian Institute of Technology Delhi,New Delhi,India
"Ahmad, Suhail  Ahmed, S.   Ahmed, Suhail   Ahmad, S.",97.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Ali, Wazed  Wazed Ali, S.   Ali, Syed Wazed   Ali, S. Wazed   Wazed Ali, Syed   Ali, S. W.",97.0,24.0,Indian Institute of Technology Delhi,New Delhi,India
"Arora, Chetan",97.0,17.0,Indian Institute of Technology Delhi,New Delhi,India
"Nabi, Mashuq Un  Un. Nabi, Mashuq   Nabi, M. U.   Mashuq-Un-Nabi, Mashuq un   Nabi, M.   Nabi, Mashuq   un-Nabi, Mashuq   Mashuq un Nabi, Mashuq   Un Nabi   Nabi",97.0,14.0,Indian Institute of Technology Delhi,New Delhi,India
"Dash, Sushil Kumar  Dash, Sushil K.   Dash, S. K.",96.0,25.0,Indian Institute of Technology Delhi,New Delhi,India
"Sharma, K. G.",96.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Sharma, Shilpi  Sharma, S.",96.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Agnihotri, O. P.A.  Agnihotri, O. P.",95.0,23.0,Indian Institute of Technology Delhi,New Delhi,India
"Bijwe, Pradeep R.  Bijwe, P. R.",95.0,25.0,Indian Institute of Technology Delhi,New Delhi,India
"Gupta, Achla K.  Gupta, A. K.   Gupta, Achla   Gupta, A.",95.0,33.0,Indian Institute of Technology Delhi,New Delhi,India
"Das, Dipayan  Dasa, Dipayan   Das, D.",94.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Koul, Veena  Koula, Veena   Koul, V.",94.0,33.0,Indian Institute of Technology Delhi,New Delhi,India
"Jha, Narendra Kumar  Jha, Narendra K.   Jha, N. K.",93.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Kashyap, Hemant K.  Kashyap, Hemant",93.0,28.0,Indian Institute of Technology Delhi,New Delhi,India
"Shahu, Jagdish T.  Shahu, Jagdish Telangrao   Shahu, J. T.   Shahu, J. M.   Shahu, Jagdish T.   Shahu, Jagadish T.",92.0,17.0,Indian Institute of Technology Delhi,New Delhi,India
"Haridas, V.  Haridas, V.   Haridas, Vattekat",91.0,23.0,Indian Institute of Technology Delhi,New Delhi,India
"Mausam, null  Mausam, Mausam   Mausam, M.   Mausam",91.0,30.0,Indian Institute of Technology Delhi,New Delhi,India
"Dube, Dinesh C.  Dube, D.   Dube, Dinesh   Dube, Denesh C.   Dube, D. C.",90.0,27.0,Indian Institute of Technology Delhi,New Delhi,India
"Manna, B.  Manna, B.   Manna, Bappaditya",90.0,9.0,Indian Institute of Technology Delhi,New Delhi,India
"Shahid, Mohammad Iqbal Bin  Shahid, Mohd   Shahid, Mohammad   Shahid, M.   Shahid, Md   Shahid, Mohammed",90.0,24.0,Indian Institute of Technology Delhi,New Delhi,India
"Dharmaraja, Selvamuthu  Dharmaraja, S.   Selvamuthu, Dharmaraja",89.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Shorey, Rajeev  Rajeev, S.   Shorey, R.",89.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Sreenadh, Konijeti  Srieenadh, Konijeti   Sreenadh, K.",89.0,13.0,Indian Institute of Technology Delhi,New Delhi,India
"Ghosh, Sourabh  Ghosh, S.",88.0,28.0,Indian Institute of Technology Delhi,New Delhi,India
"Malhotra, Lalit Kumar  Malhotra, L.   Malhotra, L. K.   Malhotra, LK K.   Malhotra, Lalit   Malhotra, Lalit K.",88.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Rakshit, Dibakar  Rakshit, D.",88.0,16.0,The University of Queensland,Brisbane,Australia
"Sinha, Aloka  Sinha, A.",88.0,17.0,Indian Institute of Technology Delhi,New Delhi,India
"Dixit, Abhisek  Dixit, A.",87.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Singh, Anup  Singh, A.",87.0,26.0,"All India Institute of Medical Sciences, New Delhi",New Delhi,India
"Tandon, Naresh  Tandon, N.",87.0,25.0,Indian Institute of Technology Delhi,New Delhi,India
"Vijay, Virendra Kumar  Vijay, Virendra K.   Vijay, V. K.",87.0,30.0,Indian Institute of Technology Delhi,New Delhi,India
"Bhasin, Shubhendu  Bhasin, S.",86.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Dube, Shishir K.  Dube, S. K.",86.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Mukherjee, Ananda K.  Mukherjee, A. K.",86.0,13.0,Indian Institute of Technology Delhi,New Delhi,India
"Mukhopadhyay, Samrat  Mukhopadhyay, S.",86.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Rengasamy, Raju Seenivasan  Rengasamy, R. S.",86.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
