Author,Documents,h-index,Affiliation,City,Country/Territory
"Prasanna, Sharath R.Mahadeva  Prasanna, Sharath   Prasanna, S. R.M.   Prasanna, Sam   Prasanna, Mahadeva S.R.   Prasanna, S.   Prasanna, Mahadeva   Prasanna, S. R.Mahadeva",246.0,23.0,Indian Institute of Technology Dharwad,Dharwad,India
"Kondepu, K.  Kondepu, K.   Kondepu, Koteswararao",97.0,13.0,Indian Institute of Technology Dharwad,Dharwad,India
"Mahadeva Prasannâ, S. R.  Mahadeva Prasanna, S. R.   Prasanna, S. R.M.   Prasanna, S.   Prasanna, S. R.Mahadeva   Mahadeva Prasanna, S.",86.0,16.0,Indian Institute of Technology Dharwad,Dharwad,India
"Tembe, Bhalachandra L.  Tembe, B. L.",66.0,13.0,Indian Institute of Technology Bombay,Mumbai,India
"Singh, S. P.  Singh, Surya Pratap   Singh, Surya P.   Singh, S. P.",47.0,16.0,Indian Institute of Technology Dharwad,Dharwad,India
"Patil, Mandar R.  Patil, Mandar   Patil, M.   Patil, M. R.",40.0,21.0,Indian Institute of Technology Dharwad,Dharwad,India
"Sen, Sagnik",38.0,6.0,Indian Institute of Technology Dharwad,Dharwad,India
"Narasimha Sastry, N. S.  Sastry, N. S.N.   Sastry, N. S.Narsimha   Sastry, N. S.Narasimha",36.0,6.0,Indian Institute of Technology Dharwad,Dharwad,India
"Patil, Dhiraj V.  Patil, Dhiraj V.   Patil, D. V.",34.0,13.0,Indian Institute of Technology Dharwad,Dharwad,India
"Shukla, Sudhanshu  Shukla, S.   Shukla, Sudhanshu K.   Shukla, Sudhanshu Kumar",34.0,19.0,Indian Institute of Technology Dharwad,Dharwad,India
"Prabhu, R.  Prabhu, R.",32.0,14.0,Indian Institute of Technology Dharwad,Dharwad,India
"Ghosh, Ruma  Ghosh, R.",29.0,12.0,Indian Institute of Technology Dharwad,Dharwad,India
"Balasubramanya, Naveen Mysore  Mysore Balasubramanya, Naveen",25.0,8.0,Indian Institute of Technology Dharwad,Dharwad,India
"Bhat, Rajshekhar Vishweshwar  Bhat, Rajshekhar V.   Bhat, Rajshekhar",25.0,6.0,Indian Institute of Technology Dharwad,Dharwad,India
"Bharath, B. N.  Bharath, B.   Nagaraja, Bharath Bettagere",24.0,6.0,Indian Institute of Technology Dharwad,Dharwad,India
"Bodas, Tejas  Bodas, T.",22.0,3.0,Indian Institute of Technology Dharwad,Dharwad,India
