Author,Documents,h-index,Affiliation,City,Country/Territory
"Patel, P.",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Patel, Panchami",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Patel, Valay",1.0,0.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Patidar, Rajesh",1.0,1.0,Clemson University,Clemson,United States
"Patil, Shubham",1.0,0.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Patle, Shubham",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Patnaik, Siddesh",1.0,0.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Patsariya, Rahul",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Pingale, Akshay",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Pinjari, N.",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
Pinki,1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prabhakar, V. N.",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prajapat, Vinod Kumar",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prakash, Shiv",1.0,0.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prasanna Kumar, D. Jaya",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Pratap Jadhav, Omkar",1.0,0.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prathamesh, J.",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prathmesh, Bhadane",1.0,0.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Prusty, Biswajit",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Puri, Mukul",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
"Purohit, Palak",1.0,1.0,Indian Institute of Technology Gandhinagar,Gandhinagar,India
