Author,Documents,h-index,Affiliation,City,Country/Territory
"Bahadur, D.  Bahadur, D.   Bahadur, Dhirendra",377.0,58.0,Indian Institute of Technology Goa,Ponda,India
"Mishra, Barada Kanta  Mishra, Barda Kanta   Mishra, Baroda Kanta   Mishra, Barada Kant   Mishra, B.   Mishra, Barada K.   Mishra, B. K.   Mishra, Barada",326.0,44.0,Indian Institute of Technology Goa,Ponda,India
"Subudhi, Bidyadhar D.  Subudhi, B. D.   Subudhi, B.   Subudhi, Bidyadhar   Subudhi, Bidydhar   Bidyadhar, Subudhi   Subudhi, Bidhyadhar",298.0,34.0,Indian Institute of Technology Goa,Ponda,India
"Kore, Sachin Dnyandeo  Kore, Sachin   Kore, Sachin D.   Kore, S. D.   Kore, Sachine",65.0,14.0,Indian Institute of Technology Goa,Ponda,India
"Krishna, Sudhir  Krishna, S.   Sudhir, Krishna",51.0,22.0,Indian Institute of Technology Goa,Ponda,India
"Das, Santosh Kumar  Das, Santosh K.   Das, S. K.",41.0,10.0,Indian Institute of Technology Goa,Ponda,India
"Sannigrahi, Jhuma  Sannigrahi, J.",38.0,11.0,Indian Institute of Technology Goa,Ponda,India
"Biswas, Somenath  Biswas, S.",35.0,9.0,Indian Institute of Technology Goa,Ponda,India
"Kanungo, Sudipta  Kanungo, S.",35.0,12.0,Indian Institute of Technology Goa,Ponda,India
"Sahoo, Sujit Kumar  Sahoo, Sujit K.",33.0,10.0,Indian Institute of Technology Goa,Ponda,India
"Ambekar, Anirudha A.  Ambekar, Anirudha   Ambekar, A. A.   Ambekar, A.",31.0,9.0,Indian Institute of Technology Goa,Ponda,India
"Nambath, Nandakumar",28.0,6.0,Indian Institute of Technology Goa,Ponda,India
"Prabhu Gaonkar, Rajesh S.  Prabhu Gaonkar, Rajesh S.   Prabhu Gaonkar, Rajesh Suresh   Gaonkar, R. S.Prabhu   Gaonkar, Rajesh Prabhu   Gaonkar, R. S.P.   Gaonkar, Rajesh S.Prabhu",28.0,6.0,Indian Institute of Technology Goa,Ponda,India
"Kumar, Santosh  Kumar, S.",26.0,19.0,Indian Institute of Technology Goa,Ponda,India
"Pramanick, Bidhan  Pramanick, B.",25.0,9.0,Indian Institute of Technology Goa,Ponda,India
"Sashidhar, S.  Sampathirao, Sashidhar",22.0,6.0,Indian Institute of Technology Goa,Ponda,India
"Narayan, Rishikesh",21.0,13.0,Indian Institute of Technology Goa,Ponda,India
"Upadhyay, Abhitosh  Upadhyay, A.",20.0,5.0,Indian Institute of Technology Goa,Ponda,India
"Kobaku, Tarakanath  Tarakanath, K.",18.0,7.0,Indian Institute of Technology Goa,Ponda,India
"Manuel, Amaldev",17.0,5.0,Indian Institute of Technology Goa,Ponda,India
"Santra, Mantu",17.0,9.0,Indian Institute of Technology Goa,Ponda,India
"Islam, Mohammad Saiful  Islam, Mohammad S.   Islam, Md Saiful   Islam, M. S.",16.0,6.0,Indian Institute of Technology Goa,Ponda,India
"Mitra, Raja  Mitra, R.",15.0,9.0,Indian Institute of Technology Goa,Ponda,India
