Author,Documents,h-index,Affiliation,City,Country/Territory
"Chakraborty, Arunasis  Chakraborty, A.",50.0,10.0,Indian Institute of Technology Guwahati,Guwahati,India
"Karfa, Chandan  Karfa, C.",50.0,8.0,Indian Institute of Technology Guwahati,Guwahati,India
"Kaushik, Hemant B.  Kaushik, H. B.   Kaushik, Hemant B.",50.0,14.0,Indian Institute of Technology Guwahati,Guwahati,India
"Mandal, Partha Sarathi  Mandai, Partha Sarathi   Mandal, Partha   Mandal, Partha S.",50.0,8.0,Indian Institute of Technology Guwahati,Guwahati,India
"Mishra, Anil Kumar  Kumar Mishra, Anil   Mishra, A. K.   Kumar, Mishra Anil   Mishra, Anil K.",50.0,15.0,Indian Institute of Technology Guwahati,Guwahati,India
"Monisha, Javadi",50.0,19.0,Indian Institute of Technology Guwahati,Guwahati,India
"Nath, Shabari",50.0,7.0,Indian Institute of Technology Guwahati,Guwahati,India
"Ramakrishnan, Vibin",50.0,13.0,Indian Institute of Technology Guwahati,Guwahati,India
"Shaik, Rafi Ahamed  Shaik, Rafiahamed",50.0,13.0,Indian Institute of Technology Guwahati,Guwahati,India
"Singh, Deepika  Singh, D.",50.0,16.0,Indian Institute of Technology Guwahati,Guwahati,India
"Banerjee, Arnab  Banerjee, A.",49.0,11.0,Indian Institute of Technology Guwahati,Guwahati,India
"Maurya, Akhilesh Kumar  Maurya, Akhilesh   Maurya, Akhilesh K.  			                Maurya, A. K.",49.0,12.0,Indian Institute of Technology Guwahati,Guwahati,India
"Murthy, Kondepudi S.R.Krishna  Murthy, K. S.R.K.   Murthy, Kondepudi S.R.K.   Murthy, K. S.R.Krishna",49.0,15.0,Indian Institute of Technology Guwahati,Guwahati,India
"Nandi, Soumitra  Nandi, S.",49.0,21.0,Indian Institute of Technology Guwahati,Guwahati,India
"Bhowmik, Biswajit",48.0,10.0,Indian Institute of Technology Guwahati,Guwahati,India
"Dass, Anoop Kumar  Dass, Anoop K.   Dass, A. K.",48.0,15.0,Indian Institute of Technology Guwahati,Guwahati,India
"Bhattacharya, Subhaditya  Bhattacharya, S.   Bhattacharya, Subhadittya   Bhattachary, Subhaditya",47.0,17.0,Indian Institute of Technology Guwahati,Guwahati,India
"Goswami, Lalit",47.0,20.0,Indian Institute of Technology Guwahati,Guwahati,India
"Kumar, Abhishek  Kumar, A.   Abhishek, K.   Abhishek, Kumar",47.0,11.0,Indian Institute of Technology Guwahati,Guwahati,India
"Sharma, Deepak  Sharma, D.",47.0,12.0,Indian Institute of Technology Guwahati,Guwahati,India
"Baruah, Rashmi Dutta  Dutta Baruah, Rashmi   Baruah, Rashmi D.",46.0,9.0,Indian Institute of Technology Guwahati,Guwahati,India
"Dasgupta, Kaustubh  Dasgupta, K.",46.0,8.0,Indian Institute of Technology Guwahati,Guwahati,India
"Gogoi, Anup Kumar  Gogoi, Anup K.   Gogoi, A. K.   Gogoi, Anup Kr   Gogoi, Anup",46.0,8.0,Indian Institute of Technology Guwahati,Guwahati,India
"Gokhale, Sharad  Gokhale, Sharad B.   Gokhale, S.",46.0,18.0,Indian Institute of Technology Guwahati,Guwahati,India
"Goswami, Diganta  Goswami, D.",46.0,7.0,Indian Institute of Technology Guwahati,Guwahati,India
"Pradhan, Bulu",46.0,12.0,Indian Institute of Technology Guwahati,Guwahati,India
"Singh, Sanasam Ranbir  Sanasam, Ranbir",46.0,7.0,Indian Institute of Technology Guwahati,Guwahati,India
"Dasmahapatra, Ashok Kumar  Dasmahapatra, Ahsok Kumar   Dasmahapatra, Ashok K.   DASMAHAPATRA, Ashok Kumar",45.0,13.0,Indian Institute of Technology Guwahati,Guwahati,India
"Kakoty, S. K.  Kakoty, Sashindra K.   Kakoty, S. K.   Kakoty, Sashindra Kumar",45.0,9.0,Indian Institute of Technology Guwahati,Guwahati,India
"Kumar, Aviral  Kumar, Atul   Kumar, A.   Kumar, Ajay",45.0,13.0,Indian Institute of Technology Guwahati,Guwahati,India
"Mahanta, Anil  Mahanta, A.",45.0,9.0,Indian Institute of Technology Guwahati,Guwahati,India
"Rao, Seela Veerabhadreswara  Rao, S. V.",45.0,16.0,Indian Institute of Technology Guwahati,Guwahati,India
"Dasu, Veeranki Venkata  Dasu, Venkata V.   Dasu, V. V.   Dasu, V. Venkata   Dasu, Veeranki V.   Veeranki Dasu, V.",44.0,16.0,Indian Institute of Technology Guwahati,Guwahati,India
