Author,Documents,h-index,Affiliation,City,Country/Territory
"Praneeth Varma, G. V.S.S.  Varma, G. V.S.S.Praneeth",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Prasad P, Syam  Prasad P., Syam",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Prasannakumar, Aiswarya",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Prashant, Kumar",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Prathapaneni, Dimple Raja",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Preethi, Kasirajan  Preethi, K.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Priyamvada, Y. B.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Priyanka, Pantula Devi",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"P.s, Rajalakshmi  P S, Rajalakshmi   P.S, Rajalakshmi",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Puli, Suresh",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Pullaiah, Yerragudi  Yerragudi, Pullaiah",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Purushothaman, Srinithi",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rajanala, Sailaja",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Rajesh, K. V.  Rajesh, K.",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Rajput, Poonam",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rajua, Gembali  Rajua, G.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Ramesh, Yenda  Yenda, Ramesh",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ramesh Sankar, Nandini  Sankar, Nandini Ramesh",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ranjan, Shashank",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ranjan, Shashi",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rao, A. Tirupathi",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rao, Koteswara",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rathod, B. D.S.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rathor, Sachin",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Rautray, Priyabrata  Rautray, P.   Rautra, Priyabrata",9.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Raviteja, K. V.N.S.  Raviteja, Ph V.N.S.   Raviteja, K. V.N.S.   Raviteja, Kuppili",11.0,2.0,SRM University-AP,Mangalagiri,India
"Rayavarapu, Swarajya Madhuri",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Reddy, Bharath Sree Charan Teja  Reddy, B. Sree Charan Teja   Reddy, Bharath",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Reddy, C. Purushotham",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Reddy, Manne Shanmukh  Reddy, M. Shanmukh   Mannea, Shanmukh Reddy",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Reddy, Pathpireddy Manoj Kumar  Reddy, P. Manoj Kumar",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Reddy, Puneeth Sreenivasa 		                Reddy, Puneeth   Reddy, P. Sreenivasa",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Reddy, V. Chengal  Reddy, Venkata",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Reddy, Venkatarami  Reddy Chintapalli, Venkatarami",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Reddy Manne, Shanmukh",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Rout, Kallola",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ruhela, Aakanksha",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sachdeva, Mitali",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sachdeva, Shivangi",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sagar, Shweta S.  Sagar, Shweta   SAGAR, S. S.   Sagar, S. S.",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sagar, T. Chaitanya",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Saha, Indranil",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sahoo, Ajit Kumar",8.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sahoo, Sumit",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sahu, Prem Prakash  Sahu, Prem P.",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sahu, S. R.",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sai Vinay Kishore, N.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Saini, Ayush  Saini, A.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sangabathula, Omkar",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sanju Kumar, N. T.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sankararao, Adduru U.G.",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Santosh, G.",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Saranath, K. M.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sarkar, Anindya",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sarkar, Anirban",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sarkar, Lisa",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Saxena, Roopam",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Seeram, Sowmya",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sellan, Dhanalakshmi",10.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Selvan K, Kalai",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Senapati, Mrinal",9.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sethi, Itishree",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Shanmugasundaram, Bharath",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sharma, Charu",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sharma, Mehul",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sharma, Praveen K.",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sharma, Surbhi",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Shashidhar, Thatikonda  Shashidhar, T.",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Shaw, Gauri Shankar",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Shijith, V. P.",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Shreeshan, S.",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Shukla, Priyanshu",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Singh, Anula Divyash  Singh, Anula   Singh, Anula D.",6.0,2.0,Apollo Hospitals Educational and Research Foundation (AHERF),Hyderabad,India
"Singh, Gangapatnam V.P.Bhagath  Singh, G. V.P.Bhagath",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Singh, Mohit Kumar",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Singh, Om Krishan  Singh, Om Krishna",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sinha, Gudipati Neeraja",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sireesh, Saride  Sireesh, S.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Solomon Jones, S.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Soni, Surendra Kumar",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Soundararaj, A.  Annamalai, Soundararaj   Soundararaj, A.",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sravanthi, Kadavergu",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Sreenivas, Kukkamudi",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Srideep, Dasari",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Srinivas, Dasari",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Subramaniyam, Kalaivanan",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Sudarshan, S.",4.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Suhas, U. S.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Suresh, Nitin  Suresh, N.",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Swain, Gyanadutta",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Swain, Pinaki  Swain, Pinakinarayan A.P.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Swain, Pinaki",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Swami, Aakash",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Tahalani, Milind",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Tamboli, Rameez R.",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Taparia, Mahesh",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Teja, S. Charan",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Thanga Gomathi, P.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Thapa, Vikas",6.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Thomas, Aswathi",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Throvagunta, Praveen  Throvagunta, P.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Tondulkar, Rohan",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Toshniwal, Bhavesh",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Tripathy, Bikash  Tripathy, B.",8.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Unagar, Ajaykumar",3.0,2.0,ETH Zürich,"Zurich ZH,",Switzerland
"Upadhyay, Vikas",3.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Uttamrao, Patil Pranita",5.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Vaish, Pallavi",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Varshney, Sakshi",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Veerla, S.",2.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Velpandian, Muthuraja  Velpandian, M.",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Venkata Reddy, N.",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Verma, Pratibha P.  Verma, P. P.   Verma, Pratibha",4.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Vinod Kumar, T.",2.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Vittal, Shwetha",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Yadav, Kunal",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Yadav, Vishnu P.  Yadav, V. P.",3.0,2.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Yeleswarapu, Sriya",7.0,2.0,Indian Institute of Technology Hyderabad,Kandi,India
"Aamani, S.",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Aashish, Tsunduru",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Aboobacker, Faby Mole Pothiyil",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Adireddy, Satya Trinadh",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Agarwal, Annanay",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Agarwal, Devansh",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Agarwal, Kunal",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Agarwal, Srishti",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Aggarwal, Rohit",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Aggarwal, Sakshi",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Agrawal, Harsha Gopal",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Agrawal, Lavish",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Agrawal, Prashansa",3.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Agrawal, Rajdeep",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Agrawal, Tushant",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ahmad, Sarwat Asma Ziya",3.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ahmed, Shakil",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Aich, Mrinal",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Akanksha, T.",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Akarapu, Ashok",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Akram, Wasim",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Akshaya Gomathi, K.",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Akula, Lokesh Kumar",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Akula, Niveditha",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Amalapuram, Suresh Kumar",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Amarnath, C. R.  Amarnath, C. R.",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Amit, Rasna A.",3.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Ampolu, Haribabu",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Anand, Abhishek",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Anand, Arjun V.",1.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Anand, Nikhil",2.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Ananth Akash, Puppala",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Ande, Gopi",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Ande, Sathish",4.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Andem, Divya",2.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Andhavarapu, Sivaganesh  Andhavarapu, Siva Ganesh",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Anil Kumar, D.",1.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Anirudh, C. V.S.",4.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
"Anjikar, Ajinkya",2.0,1.0,Indian Institute of Technology Hyderabad,Hyderabad,India
"Anju, P. V.",2.0,1.0,Indian Institute of Technology Hyderabad,Kandi,India
