Author,Documents,h-index,Affiliation,City,Country/Territory
"Swami, Pragya",18.0,6.0,Indian Institute of Technology Indore,Indore,India
"Tiwari, Saurabh",18.0,9.0,Indian Institute of Technology Indore,Indore,India
"Verma, M.  Verma, M.   Verma, Mahesh",18.0,7.0,Indian Institute of Technology Indore,Indore,India
"Badole, Manish",17.0,5.0,Indian Institute of Technology Indore,Indore,India
"Bakshi, K.  Bakshi, Kaustav   Bakshi, K.",17.0,5.0,Indian Institute of Technology Indore,Indore,India
"Das, Amit K.  Das, A.   Das, Amit   Das, Amitabha",17.0,9.0,Indian Institute of Technology Indore,Indore,India
"Jadhav, Rohit G.",17.0,6.0,Indian Institute of Technology Indore,Indore,India
"Jha, Srinidhi",17.0,12.0,Indian Institute of Technology Indore,Indore,India
"Majee, Debashis",17.0,9.0,Indian Institute of Technology Indore,Indore,India
"Manjunath, Vishesh",17.0,5.0,Indian Institute of Technology Indore,Indore,India
"Maurya, Ram S.  Maurya, Ram Sajeevan   Maurya, R. S.   Maurya, Ram S.",17.0,7.0,Indian Institute of Technology Indore,Indore,India
"Mishra, Rahul Dev  Mishra, Rahul",17.0,3.0,Indian Institute of Technology Indore,Indore,India
"Pal, Dipayan",17.0,7.0,Indian Institute of Technology Indore,Indore,India
"Sharma, Alfa",17.0,11.0,Indian Institute of Technology Indore,Indore,India
"Singh, Ajeet",17.0,7.0,Indian Institute of Technology Indore,Indore,India
"Singh, Puneet",17.0,3.0,Indian Institute of Technology Indore,Indore,India
"Abraham, Minu Treesa  Abraham, Minu T.",16.0,8.0,Indian Institute of Technology Indore,Indore,India
"Amin, Ruhul",16.0,4.0,Indian Institute of Technology Indore,Indore,India
"Ansari, Shagufi Naz  Ansari, Shagufi N.",16.0,10.0,Indian Institute of Technology Indore,Indore,India
"Joshi, Piyush",16.0,7.0,Indian Institute of Technology Indore,Indore,India
"Kaur, Navpreet",16.0,8.0,Indian Institute of Technology Indore,Indore,India
"Kumar, Akshaya",16.0,6.0,Indian Institute of Technology Indore,Indore,India
"Rajak, Richa",16.0,10.0,Indian Institute of Technology Indore,Indore,India
"Rout, Yogajivan",16.0,8.0,Indian Institute of Technology Indore,Indore,India
"Sabiruddin, Kazi  Kazi, Sabiruddin   Sabiruddin, K.",16.0,9.0,Indian Institute of Technology Indore,Indore,India
"Shankar, Uma",16.0,8.0,Indian Institute of Technology Indore,Indore,India
"Sharma, Priyank J.  Sharma, Priyank J.",16.0,6.0,Indian Institute of Technology Indore,Indore,India
"Shukla, Ashish K.  Shukla, Ashish K.   Shukla, Ashish   Shukla, Ashish Kumar",16.0,6.0,Indian Institute of Technology Indore,Indore,India
"Singirala, Shivaramakrishna",16.0,4.0,Indian Institute of Technology Indore,Indore,India
"Dutta, Surjendu Bikash  Dutta, Surjendu B.   Dutta, Surjendu",15.0,5.0,Indian Institute of Technology Indore,Indore,India
"Ji, Radhe Shyam",15.0,5.0,Indian Institute of Technology Indore,Indore,India
"Madhukar, Yuvraj Kumar  Madhukar, Y. K.   Madhukar, Yuvraj K.   Madhukar, Yuvaraj Kumar",15.0,8.0,Indian Institute of Technology Indore,Indore,India
"Rajpoot, Sajjan  Rajpoot, S.",15.0,6.0,Indian Institute of Technology Indore,Indore,India
"Sharma, Meghna",15.0,9.0,Indian Institute of Technology Indore,Indore,India
"Singh, Vibhum",15.0,6.0,Indian Institute of Technology Indore,Indore,India
"Tiwari, Nitin",15.0,9.0,Indian Institute of Technology Indore,Indore,India
"Ayaz, Saniya",14.0,5.0,Indian Institute of Technology Indore,Indore,India
"Choyal, Vijay  Choyal, V. K.",14.0,7.0,Indian Institute of Technology Indore,Indore,India
"Das, Sandeep",14.0,6.0,Indian Institute of Technology Indore,Indore,India
"Datta, Arijit",14.0,3.0,Indian Institute of Technology Indore,Indore,India
"Ghosh, Atreyee",14.0,6.0,Indian Institute of Technology Indore,Indore,India
"Guin, Soumitra",14.0,9.0,Indian Institute of Technology Indore,Indore,India
"Gupta, Vinay Kumar  Gupta, V. K.",14.0,7.0,Indian Institute of Technology Indore,Indore,India
"Kachave, Deepak",14.0,5.0,Indian Institute of Technology Indore,Indore,India
"Kathavate, Vaibhav S.  Kathavate, V. S.",14.0,5.0,Indian Institute of Technology Indore,Indore,India
"Kumar, Anuj",14.0,7.0,Indian Institute of Technology Indore,Indore,India
"Manikandan, M.",14.0,6.0,Purdue University,West Lafayette,United States
"Mathur, Aakash",14.0,7.0,Indian Institute of Technology Indore,Indore,India
"Misra, Shilpi",14.0,6.0,Indian Institute of Technology Indore,Indore,India
"Pareek, Tanvi",14.0,5.0,Indian Institute of Technology Indore,Indore,India
"Pati, N. C.  Pati, N. C.",14.0,7.0,Indian Institute of Technology Indore,Indore,India
"Praveen, Bushra",14.0,7.0,Indian Institute of Technology Indore,Indore,India
"Sharma, Avadhesh Kumar  Sharma, Avadhesh K.",14.0,4.0,Indian Institute of Technology Indore,Indore,India
"Sil, Gourab",14.0,6.0,Indian Institute of Technology Indore,Indore,India
"Tiwari, Pranav",14.0,9.0,Indian Institute of Technology Indore,Indore,India
"Tyagi, Deepika",14.0,11.0,Indian Institute of Technology Indore,Indore,India
"Anand, Vijay  Anand, V.",13.0,7.0,Indian Institute of Technology Indore,Indore,India
"Borkar, Hemant  Borkar, H.",13.0,6.0,Indian Institute of Technology Indore,Indore,India
"Chakraborty, Sumanjit  Chakraborty, S.",13.0,3.0,Indian Institute of Technology Indore,Indore,India
"Das, Anupam",13.0,10.0,Indian Institute of Technology Indore,Indore,India
"Disawal, Reena  DIsawal, Reena",13.0,5.0,Indian Institute of Technology Indore,Indore,India
"Garg, Kamal K.  Garg, Kamal",13.0,7.0,Indian Institute of Technology Indore,Indore,India
"Gupta, Kavita",13.0,11.0,Indian Institute of Technology Indore,Indore,India
