Author,Documents,h-index,Affiliation,City,Country/Territory
"Singh, Ajay",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Singh, Anurag Kumar",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Singh, Arun Kumar",1.0,1.0,Indian Institute of Technology Jammu,Jammu,India
"Singh, Uday Raj",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Singla, Sakal",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Sofil, Mohammad Ayoub",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Sugandhi, Aayush",1.0,1.0,Indian Institute of Technology Jammu,Jammu,India
"Tiwari, Suchitra",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Ul Reyaz, Suhaib",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Ullah Irshad, Inayat",1.0,1.0,Indian Institute of Technology Jammu,Jammu,India
"Venkateshh, Sugandham",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Wafai, Burhan",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Wani, Abdul Haseeb",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Wani, Rauoof",1.0,0.0,Indian Institute of Technology Jammu,Jammu,India
"Xiong, Yunsheng",1.0,1.0,Indian Institute of Technology Jammu,Jammu,India
"Yadav, Shubhendra S.",1.0,1.0,Indian Institute of Technology Jammu,Jammu,India
"Uma Shaanker, Ramanan U.S.  Uma Shaanker, R.   Shaanker, R. U.   Shaanker, R. Uma   Uma Shaanker, Ramanan   UMA SHAANKER, R.   Shaanker, Ramanan Uma   Shaanker, Ramanan U.   Uma Shaanker, R. U.S.",182.0,34.0,Indian Institute of Technology Jammu,Jammu,India
"Vijayan, Pallippattu Krishnan  Vijayan, Pallipattu K.   Vijayan, P. K.   Vijayan, Pallipattu Krishnan   Vijayan, Pallippattu K.",169.0,29.0,Indian Institute of Technology Jammu,Jammu,India
"Chadha, Anju  Chadha, Aniu   Chadha, A.",121.0,31.0,Indian Institute of Technology Madras,Chennai,India
"Salunkhe, Rahul R.  Salunkhe, Rahul R.   Salunkhe, R. R.",82.0,51.0,Indian Institute of Technology Jammu,Jammu,India
"Saurav, Kushmanda  Saurav, K.",67.0,15.0,Indian Institute of Technology Jammu,Jammu,India
"Subudhi, Badri Narayan  Subudhi, Badri N.   Subudhi, Badri",61.0,13.0,Indian Institute of Technology Jammu,Jammu,India
"Bansal, Ankur  Bansal, A.",59.0,11.0,Indian Institute of Technology Jammu,Jammu,India
"Chauhan, Pankaj",56.0,31.0,Indian Institute of Technology Jammu,Jammu,India
"Jakhetiya, Vinit",54.0,12.0,Indian Institute of Technology Jammu,Jammu,India
"Iyer, Kannan N.  Iyer, Kannan   Iyer, K. N.   Iyer, K.",52.0,13.0,Indian Institute of Technology Jammu,Jammu,India
"Jayaramulu, K.  Jayaramulu, Kolleboyina   Jayaramulu, K.",52.0,29.0,Indian Institute of Technology Jammu,Jammu,India
"Subramaniyan, Anand Kumar  AnandKumar, S.   Kumar, Anand   Anannd Kumar, S.   S, Anand Kumar   S., Anand Kumar   Kumar, S. Anand   Kumar, S. A.   Anandkumar, S.   Anand Kumar, S.",51.0,15.0,Indian Institute of Technology Jammu,Jammu,India
"Pal, Amlan K.  Pal, Amlan K.",45.0,19.0,Indian Institute of Technology Jammu,Jammu,India
"Sarkar, Ashoke Kumar  Sarkar, Ashoke K.   Sarkar, A. K.   Sarkar, Ashoke",42.0,12.0,Indian Institute of Technology Jammu,Jammu,India
"Kushvaha, Vinod  Kushvaha, V.",41.0,18.0,Indian Institute of Technology Jammu,Jammu,India
"Nathwani, Karan  Nathwani, K.",39.0,6.0,Indian Institute of Technology Jammu,Jammu,India
"Sharma, Poonam  Sharma, P.",38.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Velu, R.  Velu, R.   Velu, Rajkumar",38.0,6.0,Indian Institute of Technology Jammu,Jammu,India
"Panda, Manoj Kumar  Panda, M. K.   Panda, Manoj Ku   Panda, Manoj K.   Kumar Panda, Manoj",35.0,7.0,Indian Institute of Technology Jammu,Jammu,India
"Chakraborty, Biswanath  Chakraborty, B.",34.0,15.0,Indian Institute of Technology Jammu,Jammu,India
"Devasahayam, Suresh R.  Devasahayam, Suresh   Devasahayam, S. R.   Devasahayam, S.",33.0,9.0,Indian Institute of Technology Jammu,Jammu,India
"Singh, Ajay",33.0,10.0,Indian Institute of Technology Jammu,Jammu,India
"Dubey, Ankit",32.0,9.0,Indian Institute of Technology Jammu,Jammu,India
"Durai Prabhakaran, Raghavalu Thirumalai  Durai Prabhakaran, R. T.   Prabhakaran, R. T.D.   Prabhakaran, Raghavalu Thirumalai Durai   Prabhakaran, R. T.Durai",31.0,10.0,Indian Institute of Technology Jammu,Jammu,India
"Banerjee, Suman",30.0,4.0,Indian Institute of Technology Jammu,Jammu,India
"Singh, Amit Kumar  Singh, Amit K.   Singh, Aparna Kumari",30.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Joshi, Nitin  Joshi, N.",29.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Mazumder, Shivnath  Mazumder, S.",29.0,15.0,Indian Institute of Technology Jammu,Jammu,India
"Rajput, Archana",29.0,6.0,Indian Institute of Technology Jammu,Jammu,India
"Muthusankar, Eswaran  Muthusankar, E.   Eswaran, Muthusankar",28.0,11.0,Indian Institute of Technology Jammu,Jammu,India
"Varade, Divyesh M.  Varade, Divyesh   Varade, Divyesh M.   Varade, D.",27.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Wani, Zamir  Wani, Zamir Ahmad",27.0,9.0,Indian Institute of Technology Jammu,Jammu,India
"Saini, Ravikant",26.0,6.0,Indian Institute of Technology Jammu,Jammu,India
"Samanta, Subhas",26.0,13.0,Indian Institute of Technology Jammu,Jammu,India
"Ojha, Amitash",25.0,5.0,Indian Institute of Technology Jammu,Jammu,India
"Kumar, Pratik  Kumar, P.",23.0,9.0,Indian Institute of Technology Jammu,Jammu,India
"Kumar Tiwari, Sanat  Tiwari, Sanat   Tiwari, S. K.   Tiwari, Sanat K.   Tiwari, Sanat Kumar",23.0,9.0,Indian Institute of Technology Jammu,Jammu,India
"Varshney, Gaurav",23.0,5.0,Indian Institute of Technology Jammu,Jammu,India
"Dutta, Goutam",21.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Ahlawat, Satyadev",19.0,4.0,Indian Institute of Technology Jammu,Jammu,India
"Arun, Ravi Kumar  Arun, Ravi K.   Arun, R.",19.0,10.0,Indian Institute of Technology Jammu,Jammu,India
"Kathuria, Ankit",18.0,7.0,Indian Institute of Technology Jammu,Jammu,India
"Kaur, Harkeerat",18.0,7.0,Indian Institute of Technology Jammu,Jammu,India
"Ghosh, Kankat  Ghosh, K.",17.0,5.0,Indian Institute of Technology Jammu,Jammu,India
"Mahajan, Suruchi",17.0,13.0,Indian Institute of Technology Jammu,Jammu,India
"Satya Sekhar, B.  Sekhar Bhogilla, Satya   Bhogilla, Satya Sekhar   Satya Sekhar, B.",17.0,11.0,Indian Institute of Technology Jammu,Jammu,India
"Chembolu, Vinay  Chembolu, V.",16.0,6.0,Indian Institute of Technology Jammu,Jammu,India
"Naz, Syed Farah",16.0,5.0,Indian Institute of Technology Jammu,Jammu,India
"Rajput, Arvind Kumar  Rajput, Arvind K.",15.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Bhaduri, Gaurav A.  Bhaduri, Gaurav Ashok   Bhaduri, Gaurav A.   Bhaduri, G.   Bhaduri, G. A.",14.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Patil, R. U.",14.0,8.0,Indian Institute of Technology Jammu,Jammu,India
"Bhowmik, Riya  Bhowmik, R.",13.0,4.0,Indian Institute of Technology Jammu,Jammu,India
"Kumar, Ajay",13.0,6.0,Indian Institute of Technology Jammu,Jammu,India
"Padwal, Manisha B.  Padwal, Manisha B.   Padhwal, Manisha   Padwal, M. B.",13.0,8.0,Indian Institute of Technology Jammu,Jammu,India
