Author,Documents,h-index,Affiliation,City,Country/Territory
"Dhruw, Laxmikant",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Dosi, Muskan",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Dwivedi, Anurag",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Dwivedi, Archit",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Ethiraj, Sabeesh",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Garg, Avinash",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Garg, Praveen",2.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Garg, Shivani",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Ghosh, Surajit S.  Ghosh, S. S.   Ghosh, Surajit",2.0,1.0,Indian Institute of Chemical Biology,Kolkata,India
"Gupta, Geetesh",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Jain, Sanyam",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Jingar, Naresh",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kachhwaha, Mohit",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kamboj, Nisha",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kar, Pallavi",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kasera, Harshita",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Anil",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Anil",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Divya",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Gaurav",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Jitnedra Ravi  Kumar, J. Ravi   Kumar, Jitnedra",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Kapil",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Rakesh",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Rohan",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar, Sumit",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumar Hota, Sudhir",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumari, Akanksha",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumari, Manju",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Kumawat, Sagarmal",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Maji, Sushobhan",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Malik, Apoorva",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Meena, Jitendra  Meena, J.",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Mishra, Shiksha",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Mukesh, Bandi Sai",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Nandi, Subhadra",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Narayan, Kartik",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Pandey, Vikas P.  Pandey, V. P.   Pandey, Vikas",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Patel, Parth",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Patel, Shreya Hasmukh",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Patel, Shreyas Maheshkumar",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Prabha Charan, Chandra",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Prakash, Kshema",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Prasad, Sneha",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Rahul, Kumar",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Raju, I. Venkat Appal",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Rakhi, N. K.",2.0,2.0,"Indraprastha Institute of Information Technology, Delhi",New Delhi,India
"Ramakrishnan, Sai Mukund",2.0,2.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Ramawat, Surbhi",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Saini, Shalu",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Samat, Ramkamal",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Samudrala, Appalakondaiah",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sanghavi, Rushil Kaushal  Sanghavi, Rushil",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Saoji, Siddhant",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sauraw, Anupam  Sauraw, A.",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Saxena, Vivek",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sharma, Arti",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sharma, Harshit",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sharma, Ruchi 						    Sharmax, Ruchi",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Shukla, Manjari",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singh, Akhil Kumar",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singh, DIksha  Singh, Diksha",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singh, Sankalp",2.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singh, Sarvjeet",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singh, Shubham",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singh, Tushar",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Singla, Vinayak",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sonal, Ruhi",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Sri Harsha, C.",2.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Teotia, Revant",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Tiwari, Sheetanshu  Tiwari, S.",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Trivedi, Dipti",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Uniyal, Vinay",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Vashisth, Kanika",2.0,1.0,Baylor University,Waco,United States
"Vemana, Vinith",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Verma, Ram Niwas",2.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Verma, Rohit",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Vyas, Jayant",2.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Vyas, Sachin",2.0,2.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Yadav, Yogesh Kumar",2.0,2.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Abburi, Hari Priya",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Adari, S. K.",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Adhikary, Vinod S.",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Adil, Ammar",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agarwal, Aayushi",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agarwal, Ajay",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agarwal, Atul",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agarwal, Harsh",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agarwala, Pratibha",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agrawal, Geetika",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agrawal, Sumit Kumar",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Agrawat, Chanchal",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Ahlawat, Kiran",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Ahmad, M.",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Akhter, Yasmeena",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Alam, Zeeshan",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
Amrita,1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Anand, Atul",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Ansari, Rashid Malik",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Ansari, Z. A.F.A.R.A.H.M.E.D.  ANSARI, Z. A.F.A.R.A.H.M.E.D.",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Arora, Ravindra",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Arora, Shivam",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Arun Kumar, R.",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Arya, Prakriti",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Asthana, Anansha",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Atreya, Vaishnavi",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Banerjee, Indranil",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bansal, Mukul",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bansal, Sonu",1.0,0.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Barala, Sunil Kumar",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Batar, Aayush",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bayari, Parkala Vishnu Bharadwaj",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhalla, Badal",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhandari, Abhishek",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhandari, Ravi",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bharate, Ghanshyam",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhargav, Shubham",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhartiya, Priyanka",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Bhavsar, Satya",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhutia, Tshering Sangmo",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bhuyar, Vedant",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bommi, Sarath Kumar",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Bundele, Manas",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chakrabortty, Ardhendu",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chakrawarty, Piyush",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Chamola, Shubham",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chaudhary, Saurabh",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chaudhary, Savi",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chauhan, Mayank",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chauhan, Sweta",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Cherian, Mebin Abraham",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Chinchwadkar, Sachin",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Chopra, Praveen",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Choudhary, Ramnarayan",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Chundawat, Neetu Raj Singh",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Dal, Prasad N.",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Darapaneni, Chandana",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Das, Parijat P.",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Deekshitha, Koyinni",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Deepak, Kumar",1.0,1.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Desai, Sarthak",1.0,1.0,Indian Institute of Technology Rajasthan,Jodhpur,India
"Dey, Tamal",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Dhaka, Suman",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
"Dhiman, Sahil",1.0,0.0,Indian Institute of Technology Jodhpur,Jodhpur,India
