Author,Documents,h-index,Affiliation,City,Country/Territory
"Chakraborty, Atasi  Chakraborty, A.",11.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Chandra, Peeyush  Chandra, Peeuysh   Chandra, P.   CHANDRA, P.",11.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Chaturvedi, G. C.",7.0,5.0,"Indian Institute of Technology, Kanpur",Kanpur,India
"Chinnappan, Arun Kumar  Chinnappan, A. K.   Chinnappan, Arun K.",14.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Choudhury, Sumit",6.0,5.0,"Indian Institute of Technology, Kanpur",Kanpur,India
"Cole-Jeffrey, Colleen T.",6.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dahiya, Pardeep",8.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dattatreya Sastry, M.",7.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"De, Sudipta  De, S.",9.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Desai, Aditya  Desai, A.",6.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Deshpande, Tushar D.  Deshpande, T. D.   Deshpande, Tushar   Deshpande, Tushar D.",12.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Deshpande, V. K.",7.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dev, Raghav",7.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dixit, Awantika",5.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dixit, Shalini  Dixit, S.",8.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dixit, Shikha",17.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dubey, Anamika  Dubey, A.",12.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Duggal, Shivali",5.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dutta Banik, Sindrila  Dutta Banik, S.",7.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dwivedi, Anubhav Kumar  Dwivedi, A. K.   Dwivedi, Anubhav K.   Dwivedi, Anubhav",8.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Dwivedi, Ashish Kr  Dwivedi, Ashish   Dwivedi, Ashish K.",6.0,5.0,"Indian Institute of Technology, Kanpur",Kanpur,India
"Furquan, Mohd  Furquan, M.",9.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Gandhi, Shikha",5.0,5.0,"Indian Institute of Technology, Kanpur",Kanpur,India
"Ganguli, Kasturi",6.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Garg, Anita  Garg, A.",6.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Garg, Nidhi",6.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Gaur, Abhishek",5.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Geetha, Sreenath Jayakumar  Sreenath, J. G.",11.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Ghosal, Dibakar  Ghosal, D.",25.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Ghosh, Kunal  Ghosh, K.",9.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Goswami, Gaurav",6.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Govind, Greeshmaja",15.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Gupta, Akhilesh Prakash  Gupta, Akhilesh",13.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
"Gupta, Gaurangi",22.0,5.0,Indian Institute of Technology Kanpur,Kanpur,India
