Author,Documents,h-index,Affiliation,City,Country/Territory
"Sarkar, Santanu",95.0,14.0,Indian Institute of Technology Madras,Chennai,India
"Tangirala, Arun K.  Tangirala, A. K.   Tangirala, Arun   Tangirala, Arun K.",95.0,15.0,Indian Institute of Technology Madras,Chennai,India
"Bhattacharya, Shanti  Bhattacharya, S.   BHATTACHARYA, SHANTI",94.0,12.0,Indian Institute of Technology Madras,Chennai,India
"Chakravorty, Anjan  Chakravorty, A.",94.0,11.0,Indian Institute of Technology Madras,Chennai,India
"Gupte, Neelima  Gupte, N.",94.0,16.0,Indian Institute of Technology Madras,Chennai,India
"Karmalkar, Shreepad  Karmalkar, S.",94.0,17.0,Indian Institute of Technology Madras,Chennai,India
"Maiya, M. P.  Maiya, M. Prakesh   Prakash Maiya, M.   Maiya, Prakash M.   Maiya, Prakash   Maiya, M. Prakash   Maiya, M. P.",94.0,26.0,Indian Institute of Technology Madras,Chennai,India
"Natarajan, Ramamurthy  Natarajan, R.",94.0,10.0,Indian Institute of Technology Madras,Chennai,India
"Usha, R.  Usha, R.   Usha, R. Josephine   Usha, Ranganathan",94.0,17.0,Indian Institute of Technology Madras,Chennai,India
"Patnaik, Archita  Patnaik, A.",93.0,20.0,Indian Institute of Technology Madras,Chennai,India
"Basavaraj, M. G.  Basavaraj, M. G.   Basavaraj, Madivala G.",92.0,22.0,Indian Institute of Technology Madras,Chennai,India
"Jayashankar, V.",92.0,16.0,Indian Institute of Technology Madras,Chennai,India
"Kaisare, Niket S.  Kaisare, Niket S.   Kaisare, N. S.   Kaisare, Niket",92.0,20.0,Indian Institute of Technology Madras,Chennai,India
"Koilpillai, R. David  Koilpillai, David   Koilpillai, Ravinder D.   Koilpillai, R. D.   Koilpillai, David Ravinder   		      David Koilpillai, R.   Koilpillai, David R.   Koipillai, R. David   Koilpillait, R. D.   Koilpillai, D.   Koilpillai, R. David   Koilpillai, Ravinder David",92.0,13.0,Indian Institute of Technology Madras,Chennai,India
"Robinson, Retnamony G.  Robinson, Retnamony G.   Robinson, R. G.",92.0,15.0,Indian Institute of Technology Madras,Chennai,India
"Sundararaman, Mahadevan  Sundararaman, M.",92.0,21.0,Indian Institute of Technology Madras,Chennai,India
"Deshpande, Abhijit P.  Deshpande, Abhijit P.   Deshpande, A. P.   Deshpande, Abhijit",91.0,20.0,Indian Institute of Technology Madras,Chennai,India
"Gupta, Sayan  Gupta, S.",91.0,19.0,Indian Institute of Technology Madras,Chennai,India
"Lavania, Anita  Lavania, A.",91.0,8.0,Indian Institute of Technology Madras,Chennai,India
"Narasimha Rao, S.  Rao, S. Narasimba   Rao, S. Narasimha   Rao, S. N.",91.0,25.0,Indian Institute of Technology Madras,Chennai,India
"Boominathan, Adimoolam  Boominathan, A.",90.0,14.0,Indian Institute of Technology Madras,Chennai,India
"Chandrasekaran, Venkatasubramanian  Chandrasekaran, V.",90.0,20.0,Indian Institute of Technology Madras,Chennai,India
"Pattamatta, Arvind  Pattamattaa, Arvind",90.0,16.0,Indian Institute of Technology Madras,Chennai,India
"Singaperumal, Makaram  Singaperumal, M.   Singaperumal, m.   Singaperumal, Singaperumal   Makaram",90.0,21.0,Indian Institute of Technology Madras,Chennai,India
"Bhattacharya, Enakshi  Bhattacharya, E.",89.0,14.0,Indian Institute of Technology Madras,Chennai,India
"Karunagaran, Devarajan  Karunagaran, D.",89.0,39.0,Indian Institute of Technology Madras,Chennai,India
"Kumar, Pratyush Sreenivasa  Kumar, Pratyush   Kumar, P.   Kumar, P. Sreenivasa   Kumar, P. S.",89.0,16.0,Microsoft Research,Redmond,United States
