Author,Documents,h-index,Affiliation,City,Country/Territory
"Kumar, Ajay  Kumar, A.   Kumar, A. Vinod   Kumar, A. V.   kumar, Ajay",589.0,45.0,Indian Institute of Technology Mandi,Mandi,India
"Vaish, Rahul  Vaish, R.",295.0,33.0,Indian Institute of Technology Mandi,Mandi,India
"Behera, Laxmidhar  Behera, Laxmidar   Behera, Laxmidher   Behera, L.",283.0,28.0,Indian Institute of Technology Mandi,Mandi,India
"Gonsalves, Kenneth E.  Gonsalves, K.   E.gonsalves, Kenneth   Gonsalves, Ken   Gonsalves, Kenneth   Gonsalves, K. E.",228.0,34.0,Indian Institute of Technology Mandi,Mandi,India
"Kumar, Pradeep Sai Anil  Kumar, P.   Kumar, Pradeep   Kumar, P. Sai   Kumar, P. S.   Kumar, Prabhash",192.0,30.0,Indian Institute of Technology Mandi,Mandi,India
"Jain, Sathish Chandra  Jain, Satish   Jain, Satish Chandra   Jain, Sathish   Jain, S. C.   Jain, Satish C.",183.0,33.0,Indian Institute of Technology Mandi,Mandi,India
"Kumar, Amit  Kumar, A.",169.0,19.0,Indian Institute of Technology Mandi,Mandi,India
"Krishnan, Venkata  Krishnan, V.",163.0,41.0,Indian Institute of Technology Mandi,Mandi,India
"Abbas, Syed  Abbas, S.",155.0,22.0,Indian Institute of Technology Mandi,Mandi,India
"Rajpurohit, Bharat Singh  Rajpurohit, Bharat S.   Singh, Bharat   Rajpurohit, B. S.",155.0,15.0,Indian Institute of Technology Mandi,Mandi,India
"Kumar, Rajeev Suresh  Kumar, Rajeev   Kumar, R. Suresh   Kumar, R.",153.0,21.0,Indian Institute of Technology Mandi,Mandi,India
"Ray, Subrata  Ray, Subrat   Ray, S.",142.0,32.0,Indian Institute of Technology Mandi,Mandi,India
"Kashyap, Arti  Arti, Kashyap   Kashyap, A.",117.0,20.0,Indian Institute of Technology Mandi,Mandi,India
"Doddamani, M.  Doddamani, Mrityunajy   Doddamani, Mrityunjay   Doddamani, M.   Mrityunjay, Doddamani   Doddamani, Mrityunjay R.   Doddamani, M. R.",116.0,25.0,Indian Institute of Technology Mandi,Mandi,India
"Oruganti, Ramesh  Oruganti, R.   Oruganti, Rames   Ramesh, O.",115.0,28.0,Indian Institute of Technology Mandi,Mandi,India
"Sharma, Satinder Kumar  Shrama, Satinder K.   Sharma, S. K.   Sharma, Satinder   Sharma, Satinder K.",115.0,19.0,Indian Institute of Technology Mandi,Mandi,India
"VijayRaghavan, Krishnaswamy V.  VijayRaghavan, K.   Vijay Raghavan, K.   Vijayraghavan, Krishnaswamy   VijayRaghavan, Krishnaswamy   Raghavan, K. V.   VijayRaghavan, K. V.   Raghavan, K. Vijay   Vijayraghavan, K.",106.0,35.0,Indian Institute of Technology Mandi,Mandi,India
"Pandey, Sudhir K.  Pandey, Sudhir K.   Pandey, Sudhir Kumar   Pandey, S. K.",105.0,20.0,Indian Institute of Technology Mandi,Mandi,India
"Bhavsar, Arnav V.  Bhavsar, Arnav   Bhavsar, Atnav   Bhavsar, A. V.   Bhavsar, A.   Bhavasar, Arnav",102.0,13.0,Indian Institute of Technology Mandi,Mandi,India
"Pradeep, Chullikkattil P.  Pradeep, Chullikkattill P.   Pradeep, Chullikkattil   Pradeep, Chullikkattil P.",101.0,25.0,Indian Institute of Technology Mandi,Mandi,India
"Dhar, Atul  Dhar, A.",97.0,24.0,Indian Institute of Technology Mandi,Mandi,India
"Nigam, Aditya",96.0,16.0,Indian Institute of Technology Mandi,Mandi,India
"Chowdhury, Shubhajit Roy  Roy Chowdhury, Shubhajit   Chowdhury, S. Roy   Chowdhury, Shubhaiit Roy",91.0,15.0,Indian Institute of Technology Mandi,Mandi,India
"Dutt, Varun",87.0,10.0,Indian Institute of Technology Mandi,Mandi,India
"Nigam, Sumant  Nigam, S.",86.0,43.0,"University of Maryland, College Park",College Park,United States
"Giri, Rajanish  Giri, R.",81.0,19.0,Indian Institute of Technology Mandi,Mandi,India
"Ghosh, Subrata",79.0,18.0,Indian Institute of Technology Mandi,Mandi,India
"Jain, Tushar",79.0,11.0,Indian Institute of Technology Mandi,Mandi,India
"Siril, Prem Felix  Siril, P. F.   Siril, Prem   Siril, Preni Felix   Felix, S. P.   Felix, Prem S.   Siril, Prem F.   Felix, S. Prem",78.0,31.0,Indian Institute of Technology Mandi,Mandi,India
"Mukherjee, Kaustav  Mukherjee, K.",77.0,13.0,Indian Institute of Technology Mandi,Mandi,India
"Sharma, Amit Kumar  Sharma, Amit   Sharma, Amit K.   Sharma, A. K.   Sharma, A.",76.0,20.0,Indian Institute of Technology Mandi,Mandi,India
"Soni, Ajay  Soni, A. B.   Soni, A.",76.0,21.0,Indian Institute of Technology Mandi,Mandi,India
"Chauhan, Vishal S.  Chauhan, V. S.   Chauhan, Vishal S.   Chauhan, V.   Chauhan, Vishal   Chauhan, Vishal Singh",75.0,14.0,Indian Institute of Technology Mandi,Mandi,India
"Talha, Mohammad  Talha, M.",74.0,20.0,Indian Institute of Technology Mandi,Mandi,India
"Nandi, Chayan Kanti  Nandi, Chayan K.   Nandi, C. K.",72.0,22.0,Indian Institute of Technology Mandi,Mandi,India
"Singh, Ranbir  Singh, R.",71.0,24.0,Indian Institute of Technology Mandi,Mandi,India
"Zafar, Sunny  Zafar, S.",69.0,16.0,Indian Institute of Technology Mandi,Mandi,India
"Annachhatre, Ajit Padmakar  Annachhatre, Ajit   Annachhatre, Ajit P.   Annachhatre, A. P.",68.0,25.0,Indian Institute of Technology Mandi,Mandi,India
"Dileep, Aroor Dinesh  DIleep, A. D.   Dileep, A. D.   Dinesh, D.   DInesh, DIleep Aroor   Dinesh, Dileep Aroor",68.0,11.0,Indian Institute of Technology Mandi,Mandi,India
"Yadav, Chandra S.  Yadav, C. S.",66.0,13.0,Indian Institute of Technology Mandi,Mandi,India
"Pal, Suman Kalyan  Pal, S. K.   Pal, Suman K.   Kalyan Pal, Suman",65.0,18.0,Indian Institute of Technology Mandi,Mandi,India
"Halder, Aditi  Halder, A.",64.0,20.0,Indian Institute of Technology Mandi,Mandi,India
"Pathak, Himanshu",63.0,14.0,Indian Institute of Technology Mandi,Mandi,India
"Gonsalves, Timothy A.  Gonsalves, T. A.   Gonsalves, Timothy",62.0,9.0,Indian Institute of Technology Mandi,Mandi,India
"Shrimali, Hitesh  Shrimali, H.",57.0,8.0,Indian Institute of Technology Mandi,Mandi,India
"Sharma, Moolchand  Sharma, Manish",56.0,17.0,Indian Institute of Technology Mandi,Mandi,India
"Gupta, Arpan  Gupta, A.",53.0,10.0,Indian Institute of Technology Mandi,Mandi,India
"Reddy, G. Shrikanth  Reddy, Gopi Shrikant   Reddy, G. S.   Reddy, G. Shrikanth   Reddy, Gopi Shrikanth   Reddy, Gopi S.",53.0,8.0,Indian Institute of Technology Mandi,Mandi,India
"Shrestha, Rahul",52.0,9.0,Indian Institute of Technology Mandi,Mandi,India
"Malik, M.  Malik, M.   Malik, Muslim",51.0,10.0,Indian Institute of Technology Mandi,Mandi,India
"Ray, Rajendra K.",51.0,9.0,Indian Institute of Technology Mandi,Mandi,India
"Tummuru, Narsa Reddy  Reddy, T. Narsa   Reddy, Tummuru N.   Tummuru, N. R.   Tummuru, Narsa R.   Reddy, Tummuru Narsa   Tummuru, Narsa",51.0,13.0,Indian Institute of Technology Mandi,Mandi,India
"Prasad, Amit  Prasad, A.",50.0,19.0,Indian Institute of Technology Mandi,Mandi,India
"Shukla, Dericks Praise  Shukla, Dericks P.   Shukla, D. P.   Shukla, D.",50.0,14.0,Indian Institute of Technology Mandi,Mandi,India
"Mondal, Bhaskar  Mondal, B.",48.0,17.0,Indian Institute of Technology Mandi,Mandi,India
"Balakrishnan, Viswanath",46.0,11.0,Indian Institute of Technology Mandi,Mandi,India
"Viswanath, B.  Viswanath, B.   Viswanath, Balakrishnan",45.0,26.0,Indian Institute of Technology Mandi,Mandi,India
"Powar, Satvasheel",44.0,15.0,Indian Institute of Technology Mandi,Mandi,India
"Srivastava, Kailash N.  Srivastava, K. N.   Srivastava, Kailash   Srivastava, K.",44.0,15.0,Indian Institute of Technology Mandi,Mandi,India
"Usman, Adil  Usman, A.   Usmam, Adil",44.0,8.0,Indian Institute of Technology Mandi,Mandi,India
"Chakraborty, Aniruddha  Chakraborty, Anirudhha",43.0,7.0,Indian Institute of Technology Mandi,Mandi,India
"Kumar, Amit Senthil  Kumar, Amit   Kumar, A.   Kumar, A. Senthil",43.0,19.0,Indian Institute of Technology Mandi,Mandi,India
"Kumar, Ashish",43.0,23.0,Sardar Vallabhbhai Patel Cluster University,Mandi,India
"Thakur, Manoj  Thakur, M.",43.0,18.0,Indian Institute of Technology Mandi,Mandi,India
"Bindu, R.",42.0,11.0,Indian Institute of Technology Mandi,Mandi,India
"Jaiswal, Amit",42.0,17.0,Indian Institute of Technology Mandi,Mandi,India
"Sharma, Anu Rani  Sharma, Arm Rani   Sharma, A. R.  	    Sharma, Anurag   Sharma, Anu",42.0,19.0,Indian Institute of Technology Mandi,Mandi,India
"Sharma, Vivek Kumar  Sharma, Vivek K.   Sharma, Vivek",42.0,6.0,Indian Institute of Technology Mandi,Mandi,India
"Ghosh, Kunal K.  Ghosh, K. K.   Ghosh, Kunal   Ghosh, K.",40.0,10.0,Indian Institute of Technology Mandi,Mandi,India
"Rajan, Padmanabhan  Rajan, P.",40.0,10.0,Indian Institute of Technology Mandi,Mandi,India
"Koner, Rik Rani  Koner, R. R.",39.0,16.0,Indian Institute of Technology Mandi,Mandi,India
"Kumar, Prateek  Kumar, P.",39.0,11.0,Indian Institute of Technology Mandi,Mandi,India
"Pathak, P. K.  Pathak, P.",39.0,11.0,Indian Institute of Technology Mandi,Mandi,India
"Dwivedi, Charu  Dwivedi, C.",38.0,16.0,Indian Institute of Technology Mandi,Mandi,India
