Author,Documents,h-index,Affiliation,City,Country/Territory
"Nair, Shilpa R.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Naveen, K. M.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Nayana, E. C.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Noushija, Mannanthara Kunhumon",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"P, Athira",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Paul, Rebecca Mary",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Peter, Anju Elizbath",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Prashant, Kausadikar Varad",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rachala, Rohith Reddy",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rahoof, T. P.Abdul",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rajat, undefined  Rajat",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rakesh, P. R.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Ramya, Pritesh",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Ranjuna, M. K.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rathore, Sakshi",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Raveendranatha Panicker, Mahesh",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Reddy, Vemireddy Phanindra",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Revathy, B. S.",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rithwik, P.",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"S, Arun Rahul",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"S, Vibha",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sagila Gangadharan, K.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sahoo, Suvadipa",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Saminathan, Sakila",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sebastian, Pinku",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sekar, Rekha S.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sesha Giri, Krishna",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shabana, Neermunda",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shankar, P.",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shanmuga Priyan, V. G.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shanmugapriyan, V. G.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shibu, Jeffin",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Siju, Sreejith           SIJU, SREEJITH",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sivadas, P.",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sudheesh, T. K.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sujatha, G.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sunil, Phule Anish",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Tarun Papa, Adithya Surya",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Tattamangalam Raman, Raghuram",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Thangaraj R, Arjun",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Thonnekottu, Diljith",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Tiwari, Raghav",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Tripathi, Arpan",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Tripathi, Ayush",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"V, Nithyasree P.",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Verma, Sharmila",1.0,1.0,Indian Institute of Technology Palakkad,Palakkad,India
"Verma, Shaurya",1.0,0.0,Indian Institute of Technology Palakkad,Palakkad,India
"Bayry, Jagadeesh  Bayry, Jagedeesh   Bayry, J.   Bayry, Jagdeesh",321.0,54.0,Indian Institute of Technology Palakkad,Palakkad,India
"Santhakumar, Mohan  Mohan, S.   Santhakumar, M.   Mohan, Santhakumar",105.0,18.0,Indian Institute of Technology Palakkad,Palakkad,India
"Dey, Sukomal",98.0,11.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sunil Kumar, Palakurissi B.  Sunil Kumar, P. B.   Kumar, P. B.Sunil   Kumar, Palakurissi B.Sunil   Kumar, P. B.S.",87.0,27.0,Indian Institute of Technology Palakkad,Palakkad,India
"Mehta, Pramod Shankar  Mehta, Pramod   Mehta, P. S.   Mehta, Pramod S.",65.0,14.0,Indian Institute of Technology Palakkad,Palakkad,India
"Chakradhar, D.  Chakradhar, Dupadu   Chakradhar, D.",55.0,18.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shanmugaraju, Sankarasekaran",45.0,23.0,Indian Institute of Technology Palakkad,Palakkad,India
"Kulkarni, S. H.  Kulkarni, S. H.",42.0,7.0,Indian Institute of Technology Palakkad,Palakkad,India
"Raveendranatha Panicker, Mahesh  Panicker, Mahesh Raveendranatha   Mahesh, R.",41.0,13.0,Indian Institute of Technology Palakkad,Palakkad,India
"Porel, Mintu  Porel, M.",38.0,20.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rajendraprasad, Deepak",38.0,9.0,Indian Institute of Technology Palakkad,Palakkad,India
"Anand, T. N. C.  Anand, T. N.C.",35.0,6.0,Indian Institute of Technology Palakkad,Palakkad,India
"Jagadeesan, D.  Jagadeesan, D.   Dinesh, Jagadeesan   Jagadeesan, Dinesh",35.0,19.0,Indian Institute of Technology Palakkad,Palakkad,India
"Kanmani Subbu, S.  Subbu, S. K.Kanmani   Subbu, S. Kanmani",34.0,10.0,Indian Institute of Technology Palakkad,Palakkad,India
"Das, Sovan Lal  Das, S. L.   Das, S.   Das, Sovan   Das, Sovan L.",32.0,13.0,Indian Institute of Technology Palakkad,Palakkad,India
"Lochan, Kshetrimayum  Lochan, K.",32.0,9.0,Indian Institute of Technology Palakkad,Palakkad,India
"Divakaran, Uma  Divakaran, U.   Divakaran, Udiva",31.0,14.0,Indian Institute of Technology Palakkad,Palakkad,India
"Jena, Manas Kumar  Jena, Manas K.",31.0,11.0,Indian Institute of Technology Palakkad,Palakkad,India
"Padmanabhan, Revathy  Padmanabhan, R.",28.0,7.0,Indian Institute of Technology Palakkad,Palakkad,India
"Pal, Amit Kumar  Pal, A. K.",28.0,9.0,Indian Institute of Technology Palakkad,Palakkad,India
"Sadhukhan, Sushabhan",27.0,16.0,Indian Institute of Technology Palakkad,Palakkad,India
"Chaturvedi, Vivek",26.0,9.0,Indian Institute of Technology Palakkad,Palakkad,India
"Rasheed, P. Abdul  Rasheed, Pathath Abdul   Rasheed, P. Abdul",26.0,14.0,Indian Institute of Technology Palakkad,Palakkad,India
"Babu, Jasine",25.0,4.0,Indian Institute of Technology Palakkad,Palakkad,India
"Dey, Soumik",25.0,3.0,Indian Institute of Technology Palakkad,Palakkad,India
"Pillai, Rakesh J.  Rakesh Pillai, J.   Pillai, Rakesh J.",25.0,8.0,Indian Institute of Technology Palakkad,Palakkad,India
"Shukoor, Mohammad Abdul  Abdul Shukoor, Mohammad",25.0,5.0,Indian Institute of Technology Palakkad,Palakkad,India
"Krithika, R.  Krithika, R.",24.0,6.0,Indian Institute of Technology Palakkad,Palakkad,India
"Umadevi, Deivasigamani",24.0,13.0,Indian Institute of Technology Palakkad,Palakkad,India
"Ajoy, Arvind  Ajoy, A.",23.0,5.0,Indian Institute of Technology Palakkad,Palakkad,India
"Arun Rahul, S.  Rahul, S. Arun",23.0,6.0,Indian Institute of Technology Palakkad,Palakkad,India
"Nanjan, Pandurangan  Pandurangan, N.   Pandurangan, Nanjan",23.0,9.0,Indian Institute of Technology Palakkad,Palakkad,India
"Jaiswal, Deepak  Jaiswal, D.",22.0,10.0,Indian Institute of Technology Palakkad,Palakkad,India
"Manni, Soham  Manni, S.",22.0,12.0,Indian Institute of Technology Palakkad,Palakkad,India
"Chitraganti, Shaikshavali  Chitraganti, S.",21.0,5.0,Indian Institute of Technology Palakkad,Palakkad,India
"Kurur, Piyush P.  Kurur, Piyush",21.0,6.0,Indian Institute of Technology Palakkad,Palakkad,India
