Author,Documents,h-index,Affiliation,City,Country/Territory
"Gopalakrishnan, Karthik",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gosalia, Kush",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Goswami, Ashwin M.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Goyal, Arpit",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Gulati, Saurabh",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Aditya",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Aditya",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Ankish",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Aparsh",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Awadhesh",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, G.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Kapil",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Komal",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Kshitija",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Gupta, Rohit",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Haider, Faraz",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Halani, Parth",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Haque, Zufishan",1.0,0.0,Indian Institute of Technology Patna,Patna,India
Harsha,1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Harshavardhan, Kundarapu",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Harshit, Rajbir Singh",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Hasan, Md Shadab",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Himanshu, H.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
Himanshu,1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Hossain, Ezaz",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Hussain, Mohd Zia",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Hussain, Sahid",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Hussian, S.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Inaniyan, M.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Injamala, Sharon Kumar",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Jacob, Ashish",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jain, Anushree",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jain, Kushagra",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Jain, Umang",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jaiswal, P.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jangid, Shubham",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jauhri, Kshitij Susheel",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jayashree, Srivatsa Ramesh",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Jaykumar, B.",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Jha, Gopal Jee",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jha, Prince",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Jolly, Milan Jeetendra",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Jothiprakash, C. G.",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Junaid Akhtar, Md",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Jyoti Ray, Soumya",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"K, Dinesh Kumar",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Kachhap, Preeti",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Kaleem Khan, Mohd",1.0,0.0,Indian Institute of Technology Patna,Patna,India
"Kaner, Swapnil",1.0,1.0,Indian Institute of Technology Patna,Patna,India
"Kansal, Chaitanya",1.0,1.0,Indian Institute of Technology Patna,Patna,India
