Author,Documents,h-index,Affiliation,City,Country/Territory
"Anand, Anshu",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Anas, Mohd  Anas, M.",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Ansari, Md Muslim  Muslim Ansari, Md",10.0,8.0,Indian Institute of Technology Roorkee,Roorkee,India
"Asthana, Bishambhar N.  Asthana, B. N.",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Asthana, Manish Kumar      Asthana, Manish   Asthana, Manish K.",10.0,6.0,Indian Institute of Technology Roorkee,Roorkee,India
"Atreya, Sonal",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Balagurusamy, E.",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Barman, Rahul",10.0,7.0,Indian Institute of Technology Roorkee,Roorkee,India
"Bhatt, Darshak",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Bivina, G. R. 		  Bivina, G. R.   Bivina, Geetha Rajendran",10.0,6.0,Maulana Azad National Institute of Technology,Bhopal,India
"Chakraborty, Papiya",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Chandra Sekhar, K.  Kondaveeti, Chandra Sekhar",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Choudhary, Shweta",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Chouhan, Vikas",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Davis, Teenu Techela",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Debnath, Pallavi  Debnath, P.",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Dua, Gagandeep Singh",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Gaur, Stuti P.S.  Gaur, S. P.S.   Gaur, Stuti",10.0,6.0,Indian Institute of Technology Roorkee,Roorkee,India
"Gautam, Amar Kant  Gautam, Amar K.   Gautam, A. K.",10.0,6.0,Indian Institute of Technology Roorkee,Roorkee,India
"Gautam, Archana K.  Gautam, A. K.   Gautam, Archana",10.0,6.0,Indian Institute of Technology Roorkee,Roorkee,India
"Golla, Mallikarjuna",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Guntu, Ravi Kumar  Kumar Guntu, Ravi",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Gupta, Ravi",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Gupta, Shubhi",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Gupta, Subrata C.  Gupta, Subrata   Gupta, S.   Gupta, S. C.",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Jaga, Om Prakash  Jaga, Omprakash",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Jain, Neena  Jain, N.",10.0,7.0,Indian Institute of Technology Roorkee,Roorkee,India
"Jain, P. C.",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Jain, Udit",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Khadanga, Ganesh  Khadanaga, Ganesh",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Khullar, Subodh  Khullar, S.",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Konduru, Naveen Kumar  Konduru, Naveen K.",10.0,9.0,Indian Institute of Technology Roorkee,Roorkee,India
"Kotturu, Janardhana  Kotturu, J.",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Kumar, Pushpendra Ramesh  Kumar, P. Ramesh   Kumar, Pushpendra",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Kumar, Ravinder Shankar  Kumar, Ravinder   Kumar, R. Shankar   Kumar, R.",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Kushwaha, Sunni Kanta Prasad  Kushwaha, S. K.P.",10.0,4.0,Technical University in Zvolen,Zvolen,Slovakia
"Mahato, Dibyendu",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Maheshwari, Gaurav  Maheshwari, G.",10.0,10.0,Indian Institute of Technology Roorkee,Roorkee,India
"Mahto, Jai Krishna",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Maity, Sudipa",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
Manjusha,10.0,7.0,Indian Institute of Technology Roorkee,Roorkee,India
"Mehndiratta, H. C.",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Mir, Abdul Saleem",10.0,6.0,Indian Institute of Technology Roorkee,Roorkee,India
"Mondal, S.  Mondal, S.   Mondal, Subarna",10.0,3.0,Physical Research Laboratory India,Ahmedabad,India
"Muthaiah, V. M.Suntharavel  Muthaiah, Velmurugan   Muthaiah, V. M.Suntharavel",10.0,7.0,Indian Institute of Technology Roorkee,Roorkee,India
"Nagarjuna, Daram  Nagarjuna, D.",10.0,4.0,Indian Institute of Technology Roorkee,Roorkee,India
"Nath, Ratnadeep",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Nathani, Sandip",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Nayak, Diptimayee",10.0,3.0,Indian Institute of Technology Roorkee,Roorkee,India
"Nehra, Vikas",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
"Nigam, N. C.",10.0,6.0,Indian Institute of Technology Roorkee,Roorkee,India
"Patel, Akansha",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Patra, Rakesh Kumar",10.0,5.0,Indian Institute of Technology Roorkee,Roorkee,India
"Puri, Satish C.  Puri, S. C.   Puri, Satish   Puri, S.",10.0,2.0,Indian Institute of Technology Roorkee,Roorkee,India
