Author,Documents,h-index,Affiliation,City,Country/Territory
"Khushu-Lahiri, Rajyashree",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kiran, Abhimanyu",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manoj",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manoj M.Sree  Kumar, Manoj   Kumar, M. M.Sree",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Rahul Sathish  Kumar, Rahul      Kumar, R. Sathish   Kumar, R.",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Sundeep",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Vishal",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kushwaha, Apoorv",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Maheshwari, Shobhit",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Manigandan, Sabapathy 			    Manigandan, S.",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Muppala, Purnabhishek",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nair, Rahul  Nair, R.",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Paul, Biprajit",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Phaye, Sai Samarth R.",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pratap, Ayush",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Roy, Samir Chandra",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Roy, Soumyajit",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sandhu, Manjit",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sarkar, Sukanta",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Adityabir  Singh, A.",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Prasoon Raj",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Simrandeep",4.0,2.0,Chandigarh University,Mohali,India
"Singla, Sofia  Singla, S.",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sodhi, Gurvinder Pal Singh",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sreenivasan, Krishnamachar  Sreenivasan, K.",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Thind, Birender Singh  Thind, Birender S.",4.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Verma, Kamal",4.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Wadhwa, Riya",4.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Yadav, Anita",4.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Agarwal, Kalyani",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Aimen, Aroof",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bagchi, Subhranil",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Beniwal, Ravi",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bhattacharyya, Sagnik",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Boruah, Bijoy H.  Boruah, Bijoy",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chander, Amanpreet",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chaturvedi, Akansha",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chowdhury, Ranjana Roy",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Das, Ranjan",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Datta, Polly",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dewan, Ankita",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dhiman, Rekha",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Digar, Abhik",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ghosh, Abhijit  GHOSH, ABHIJIT",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Gupta, Parul",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Halder, Moumita",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Hussain, Navid",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jain, Aditi",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jain, Ankur",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jamwal, Vineet",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kalsi, Abhishek",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kar, Somdev",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kashyap, Abhishek Singh",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaur, Jasleen  kaur, Jasleen",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaur, Kuldeep  Kaur, K.",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaur, Milanpreet",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Khare, Shivang",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Aashish Nirmal  Kumar, Aashish   Kumar, A. Nirmal",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Anmol P.Regu  Kumar, Anmol   Kumar, A. P.Regu",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Atul",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Digamber Hemanth  Kumar, D. Hemanth   Kumar, Digamber",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kurmi, Panna Lal  Kurmi, P. L.",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Loganathan, Vijay A.  Loganathan, Vijay   Loganathan, V.",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Lohani, Deepa",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mehta, Karun",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mehta, Love",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mishra, Ankita K.  Mishra, Ankita   Mishra, A. K.",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mishra, Prashant",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mishra, Soumya Ranjan",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Muddasani, Satyanarayana",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mukherji, Aniruddha",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Narang, Arzoo",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nikhil, Nandyala  Nandyala, Nikhil   Nikhil, N.",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nishad, Vipul Kumar",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nistane, Tushar Janarao 				  Nistane, Tushar J.",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Patel, Sandeep",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Patra, Debarun",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Paul, Hrishikesh",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Raju, Geo",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rana, Sahil",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rattan, Anmol",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ravindran, Anaswara",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rawat, Akhilesh",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Raza, Sohaib",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Reji, Athul Thaliyachira  Thaliyachira Reji, Athul",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ringo, Rano",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Roy, Lekha",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sankara Raju Kosuru, G.",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Setia, Himanshu",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sharieff, Imran  Sharieff, Md Imran",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sharma, Priyank Kumar",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sharma, Vikrant",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Divyendu",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Mayank Kumar",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Navneet K.",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Piyush Pratap",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Puneet",3.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh Sambyal, Abhishek  Sambyal, Abhishek Singh",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Tavva, Venkata Kalyan",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Tiwari, Mayank  Tiwari, M.",3.0,3.0,Weizmann Institute of Science Israel,Rehovot,Israel
"Tripathi, Nitesh Mani",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Tumma, Mahesh",3.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Tyagi, Ankit",3.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Yadav, Neeraj Kumar",3.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Agrawal, A.",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ahuja, Rajeev",2.0,1.0,Uppsala Universitet,Uppsala,Sweden
"Alam, Md J.",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Banger, Paramjeet",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bansal, Gourav",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Beura, Subal",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bharadwaj, Vimal K.",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bhardwaj, Vaibhav",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bhat, M. Ashraf",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bhattamishra, Shikha",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chakravarty, Soumen",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chattar, Hemant Kumar",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chhabra, Raj",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chopra, Rita Rani",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chugh, Komal",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Das, Bibhav",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"das Adhikary, Subhasis  Das Adhikary, Subhasis",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Deb, Smita",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dhiman, Manoj",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Duhan, Nidhi",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dutta, Kousik Kumar",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dutta, Nilanjan",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dwiza, Bellamkonda",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ezhil, Thirumavalavan",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ganguly, Sayantan",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Garg, Devender",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Garg, Pranshu",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ghosh, Avisek",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ghosh, Bishal",2.0,1.0,Osaka University,Suita,Japan
"Ghosh, Soumen",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Goyal, Kunal",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Goyal, Puneet",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Goyal, Shivang",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Gupta, Avinash Kumar",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Gupta, Neha",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Halder, Rajat Suvra",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
Himanshu,2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jain, Panika",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jain, Sagar",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jain, Shreya",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jain, Suchi",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jamadar, Manaal Mukhtar",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Joshi, Nitin",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jyani, Vipan",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kamakshi, Vidhya",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kamal Tiwari, Reet",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kanchan, Dipika Rajendra",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kashyap, Ashish",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaur, Sarabjeet",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaushal, Shagun",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kulkarni, Ashutosh",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Abhishek",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Anoop",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Azmeera Harshith  Kumar, A. Harshith",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Krishn",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manish K.Ajithanjaya  Kumar, M. K.Ajithanjaya   Kumar, Manish",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manish",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manish V.Ashwin  Kumar, M. V.Ashwin   Kumar, Manish",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manoj Praveen  Kumar, Manoj   Kumar, M. Praveen",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Manoj S.  Kumar, Manoj   Kumar, M. S.",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Navin",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Rahul",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Shobhit",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Vishal",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar Kar, Ashish",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kushwaha, Suyash",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Maharana, Surya Narayan",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Maharana, Vivek",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mahobe, Megha",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Maji, Sinchan",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Malav, Vikas Kumar",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Malekar, Rutvik",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Malhotra, Kamal",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mehta, Daisy",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mittal, Tarun",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mohanty, Prajna Parimita",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Munjal, Prateek",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nair, Varun  Nair, V.",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nandi, Shubhra Kamal",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Nithin Reddy, G.",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pallakonda, Sheshanth",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pandey, Priyesh Kumar  Pandey, Priyesh",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pandey, Shailesh M.",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pandey, Shubham",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pandranki, Santhosh",2.0,1.0,"Indian Institute of Technology (Indian School of Mines), Dhanbad",Dhanbad,India
"Paul, Akanksha",2.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Paul, Kaustav",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Prabir, Sarkar",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Prasad, Bibhu Shankar  Prasad, Bibhu   Prasad, B. Shankar",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Prasad, M.",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rai, Anuj",2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rai, Saurabh",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Raina, Bisma",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
Rakhi,2.0,0.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ranparia, Devsmit",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rasool, Nahida",2.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Garg, Bhavesh",10.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaushik, Malika",10.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Amit",10.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Balesh  Balesh Kumar",10.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Pankaj Madhu  Kumar, Pankaj   Kumar, P. Madhu",10.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Pavan",10.0,3.0,Indian Institute of Technology Kanpur,Kanpur,India
"Mishra, Chittaranjan  Mishra, C.   MISHRA, CHITTARANJAN",10.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Negi, Alok  Negi, A.",10.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
Priya,10.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rana, Chinar  Rana, C.",10.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
"Rani, Richa",10.0,7.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sabapathy, Manigandan",10.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Saha, Debarshi",10.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Setia, Simran",10.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Uniyal, Piyush",10.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bains, Deepak",9.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Baranwal, Ankit  Baranwal, A.",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Duhan, Pardeep  Duhan, P.",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Gupta, Sameer",9.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Johri, Pranav",9.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kaur, Taranjot",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Gautam Pavan  Kumar, G.   Kumar, G. Pavan   Kumar, Gautam",9.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Tarun Jyotish Dhilip  Kumar, T. Jyotish   Kumar, Tarun   Kumar, T. J.Dhilip   Kumar, T.",9.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Lakhani, Piyush",9.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Marath, Navaneeth K.",9.0,7.0,Indian Institute of Technology Ropar,Rupnagar,India
"Midha, Tripti",9.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
Nisika,9.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Pal, Krishnendu",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Roy Chowdhury, A. N.  Chowdhury, A. N.Roy   Chowdhuary, A. N.R.   Chowdhury, Amar Nath Roy   Roy Chowdhury, A. N.",9.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Sharma, Nayuesh",9.0,8.0,Indian Institute of Technology Ropar,Rupnagar,India
"Singh, Sameer Kumar  Singh, Sameer K.",9.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Taily, Irshad Maajid  Taily, Irshad",9.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Thakur, Swati  Thakur, S.",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Upadhyay, Avnish Kumar  Upadhyay, Avnish K.",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Verma, Amit Arjun",9.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Vishnoi, Neha  Vishnoi, N.",9.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Agrawal, Vishal  Agrawal, V.",8.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Ahmed, Shuja",8.0,5.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bharadwaj, Ananth",8.0,1.0,Indian Institute of Technology Ropar,Rupnagar,India
"Bhatt, Divya",8.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chatterjee, Nachiketa",8.0,7.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chauhan, Anil Kumar  Chauhan, Anil K.   Chauhan, A. K.",8.0,4.0,Indian Institute of Technology Ropar,Rupnagar,India
"Chauhan, Ankit  Chauhan, A.",8.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dash, Shitikantha  Dash, Shitikatha",8.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dev, Vasu",8.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Dubey, Neeru",8.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jaiswal, Vivek",8.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
"Jindal, Akriti  Jindal, A.",8.0,3.0,Indian Institute of Technology Ropar,Rupnagar,India
"Khurana, Gargi",8.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumar, Ancha Satish",8.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Kumari, Pratibha",8.0,2.0,Indian Institute of Technology Ropar,Rupnagar,India
"Mondal, Tarak",8.0,6.0,Indian Institute of Technology Ropar,Rupnagar,India
