Author,Documents,h-index,Affiliation,City,Country/Territory
"Boyalakuntla, Kowndinya",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Chandragiri, Suresh Yadav",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Chitikela, Sai Venkata Gnaneswari",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Das, Debeshee",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Dash, Balaram",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Deep, Aakash",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Deshmukh, Reena Abasaheb",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Dhall, Aditya",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Dheeraj Kumar, K. B.",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Etteneni, Nikhil Kumar",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Gaddam, Sai Jagadeesh",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Gandhi, T. Pushparaj",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Gayathri, S.",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Govindapuram, Suresh",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Gubbala, Chaitanya",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Gupta, Nakshatra",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Gupta, Rohit",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Hareesh, C.",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Haridas, Aswani K.",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Harsha, Sanangala",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Harsha Suri, Bhasker Sri",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Hosahally Nanjegowda, Vinay",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Jamakayala, Jeevan",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Janaki Ramaiah, B.",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Jeevanandam, Sibibalan",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Jivrakh, Kedar B.",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Joshi, Saket Dattatray",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kalicheti, Rishitha",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kartheek Bandi, A. Sai",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kashyap, Madhuri",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kashyap N R, Madhuri",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Khanve, Vaishali",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kiruthika, P.",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kishore, Krishna",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kishore, Kumar C.",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kishore, N. N.",1.0,1.0,Indian Institute of Technology Tirupati,Tirupati,India
"Kowndinya, Boyalakuntla",1.0,0.0,Indian Institute of Technology Tirupati,Tirupati,India
