"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57192936277 (i) on (i)","Garg, Amit  Garg, A.","77","24","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"2 56443280300 (i) on (i)","Sinha, Ankur","68","24","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"3 6507712852 (i) on (i)","D'Cruz, Premilla  D'cruz, Premilla   D’cruz, Premilla   D'Cruz, Premillla   D'Cruz, P.   D’Cruz, Premilla","67","16","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"4 14034638200 (i) on (i)","Noronha, Ernesto","61","14","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"5 7404586904 (i) on (i)","Roy, Subhadip","58","17","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"6 6603439341 (i) on (i)","Vohra, Neharika  Vohra, Naharika","53","16","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"7 26421940400 (i) on (i)","Chakrabarti, Anindya Sundar  Chakrabarti, Anindya S.   Chakrabati, Anindya S.","47","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"8 24172583200 (i) on (i)","Panicker, Gopi Krishna  Panicker, G. K.   Panicker, Gopi   Panicker, Gopi K.   Panicker, G.","45","12","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"9 55172508600 (i) on (i)","Ram Mohan, T. T.  Mohan, T. T.Ram","45","3","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"10 8084060100 (i) on (i)","Laha, Arnab Kumar  Laha, Arnab K.   Laha, Arnab   Kumar Laha, Arnab","39","6","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"11 7101813811 (i) on (i)","Dutta, Goutam  Dutta, G.","37","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"12 7103385866 (i) on (i)","Kwak, Hyokjin","37","18","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"13 35118720400 (i) on (i)","Dixit, Mukund R.  Dixit, Mukund   Dixit, M. R.","36","6","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"14 7103197176 (i) on (i)","Gandhi, Vasant P.  Gandhi, Vasant   Gandhi, V. P.","33","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"15 56187204300 (i) on (i)","Sahay, Arvind","33","10","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"16 12778454300 (i) on (i)","Banerjee, Tathagata  Tathagata, Bandyopadhyay   Banerjee, T.   Bandyopadhyay, T.   Bandyopadhyay, Tathagata","32","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"17 55295757400 (i) on (i)","Chindarkar, Namrata","31","10","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"18 57202643381 (i) on (i)","Gupta, Vishal Kumar  Gupta, Vishal   Gupta, Vishal K.","31","12","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"19 55992047100 (i) on (i)","Chandwani, Rajesh K.  Chandwani, Rajesh","29","11","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"20 53986331700 (i) on (i)","Karna, Amit","29","8","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"21 57193798069 (i) on (i)","Singh, Manjari  Singh, M.","28","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"22 7006683305 (i) on (i)","Ramani, Karaikurichi V.  Ramani, Karaikurichi   Ramani, KV V.   Ramani, K. V.","27","12","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"23 57203811761 (i) on (i)","Gupta, Anil K.  Gupta, A. K.   Gupta, Anil","26","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"24 57224772271 (i) on (i)","Ravichandran, Narasimhan  Ravichandran, N.   Narasimhan, Ravichandran","26","8","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"25 7102930231 (i) on (i)","Bhatnagar, Deepti","24","11","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"26 55549996300 (i) on (i)","Chatterjee, Chirantan","24","7","Hoover Institution","Stanford","United States"
"","View last title","","","",""
"","","","","","",""
"27 56198734000 (i) on (i)","Shukla, Kathan Dushyant  Shukla, Kathan D.   Shukla, Kathan","24","10","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"28 9736959700 (i) on (i)","Turaga, Rama Mohana Rao  Turaga, Rama Mohana   Turaga, Rama Mohana R.   Turaga, Ram Mohana","24","11","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"29 6507836223 (i) on (i)","Basant, Rakesh","23","8","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"30 6508050375 (i) on (i)","Chand, Vijaya Sherry  Chand, V. S.","23","6","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"31 7202774489 (i) on (i)","Chandra, Pankaj  Chandra, P.","23","12","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"32 36915564800 (i) on (i)","Mohapatra, Sanket  Mohapatra, S.","23","7","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"33 23490410300 (i) on (i)","Setia, Pankaj  Setia, P.","23","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"34 24450494400 (i) on (i)","Krishnamoorthy, Srikumar  Srikumar, Krishnamoorthy","22","8","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"35 54893901500 (i) on (i)","Narayanaswami, Sundaravalli  Narayanaswami, S.","22","4","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"36 6603893001 (i) on (i)","Pandey, I. M.  PANDEY, I. M.","22","7","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"37 14063095200 (i) on (i)","Das, Abhiman  Das, A.","21","7","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"38 7401906282 (i) on (i)","Ghosh, Diptesh  Ghosh, D.","21","10","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"39 56496297200 (i) on (i)","Ghosh, Ranjan Kumar  Ghosh, Ranjan K.   Ghosh, Ranjan","21","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"40 7402566281 (i) on (i)","Jacob, Joshy","21","6","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"41 14049095200 (i) on (i)","Ram Mohan, M. P.  Mohan, M. P.Ram","21","4","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"42 55463048300 (i) on (i)","Sharma, Vijay Paul  Sharma, V. P.   Sharma, Vijay P.","21","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"43 6701330437 (i) on (i)","D'Souza, Errol  D'Souza, E.   D'SOUZA, ERROL  			       D’Souza, Errol   D'souza, Errol","20","3","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"44 8343425300 (i) on (i)","Seshadri, D. V.R.","20","5","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"45 55903337300 (i) on (i)","Varma, Jayanth Rama  Varma, Jayanth R.   Varma, J. R.   Varma, Jayanth","20","4","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"46 24485500500 (i) on (i)","Jaiswal, Anand Kumar  Jaiswal, Anand K.","19","10","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"47 36008969400 (i) on (i)","Rai, Rajnish Kumar  Rai, Rajnish K.   Rai, Rajnish","19","6","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"48 57195103609 (i) on (i)","Borah, Sourav Bikash  Borah, Sourav B.","18","9","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"49 56719068400 (i) on (i)","Chakrabarti, Sandip","18","8","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"50 14832406500 (i) on (i)","Dass, Rajanish","18","5","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"51 36460766700 (i) on (i)","Deodhar, Swanand J.  Deodhar, Swanand","18","3","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"52 10341410200 (i) on (i)","Mehta, Shailendra Raj  Mehta, Shailendra   Mehta, Shailendra R.","18","8","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"53 56207793000 (i) on (i)","Sah, Raaj K.  Sah, Raaj K.   Sah, Raaj Kumar   Sah, R. K.   Sah, Raaj","18","12","Indian Institute of Management Ahmedabad","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
