"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57189027827 (i) on (i)","Sindhwani, Rahul","50","16","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"2 7005913876 (i) on (i)","Ramamoorthy, Nagarajan  Ramamoorty, Nagarajan   Ramamoorthy, N.","20","12","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"3 56146408300 (i) on (i)","Kaushik, Arun Kumar  Kaushik, Arun K.","19","10","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"4 57219838768 (i) on (i)","Asokan-Ajitha, Aswathy  Aswathy, Asokan A.   Aswathy Asokan, A.   Aswathy, Asokan Ajitha   Ajitha, Aswathy Asokan   Asokan Ajitha, Aswathy","13","4","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"5 57214001338 (i) on (i)","Gupta, Mahima","10","4","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"6 57216368506 (i) on (i)","Arora, Swapan Deep","8","4","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"7 57199856562 (i) on (i)","Kumar, Mukesh","8","3","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"8 57200383279 (i) on (i)","Jagadale, Sujit Raghunathrao","6","3","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"9 57213799608 (i) on (i)","Singh, Gurbir  Singh, Gubir","6","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"10 56739540800 (i) on (i)","Singh, Sweta","6","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"11 57214720511 (i) on (i)","Majhi, Siddharth Gaurav","5","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"12 57210826544 (i) on (i)","Tripathi, Divya","5","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"13 57488230300 (i) on (i)","Asokan-Ajitha, Aswathy  Asokan Ajitha, Aswathy","4","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"14 57200220471 (i) on (i)","Kumar, Ranjan","4","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"15 57211108689 (i) on (i)","Sharma, Ankit","4","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"16 57210106900 (i) on (i)","Sharma, Udayan","4","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"17 57208549888 (i) on (i)","Vatavwala, Sanket","4","3","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"18 57210999938 (i) on (i)","Chakraborty, Shuvabrata","3","2","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"19 57190755259 (i) on (i)","Dutta, Vartika","2","1","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"20 57225856391 (i) on (i)","Gupta, Amit","2","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"21 57213311585 (i) on (i)","Gupta, Rajeev","2","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"22 57219424337 (i) on (i)","Kommu, Ravishankar Venkata  Kommu, Ravishankar V.","2","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"23 57537321600 (i) on (i)","Mohan, Geetha","2","1","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"24 57224864640 (i) on (i)","Sharma, Ankit","2","1","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"25 57553731500 (i) on (i)","Srivastava, Jagriti","2","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"26 57788973900 (i) on (i)","Chakraborty, Shuvabrata","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"27 57222371723 (i) on (i)","Gupta, Mahima","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"28 57511576000 (i) on (i)","Komera, Surender Rao","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"29 57687315800 (i) on (i)","Kumar Kaushik, Arun","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"30 57863878200 (i) on (i)","Sharma, Shubham","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"31 57225948401 (i) on (i)","Singh, Dilbag","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"32 57226420208 (i) on (i)","Singh, Pavneet","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
"33 57463282800 (i) on (i)","Tiwari, Santosh Kumar","1","0","Indian Institute of Management Amritsar","Amritsar","India"
"","View last title","","","",""
"","","","","","",""
