"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 6508109875 (i) on (i)","Arunkundram, Ravi","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"202 8832427600 (i) on (i)","Bagri, Pankaj","1","0","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"203 57224066191 (i) on (i)","Baje, Ashwini","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"204 8103740900 (i) on (i)","Balaram, A.  Balaram, A.","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"205 57220744897 (i) on (i)","Banerjee, Ritwik","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"206 57195133939 (i) on (i)","Bangari, Ravindra Singh","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"207 57192216576 (i) on (i)","Bansal, Anand Parkash","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"208 6504402982 (i) on (i)","Banyopadhyay, J.","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"209 57192074459 (i) on (i)","Basu, Soumyak","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"210 57196708463 (i) on (i)","Bhandari, A. S.","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"211 57150216900 (i) on (i)","Bhat, Kiran K.","1","0","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"212 56095413300 (i) on (i)","Bhati, Abhishek","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"213 57201065248 (i) on (i)","Bhattacharjee, A.","1","0","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"214 57195202454 (i) on (i)","Binu Philip, C.","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"215 57190579216 (i) on (i)","Bose, Anik","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"216 57211537936 (i) on (i)","Chaklader, Garima","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"217 57204104200 (i) on (i)","Chandrakar, Pranjal","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"218 6507155278 (i) on (i)","Chandrappa, S.","1","0","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"219 57196827892 (i) on (i)","Chandrashekar, M.","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"220 57192235438 (i) on (i)","Chary, S. N.","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"221 24280715600 (i) on (i)","Chaudhary, Abhishek","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"222 57189264276 (i) on (i)","Cherkil, Manjula","1","1","Mount Holyoke College","South Hadley","United States"
"","View last title","","","",""
"","","","","","",""
"223 57202443205 (i) on (i)","Chigurupati, Sandeep","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"224 57323382900 (i) on (i)","Chittaranjan Kalubandi, Sai","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"225 55747679800 (i) on (i)","Choudhary, Preeti","1","0","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"226 57819517200 (i) on (i)","Damodaran, A.","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"227 56890291000 (i) on (i)","Das, Bidipta","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"228 57210123612 (i) on (i)","Datta, Banantika","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"229 57211236567 (i) on (i)","De, Rahul  De', Rahul","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"230 57812230600 (i) on (i)","De, Rahul","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"231 35100796200 (i) on (i)","De Rahul  de Rahul","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"232 57224456233 (i) on (i)","Deb, Dipanjan","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"233 7006700642 (i) on (i)","Dhar, R.","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"234 57213608815 (i) on (i)","Ganatra, Dhimant","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"235 56294713100 (i) on (i)","Ganesh, V.","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"236 57202442576 (i) on (i)","Garg, Anshul","1","1","Indian Institute of Management Bangalore","Bangalore","India"
"","View last title","","","",""
"","","","","","",""
"237 57195567883 (i) on (i)","Gaurav, Rajesh","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"238 57213788598 (i) on (i)","George, Sunila","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"239 57209784919 (i) on (i)","Ghosh, Sudeshna","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"240 57469538400 (i) on (i)","Gosain, Anuj Paul","1","0","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"241 57350550000 (i) on (i)","Govindan, Shwetha","1","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
