"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57193951175 (i) on (i)","Agrawal, Rohit","34","10","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"2 57195410790 (i) on (i)","Lathabhavan, Remya  Remya, L.","29","8","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"3 57190751248 (i) on (i)","Priyadarshinee, Pragati  priyadarshinee, Pragati","27","10","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"4 54682280000 (i) on (i)","Saurabh, Samant  Saurabh, S.","19","6","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"5 34868688300 (i) on (i)","Sahay, Vinita S.  Sahay, Vinita","14","8","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"6 57202479774 (i) on (i)","Srivastava, Amit Kumar  Srivastava, Amit","13","7","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"7 57191193510 (i) on (i)","Krishnankutty, Raveesh","11","5","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"8 34868266200 (i) on (i)","Laeequddin, Mohammed","11","6","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"9 57190763506 (i) on (i)","Suman, Hemant Kumar  Suman, Hemant   Suman, Hemant K.","10","6","Pontificia Universidad Católica de Chile","Santiago","Chile"
"","View last title","","","",""
"","","","","","",""
"10 57201952208 (i) on (i)","Bharti, Teena","8","3","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"11 57208005721 (i) on (i)","Das, Chiranjit","7","4","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"12 57203370920 (i) on (i)","Bharadwaja, Manaswita","5","4","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"13 57202907766 (i) on (i)","Yadav, Madan Lal","5","2","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"14 55858034000 (i) on (i)","Krishna Mohan, T. V.  Mohan, T. V.Krishna   Krishna Mohan, T. V.","4","3","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"15 57203538360 (i) on (i)","Gada, Viswa Prasad","3","2","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"16 57195309320 (i) on (i)","Ranjan, Prabhat","3","2","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"17 57195465246 (i) on (i)","Srivastava, Medha","3","1","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"18 57224930724 (i) on (i)","Sanyal, Priyavrat","2","2","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"19 57209103587 (i) on (i)","Kumar, Sudhanshu","1","0","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"20 57611463700 (i) on (i)","Mishra, Nidhi","1","0","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"21 57712477900 (i) on (i)","Pan, Aritra","1","0","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"22 57715087100 (i) on (i)","Saurabh, Samant","1","0","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"23 57789177900 (i) on (i)","Sengupta, Anirban","1","0","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
"24 57214772316 (i) on (i)","Singh, Baljeet","1","1","Indian Institute of Management Bodh Gaya","Gaya","India"
"","View last title","","","",""
"","","","","","",""
