"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 57562535900 (i) on (i)","Renganathan, Amrutha","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"202 57191409472 (i) on (i)","Rihana","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"203 57289621900 (i) on (i)","Sagarika, Sipra","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"204 57190621581 (i) on (i)","Sahu, Bhawna","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"205 57214334508 (i) on (i)","Sahu, Rohit","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"206 57223888658 (i) on (i)","Sandhu, Harsimran","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"207 57191874295 (i) on (i)","Sen, Sudipta","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"208 57210846210 (i) on (i)","Sengupta, Anirban","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"209 57704205300 (i) on (i)","Shandilya, Bhaskar","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"210 57549456100 (i) on (i)","Shankar, S. Bhavani","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"211 57215504202 (i) on (i)","Sharma, Saumya","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"212 57219858493 (i) on (i)","Sharma, Tarun K.","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"213 57463030700 (i) on (i)","Singh, Gaurika","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"214 57209418362 (i) on (i)","Singh, Pawan","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"215 57226786252 (i) on (i)","Singh, Reetendra","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"216 57454410000 (i) on (i)","Singh, Surabhi","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"217 56890413200 (i) on (i)","Sood, Adithya","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"218 57202584564 (i) on (i)","Sunder, D. L.","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"219 57205113037 (i) on (i)","Tiwari, Santosh Kumar","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"220 57747174500 (i) on (i)","Tyagi, Divya","1","0","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"221 57217301069 (i) on (i)","Varyani, Vartika","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"222 57235355000 (i) on (i)","Yadav, Aashish","1","1","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"223 57224350237 (i) on (i)","Yadav, Nikhilesh K.  Yadav, Nikhilesh K.","1","1","National Chemical Laboratory India","Pune","India"
"","View last title","","","",""
"","","","","","",""
