"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 24376208100 (i) on (i)","Ali, Jabir  Ali, J.","56","13","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"2 57223417993 (i) on (i)","Sahay, B. S.","54","20","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"3 57193664746 (i) on (i)","Akram, Vaseem","39","9","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"4 55918338200 (i) on (i)","Yadav, Rambalak","35","14","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"5 36715725700 (i) on (i)","Upadhyay, Nitin  Upadhyay, N.","30","8","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"6 57198143632 (i) on (i)","Mukherjee, Rohan  Mukherjee, R.","25","4","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"7 56402146800 (i) on (i)","Singh, Sujeet Kumar","13","8","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"8 57132159900 (i) on (i)","Shaikh, Ateeque","11","7","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"9 56828780400 (i) on (i)","Pandey, Pallavi","10","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"10 57191275394 (i) on (i)","Tripathi, Mamta","9","5","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"11 57201152712 (i) on (i)","Kamble, Aakash  Kamble, Aakash Ashok","8","3","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"12 57215538629 (i) on (i)","Silal, Prakrit","7","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"13 57203861501 (i) on (i)","Gadekar, Mahesh","6","4","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"14 57226475981 (i) on (i)","Kumar, Manoj","6","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"15 57189299183 (i) on (i)","Kumari, Minakshi  Kumari, M.","6","4","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"16 57196033946 (i) on (i)","Navare, Ajinkya  Navare, Ajinkya V.","6","4","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"17 57195446623 (i) on (i)","Kumar, Ashish","5","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"18 57193241238 (i) on (i)","Parida, Rashmi Ranjan","5","3","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"19 57205358580 (i) on (i)","Jain, Tinu","4","1","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"20 57221954648 (i) on (i)","Kaur, Kulwinder","4","3","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"21 57666906700 (i) on (i)","Srivastava, Abhishek","4","3","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"22 57221749075 (i) on (i)","Kumar, Avinash","3","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"23 57208581052 (i) on (i)","Mathew, Shawn","3","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"24 57221072497 (i) on (i)","Sharma, Santosh Kumar","2","2","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"25 57452110900 (i) on (i)","Burhan, Muqbil","1","1","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"26 57850962900 (i) on (i)","Dimple, Dimple","1","0","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"27 57376215900 (i) on (i)","Dimple","1","1","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"28 57851598700 (i) on (i)","Nirmal, Deepak Datta","1","0","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"29 57682552100 (i) on (i)","Reddy, K. Nageswara","1","1","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"30 57761984500 (i) on (i)","Tripathi, Mamta","1","0","Indian Institute of Management Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
