"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57212731687 (i) on (i)","Kumar, Harish  Kumar, H.","55","11","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"2 7202136670 (i) on (i)","Mukherjee, Kampan  Mukherjee, K.   Mukherjee, Kuhali","40","12","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"3 55245828800 (i) on (i)","Kumar, Dilip","39","9","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"4 56022578600 (i) on (i)","Jauhar, Sunil Kumar  Jauhar, Sunil   Jauhar, S. K.","30","10","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"5 37028025200 (i) on (i)","Ganguly, Kunal K.  Ganguly, Kunal K.   Ganguly, Kunal","27","8","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"6 55812992700 (i) on (i)","Deb, Madhurima","26","8","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"7 56017172100 (i) on (i)","Balooni, Kulbhushan  Balooni, K.","25","11","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"8 38661020500 (i) on (i)","Banerjee, Probir Kumar  Banerjee, P.   Banerjee, Probir   Kumar, Banerjee Probir   Banerjee, Probir K.","21","7","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"9 56553724200 (i) on (i)","Batra, Safal","20","7","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"10 57035557100 (i) on (i)","Agrawal, Rakesh Kumar  Agrawal, Rakesh","19","7","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"11 23491261700 (i) on (i)","Chakrabarti, Somnath","19","6","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"12 57223407430 (i) on (i)","Dharani, Munusamy  Munusamy, Dharani   Dharani, D.   Dharani M, M.   				      Dharani","19","8","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"13 57086138900 (i) on (i)","Roy, Vivek","19","9","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"14 57218181561 (i) on (i)","Garg, Ashish Kumar  Garg, Ashish   Kumar, Ashish","15","6","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"15 56206000900 (i) on (i)","Bharti, Kumkum","14","7","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"16 56239600300 (i) on (i)","Krishnaswamy, Venkataraghavan  Venkataraghavan, K.","14","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"17 57214462040 (i) on (i)","Kumar, Rajiv","13","6","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"18 37039699700 (i) on (i)","Padhy, Ramakrushna  Padhy, Rama Krushna   Padhy, Ramakrishna   Padhy, Ramakrushna K.   Padhy, R. K.","11","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"19 56275623100 (i) on (i)","Utkarsh","11","6","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"20 6504514707 (i) on (i)","Bhamoriya, Vaibhav","10","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"21 55491686500 (i) on (i)","Sharma, Srinarayan","10","8","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"22 57212103098 (i) on (i)","Srivastava, Abhishek","10","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"23 57224703782 (i) on (i)","Ali, Asgar","9","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"24 57213155714 (i) on (i)","Patra, Sabyasachi","9","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"25 57216222342 (i) on (i)","Badhani, K. N.  Badhani, K. N.","8","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"26 57218629957 (i) on (i)","Bashir, Hajam Abid","8","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"27 56342497000 (i) on (i)","Chatterjee, Devjani","8","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"28 57218629836 (i) on (i)","Samad, Taab Ahmad","8","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"29 57190371138 (i) on (i)","Kulshrestha, Anurag  Kulshrestha, A.","7","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"30 57034319500 (i) on (i)","K̀umar, Vivek  Kumar, Vivek","7","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"31 57208123548 (i) on (i)","Narwal, Preeti","7","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"32 57201312320 (i) on (i)","Pathak, Devendra Kumar  Kumar Pathak, Devendra","7","6","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"33 56166269300 (i) on (i)","Srivastava, Mala","7","6","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"34 57218632464 (i) on (i)","Koshta, Nitin","6","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"35 57218207308 (i) on (i)","Sanguri, Kamal  Sanguri, K.","6","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"36 57223217370 (i) on (i)","Devi, Yashoda","5","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"37 57219489146 (i) on (i)","Islam, K. M.Baharul  Baharul Islam, K. M.","5","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"38 57215427803 (i) on (i)","Manchanda, Mohit","5","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"39 57210961519 (i) on (i)","Sharma, Mayank","5","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"40 57218200408 (i) on (i)","Bhuyan, Atanu  Bhuyan, A.","4","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"41 57208644069 (i) on (i)","Kaushik, Vineet","4","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"42 57222732816 (i) on (i)","Gupta, Rajesh","3","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"43 57216181936 (i) on (i)","Jois, Achutha","3","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"44 57847143200 (i) on (i)","Kumar, Suraj","3","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"45 57195136994 (i) on (i)","Maheshwari, Mridul","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"46 56673762600 (i) on (i)","Maiti, Abhradeep","3","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
