"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 7103076707 (i) on (i)","Saha, Debashis  Saha, Debashish   Saha, Debasish   Saha, D.","194","16","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"2 35569668300 (i) on (i)","Mukerjee, Rahul  Mukerjeeb, Rahul   MUKERJEE, RAHUL   Mukerjee, R.   Mukerjee, Ruhal","185","22","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"3 23008037100 (i) on (i)","Dasgupta, Partha Sarathi  Dasgupta, P. S.   Dasgupta, Parthasarathi   Dasguptat, Parthasarathi   Dasgupta, P.   Dasgupta, Parthsarathi   Dasgupta, Parthasarthi   DasGupta, Parthasarathi   Dasgupta, Partha S.","88","10","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"4 56865159900 (i) on (i)","Mitra, Subrata Kumar  Mitra, Subrata   Kumar Mitra, Subrata   Mitra, Subrata K.   Mitra, S.   Mitra, Subrat Kumar   Mitra, S. K.","85","22","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"5 7402057814 (i) on (i)","Bandyopadhyay, Somprakash N.  Bandyopadhyay, Somprokash   Bandyopadhyay, S. N.   Bandyopadhyay, Somprakash   Bandyopadhyay, S.","82","18","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"6 57226730939 (i) on (i)","Singh, Ramendra","59","16","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"7 6602696239 (i) on (i)","Seetharaman, Priya  Seetharaman, P.","46","8","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"8 57061531200 (i) on (i)","Roy, Rahul Kumar  Roy, Rahul K.   Roy, Rahul","44","10","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"9 25944573500 (i) on (i)","Mahanti, Ambuj  Mahanti, A.","40","11","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"10 7007157996 (i) on (i)","Bandyopadhyay, Jayanta  Bandyopadhyay, J.","38","11","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"11 57208478256 (i) on (i)","Mishra, Prashant  Mishra, P.   Mishra, Prashanth","31","6","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"12 57223116576 (i) on (i)","Sen, Anup Kumar  Sen, Anup K.","31","7","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"13 36669045500 (i) on (i)","Pal, Asim Kumar  Pal, Asim   Kumar Pal, Asim   Pal, Asim K.   Pal, A. K.","30","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"14 9639639100 (i) on (i)","Sadhukhan, Samir K.  Sadhukhan, Samir","30","7","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"15 7006338881 (i) on (i)","Sarkar, Uttam Kumar  Sarkar, Uttam   Sarkar, Uttam K.   Sarkar, U. K.","29","8","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
