"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57195312092 (i) on (i)","S, Sreejesh  S., Sreejesh   S. Pillai, Sreejesh   Pillai, Sreejesh S.   Sreejesh, S.","57","16","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"2 13204991700 (i) on (i)","Krishnan, Satish Siva Rama  Krishnan, S. Siva Rama   Krishnan, Satish","55","13","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"3 23974553400 (i) on (i)","Gurumurthy, Anand  Anand, G.   Anand, Gurumurthy   Gurumurthy, A.","50","23","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"4 14068014600 (i) on (i)","Sebastian, Dr M.P.  Sebastian, M. P.   Sebastian Dr., M. P.","45","8","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"5 57188641706 (i) on (i)","Verma, Pratima  Verma, P.","34","7","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"6 16204282200 (i) on (i)","Purani, Keyoor","31","10","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"7 25634738300 (i) on (i)","Sensarma, Rudra","30","10","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"8 55598472700 (i) on (i)","Adhikari, Atanu","29","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"9 55171948000 (i) on (i)","Balakrishnan, Pulapre  Balakrishnan, P.","28","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"10 56017172100 (i) on (i)","Balooni, Kulbhushan  Balooni, K.","25","11","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"11 55039708400 (i) on (i)","Chowdhury, Shovan  Chowdhury, S.","25","8","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"12 14036323400 (i) on (i)","Kumar Pati, Rupesh  Pati, R. K.  					       Pati, Rupesh K.   Pati, Rupesh Kumar","21","12","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"13 55355007800 (i) on (i)","Mateen, Arqum","18","9","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"14 55903434100 (i) on (i)","Radhakrishna Pillai, Radhakrishna  Pillai, R. Radhakrishna   Pillai, Radhakrishna   Pillai, Radhakrishna R.   Radhakrishna Pillai, R.","18","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"15 36964316900 (i) on (i)","Raju, C.  Chockalingam, Raju","18","5","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"16 24779508800 (i) on (i)","Joy, Simy  Joy, S.","17","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"17 24173752900 (i) on (i)","Mitra, Sumit","17","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"18 36155962900 (i) on (i)","Nandakumar, M. K.  Nandakumar, M. K.   Mankavil Kovil Veettil, Nandakumar","17","7","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"19 55331192200 (i) on (i)","Sridhar, Guda  Guda, Sridhar   Sridhar, G.","17","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"20 26429481100 (i) on (i)","Gangopadhyay, Kausik","16","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"21 55513085600 (i) on (i)","Unnithan, Anandakuttan B.  Unnithan, Anandakuttan B.   Unnithan, Anandakuttan","16","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"22 15847716600 (i) on (i)","Abdulla, Mohammed Shahid","15","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"23 56243937300 (i) on (i)","Swain, Anjan Kumar  Swain, A. K.","15","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"24 55511748103 (i) on (i)","Roy, Soumya","14","7","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"25 57195738696 (i) on (i)","Khan, Anupriya","13","5","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"26 55320193800 (i) on (i)","Upadhyayula, Rajesh Srinivas  Upadhyayula, Rajesh S.   Upadhyayula, Rajesh","13","5","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"27 56596594400 (i) on (i)","Barui, Sandip  Barui, S.","12","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"28 57212278204 (i) on (i)","Gurumurthy, Anand","12","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"29 55909448000 (i) on (i)","Kakani, Ram Kumar","12","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"30 57711773400 (i) on (i)","Kumar, Sumit","11","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"31 57193541504 (i) on (i)","Pal, Abhipsa","11","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"32 57200532634 (i) on (i)","Pati, Surya Prakash","11","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"33 56542459600 (i) on (i)","Paul, Anindita","11","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"34 56216721700 (i) on (i)","Sarkar, Ashutosh  Sarkar, A.","11","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"35 57204107339 (i) on (i)","Sethi, Deepa","11","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"36 49963877600 (i) on (i)","Krishnan, T. N.  Krishnan, T. N.","10","7","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"37 57196469438 (i) on (i)","Kumar, Deepak S.  Kumar, Deepak S.   S Kumar, Deepak","10","6","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"38 56426968600 (i) on (i)","Sikarwar, Ekta","10","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"39 57209686066 (i) on (i)","Arayankalam, Jithesh","9","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"40 55169604200 (i) on (i)","Nair, Sthanu R.  Nair, Sthanur R.","8","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"41 57194237187 (i) on (i)","Pandey, Vidushi","8","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"42 57209528757 (i) on (i)","Sreekumar Nair, Abhilash S.  Nair, Abhilash   Sreekumar Nair, A.   Nair, Abhilash S.   Sreekumar Nair, Abhilash","8","5","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"43 57188035700 (i) on (i)","Sugathan, Praveen","8","7","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"44 55207463900 (i) on (i)","Mohan, Geetha","7","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"45 57194903507 (i) on (i)","Rajeev, A.  A, Rajeev   Rajeev, A.","7","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"46 6506615919 (i) on (i)","Rameshan, P.  Pallikara, Rameshan","7","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"47 57196413799 (i) on (i)","Sampath, Aravind","7","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"48 56642600000 (i) on (i)","A.g, Rekha  Rekha, A. G.   A.G., Rekha","6","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"49 55189484600 (i) on (i)","Banerjee, Pronobesh","6","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"50 6507774590 (i) on (i)","Harisankar, M.","6","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"51 56128825700 (i) on (i)","Krishnan, Omkumar","6","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"52 55507258100 (i) on (i)","Mahadevan, Lakshman","6","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"53 57212520996 (i) on (i)","Nair, Unnikrishnan K.  Nair, K. Unnikrishnan","6","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"54 55175010600 (i) on (i)","Rajeev, Priya Nair  Rajeev, Priya","6","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"55 35956792300 (i) on (i)","Ramprasath, L.","6","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"56 57125487400 (i) on (i)","Subramanian, S.    Subramanian, S.   Shanmugasundaram, Subramanian","6","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"57 57214481753 (i) on (i)","Agarwal, Nikunj","5","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"58 57222661161 (i) on (i)","Ali, Salman","5","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"59 56283613400 (i) on (i)","Bhaskaran, Suku","5","5","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"60 57201032666 (i) on (i)","Chakrabarty, Jimut Bahan","5","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"61 6508298889 (i) on (i)","Dhal, Manoranjan  Dhal, M.","5","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"62 57201069839 (i) on (i)","Dhayanithy, Deepak","5","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"63 55171599300 (i) on (i)","Eapen, Leena Mary","5","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"64 56669459700 (i) on (i)","Gopinath, Saji","5","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"65 57211272742 (i) on (i)","Gupta, Roopak Kumar  Gupta, Roopak K.   Kumar Gupta, Roopak   Gupta, Roopak","5","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"66 26654126900 (i) on (i)","Kuntluru, Sudershan","5","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"67 57195467446 (i) on (i)","Lalji, Chitwan","5","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"68 57208632123 (i) on (i)","Anand, Payal","4","4","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"69 56111457300 (i) on (i)","Das, Anupam","4","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"70 57189309706 (i) on (i)","Deva Prasad, M.","4","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"71 57196922466 (i) on (i)","Krishna, Ben  Krishna, M. U.Ben","4","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"72 57216225117 (i) on (i)","KS, Nivedhitha  Nivedhitha, K. S.","4","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"73 57195732521 (i) on (i)","Mahapatra, Monalisa","4","3","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"74 57204878466 (i) on (i)","Mahasuar, Kiran","4","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"75 57069582900 (i) on (i)","Mohapatra, Siddharth","4","2","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
"76 57196802030 (i) on (i)","Ramachandran, N.  Ramachnadran, N.","4","1","Indian Institute of Management Kozhikode","Kozhikode","India"
"","View last title","","","",""
"","","","","","",""
