"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 35787526100 (i) on (i)","Sharma, Chandan","60","15","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"2 55921446600 (i) on (i)","Kumar, Sushil Suresh S.  Kumar, S.   Kumar, S. S.S.   Kumar, Sushil","48","12","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"3 57201180098 (i) on (i)","Kumar, Pradeep","46","11","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"4 55749037100 (i) on (i)","Jakhar, Suresh Kumar  Jakhar, Suresh   Jakhar, Suresh K.","43","19","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"5 14054816300 (i) on (i)","Srivastava, Samir K.  Srivastava, Samir   Srivastava, Samir K.","43","15","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"6 7004202426 (i) on (i)","Nautiyal, Jagdish C.  Nautiyal, J. C.   Nautiyal, Jagdish","41","10","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"7 35605388900 (i) on (i)","Bhasker, Bharat  Bhasker, Bharal   Bhasker, B.","38","10","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"8 7201817059 (i) on (i)","Mukhopadhyay, Arunabha","36","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"9 56411624200 (i) on (i)","Pal, Debdatta","35","13","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"10 7406396585 (i) on (i)","Singh, Sanjay  Singh, S. K.   Singh, Sanjay K.   Singh, Sanjay Kumar","34","10","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"11 57214304868 (i) on (i)","Singh, Shailendra  Singh, S.","32","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"12 56677743400 (i) on (i)","Daultani, Yash  Daultani, Y.","31","11","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"13 57221223125 (i) on (i)","Singh, Sanjeet","31","7","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"14 36606456600 (i) on (i)","Mohanty, Bhaba Krishna  Mohanty, B.   Mohanty, B. K.","30","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"15 15921975300 (i) on (i)","Agarwal, Yogesh Kumar  Agarwal, Yogesh K.   Agarwal, Yogesh   Agarwal, Y. K.","27","8","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"16 14059901900 (i) on (i)","Dash, Satyabhusan Bhushan  Dash, Satya Bhushan   Dash, Satya Bhusan   Dash, S. B.   Dash, Satyabhushan   Dash, Satya   Dash, Satyabhusan","27","13","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"17 56414180400 (i) on (i)","Bhatia, Manjot Singh  Singh Bhatia, Manjot","25","11","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"18 55295495600 (i) on (i)","Dey, Kushankur","22","6","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"19 54884241800 (i) on (i)","Maity, Moutusy","22","8","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"20 22236090300 (i) on (i)","Vipul","22","8","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"21 57193526801 (i) on (i)","Chakraborty, Madhumita","21","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"22 57211965549 (i) on (i)","Srivastava, Rajiv Kumar  Srivastava, Rajiv K.","20","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"23 57191767753 (i) on (i)","Goyal, Anita","19","7","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"24 8976444500 (i) on (i)","Vaidya, Omkarprasad S.  Vaidya, Omkarprasad","19","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"25 6506459595 (i) on (i)","Dewani, Prem Prakash  Dewani, P. P.   Dewani, Prem P.   Dewani, Prem","18","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"26 54967771100 (i) on (i)","Kumra, Rajeev","17","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"27 56038159700 (i) on (i)","Uppal, Nishant  Nishant, Uppal","17","6","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"28 57193527387 (i) on (i)","Chatterjee, Somdeep","16","3","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"29 35181692600 (i) on (i)","Mittal, Garima","16","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"30 57209576873 (i) on (i)","Subramaniam, Sowmya","15","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"31 23469712300 (i) on (i)","Kapoor, Sanjeev","14","6","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"32 26221281500 (i) on (i)","Karmakar, Madhusudan","14","10","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"33 24478837700 (i) on (i)","Mehra, Payal","14","2","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"34 57191875296 (i) on (i)","Priyadarshi, Pushpendra","14","7","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"35 57211843294 (i) on (i)","Singh, Sonia  Puri, Sonia   Sonia","14","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"36 56878351500 (i) on (i)","Bansal, Anjali","13","6","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"37 7006217450 (i) on (i)","Batra, J. L.","13","9","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"38 56351936900 (i) on (i)","Bhattacharya, Kaushik  Bhattacharya, K.","13","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"39 56505059500 (i) on (i)","Pande, Neerja","13","7","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"40 7401511919 (i) on (i)","Rao, D. Tripati  Tripati Rao, D.   Rao, D. Trip Ati","13","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"41 56643157100 (i) on (i)","Sahoo, Seshadev","13","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"42 56541085400 (i) on (i)","Bandyopadhyay, Kaushik Ranjan","12","6","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"43 27067559700 (i) on (i)","Dixit, Alok","12","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"44 57192072080 (i) on (i)","Saddikuti, Venkataramanaiah  Saddikuti, V.","12","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"45 57189321792 (i) on (i)","Singh, Ajay Kr  Singh, Ajay   Singh, A. Kr   Singh, Ajay K.   Singh, A. K.   Singh, A. K.R.","12","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"46 55193047500 (i) on (i)","Agrahari, Amit","11","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"47 56112280900 (i) on (i)","Balodi, Krishna Chandra  Balodi, Krishna C.","11","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"48 57214112011 (i) on (i)","Jain, Arun Kumar  Jain, A.   Jain, Arun K.","11","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"49 8339108600 (i) on (i)","Natarajan, Rajesh","11","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"50 57222099919 (i) on (i)","Pandey, Ashish","11","2","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"51 57209260068 (i) on (i)","Sharma, Priyanka","11","2","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"52 55607014200 (i) on (i)","Aggarwal, Ashish","10","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"53 55069419500 (i) on (i)","Aithal, Rajesh  Aithal, Rajesh K.","10","3","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"54 55180654600 (i) on (i)","Akbar, Mohammad  Akbar, M.","10","6","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"55 57150696700 (i) on (i)","Awasthi, Kshitij","10","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"56 57211269630 (i) on (i)","Chakraborty, Anirban","10","4","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"57 36741542100 (i) on (i)","Rai, Himanshu  Rai, H.","10","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"58 16233009900 (i) on (i)","Dalal, Jyotirmoy","9","5","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
