"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 36919144300 (i) on (i)","Nandi, Sukumar","1","0","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"202 57897306500 (i) on (i)","Pagare, Dewang Vijay","1","0","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"203 57477580300 (i) on (i)","Pal Singh, Guninder","1","0","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"204 57199423309 (i) on (i)","Pandey, Rahul","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"205 57207413392 (i) on (i)","Pandey, Rahul","1","0","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"206 57201501137 (i) on (i)","Pandey, Santosh Kumar","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"207 57201665247 (i) on (i)","Pandey, Vikas","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"208 57213581890 (i) on (i)","Parveen, Zeenat","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"209 57874979800 (i) on (i)","Prakash Dewani, Prem","1","0","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"210 57205333357 (i) on (i)","Prasad Mishra, Bibek","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"211 57211641952 (i) on (i)","R, Kiran","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"212 57217057750 (i) on (i)","Rauniyar, Sourav","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"213 57731299400 (i) on (i)","Raval, Heli","1","0","Ahmedabad University","Ahmedabad","India"
"","View last title","","","",""
"","","","","","",""
"214 57737792500 (i) on (i)","Rawat, Gargi","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"215 57223034328 (i) on (i)","Reddy, Vanga Deeksha","1","0","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"216 6602693668 (i) on (i)","Samant, Vinayak","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"217 57223183337 (i) on (i)","Samanta, Tamal","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"218 57216528075 (i) on (i)","Sekhar, Sujit","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"219 57223873755 (i) on (i)","Sethi, Kanupriya","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"220 57211588649 (i) on (i)","Sharma, Mayank","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"221 57201605254 (i) on (i)","Sharma, Swati","1","1","Indian Institute of Management Lucknow","Lucknow","India"
"","View last title","","","",""
"","","","","","",""
"222 57903273400 (i) on (i)","Sharma, Varun","1","0","Indian Institute of Management Lucknow","Lucknow","India"
