"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 35309211100 (i) on (i)","Bhattacharyya, Som Sekhar  Bhattacharyya, Som   Bhattacharyya, Som Sekhar Sekhar   Sekhar Bhattacharyya, Som   Bhattacharyya, Som Shekhar   Bhattacharyya, Somsekhar","87","13","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"2 57052130100 (i) on (i)","Jain, Nikunj Kumar  Jain, N. K.   Kumar Jain, Nikunj","27","13","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"3 14071708100 (i) on (i)","Metri, Bhimaraya A.  Metri, Bhimaraya   Metri And, Bhimaraya A.   Metri, B. A.","27","9","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"4 55781800600 (i) on (i)","Arghode, Vishal","19","7","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"5 56602338400 (i) on (i)","Pathak, Atul Arun","17","4","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"6 57215001940 (i) on (i)","Dohale, Vishwas D.  Dohale, Vishwas   Dohale, V. D.","15","7","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"7 57189899676 (i) on (i)","Kaushik, Kapil","11","4","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"8 56131553700 (i) on (i)","Srikanth, Peruvemba B.  Srikanth, P. B.   P.B, Srikanth","11","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"9 56609068800 (i) on (i)","Tomer, Gunjan","10","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"10 57190336502 (i) on (i)","Mukherjee, Deeparghya","9","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"11 57205317841 (i) on (i)","Kakkar, Shiva","8","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"12 36700196200 (i) on (i)","Nagarajan, Magesh  Nagarajan, M.","7","5","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"13 57200797962 (i) on (i)","Khandker, Varsha","6","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"14 57204428339 (i) on (i)","Awasthy, Prakash","5","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"15 56196635900 (i) on (i)","Sett, Rahul Kumar  Sett, Rahul","5","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"16 56727813400 (i) on (i)","Mendonca, Avina J.  Mendonca, Avina","4","2","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"17 57217734565 (i) on (i)","Gupta, Nilesh","3","1","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"18 57195947720 (i) on (i)","Thakurata, Indrajit","3","3","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"19 57217633808 (i) on (i)","Mohanty, Shiba Prasad","2","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"20 57216824091 (i) on (i)","Yadav, Kartik","2","1","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"21 57216506363 (i) on (i)","Bhajni, Sameer","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"22 57816608800 (i) on (i)","Bhattacharya, Som Sekhar","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"23 57226019216 (i) on (i)","Dash, Ankita","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"24 57847908000 (i) on (i)","G.p, Ranjitha  G.P, Ranjitha","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"25 57226697891 (i) on (i)","Haldar, Tanushree","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"26 57540047700 (i) on (i)","Jana, Sayantee","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"27 57219294286 (i) on (i)","Krishnan, T. S.","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"28 57704434900 (i) on (i)","Nagarajan, Magesh","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"29 57216503680 (i) on (i)","Patil, Sourabh","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"30 57890536800 (i) on (i)","Pradhan, Alok Kumar","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
"31 57442407700 (i) on (i)","Ranjitha, G. P.","1","0","Indian Institute of Management Nagpur","Nagpur","India"
"","View last title","","","",""
"","","","","","",""
