"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 55495227700 (i) on (i)","Gupta, Sumeet  Gupta, S.   Sumeet, Gupta","118","30","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"2 9639932600 (i) on (i)","Jana, R. K.  Jana, Rabin K.   Jana, R. K.","58","14","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"3 55430380300 (i) on (i)","Kumar, G.  Kumar, Gopal","18","12","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"4 24544589100 (i) on (i)","Charan, Parikshit  Charan, P.","25","11","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"5 56439159300 (i) on (i)","Chattopadhyay, Manojit","45","11","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"6 24343368600 (i) on (i)","Goswami, Mohit  Goswami, M.","33","11","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"7 57209548175 (i) on (i)","Kumar, Sushant","19","11","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"8 55823230300 (i) on (i)","Prashar, Sanjeev","66","11","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"9 57197102698 (i) on (i)","Ramkumar, M.  M. Arputham, Ramkumar","27","11","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"10 35605388900 (i) on (i)","Bhasker, Bharat  Bhasker, Bharal   Bhasker, B.","38","10","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"11 56719714900 (i) on (i)","Kannadhasan, Manoharan  Manoharan, Kannadhasan   Kannadhasan, M.","23","10","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"12 56342229600 (i) on (i)","Chauhan, Yogesh  Chauhan, Yogesh Kumar","26","9","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"13 54902796700 (i) on (i)","Bapat, Dhananjay Madhukar  Bapat, Dhananjay   Bapat, Dhannajay","21","8","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"14 55194351700 (i) on (i)","Gaur, Jighyasu","19","8","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"15 56669369500 (i) on (i)","Pathak, Rajesh","30","8","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"16 57196059384 (i) on (i)","Tata, Sai Vijay  Tata, Vijay Sai   Vijay, T. Sai   Vijay, Tata Sai","32","8","Indian Institute of Management Raipur","Raipur","India"
"","View last title","","","",""
"","","","","","",""
