"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 26639138400 (i) on (i)","Bala, Pradip Kumar","49","13","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"2 56819584400 (i) on (i)","Sarkar, Sobhan","42","13","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"3 57211236338 (i) on (i)","Ghosh, Piyali","36","14","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"4 57202093315 (i) on (i)","Sengupta, Tuhin","30","12","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"5 8338514200 (i) on (i)","Sachan, Amit","26","10","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"6 36661888400 (i) on (i)","Bera, Sasadhar","24","7","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"7 7005724807 (i) on (i)","Dutta, Tanusree  Dutta, T.","23","8","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"8 51563535300 (i) on (i)","Dixit, Vijaya","22","9","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"9 57190811245 (i) on (i)","Gupta, Rohit  Gupta, R.","22","9","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"10 57190621872 (i) on (i)","Adhikari, Arnab  Adhikar, Arnab","21","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"11 57222962723 (i) on (i)","Bansal, Manish","21","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"12 57021549000 (i) on (i)","Naresh, G.  Gopal, Naresh","20","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"13 57200279610 (i) on (i)","Aggarwal, Divya","16","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"14 56921184600 (i) on (i)","Sarkar, Soumya","16","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"15 56095570600 (i) on (i)","Mishra, Aditya Shankar  Mishra, Aditya   Mishra, Aditya S.","15","7","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"16 56243665200 (i) on (i)","Kumar, Manish","14","9","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"17 57193266753 (i) on (i)","Mukherjee, Arindam","14","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"18 57216792660 (i) on (i)","Singh, Shiwangi","14","10","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"19 54388704300 (i) on (i)","Dutta, Swarup Kumar  Dutta, Swarup K.   Dutta, Swarup","13","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"20 57215069042 (i) on (i)","Ray, Pritee","13","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"21 57222962200 (i) on (i)","Kumar, Rohit","12","2","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"22 26432738600 (i) on (i)","Nandy, Amarendu","12","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"23 57188815652 (i) on (i)","Anand, Ambuj","11","3","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"24 55602972700 (i) on (i)","Bhattacharjee, Sankalpa","11","6","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"25 8953044400 (i) on (i)","Chakraborty, Shibashish","11","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"26 57214054962 (i) on (i)","Kumar, Pradeep","11","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"27 55387583700 (i) on (i)","Mishra, Bijaya","11","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"28 57214896093 (i) on (i)","Kundu, Sayantan","10","2","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"29 57195233943 (i) on (i)","Chakrabarti, Prasenjit","9","2","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"30 35776709600 (i) on (i)","Singhal, Rekha  Singhal, R.","9","4","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"31 57205506049 (i) on (i)","Dasgupta, Shilpee A.","8","5","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
"32 57202363978 (i) on (i)","Elembilassery, Varun","8","1","Indian Institute of Management Ranchi","Ranchi","India"
"","View last title","","","",""
"","","","","","",""
