"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57225667071 (i) on (i)","Srivastava, Praveen Ranjan  Srivatsava, Praveen Ranjan","104","17","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"2 56666623600 (i) on (i)","Sharma, Dheeraj P.  Sharma, Dheeraj","58","14","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"3 55487568500 (i) on (i)","Singh, Amol  Singh, A.","38","16","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"4 56316262600 (i) on (i)","Ghosh, Koustab","29","12","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"5 57038581800 (i) on (i)","Garg, Chandra Prakash   Prakash, Chandra","28","17","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"6 56146470100 (i) on (i)","Pandey, Shivendra Kumar  Pandey, Shivendra K.   Pandey, S.   Pandey, Shivendra   Pandey, S. K.","28","6","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"7 57214419955 (i) on (i)","Kumar, Ashwani  Kumar, A.","21","7","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"8 8338513500 (i) on (i)","Jharkharia, Sanjay","20","11","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"9 37059023600 (i) on (i)","Kesharwani, Ankit","18","9","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"10 23466625500 (i) on (i)","Khanna, Rupika  Khanna, RUPIKA","13","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"11 56483258600 (i) on (i)","Khatwani, Gaurav","13","7","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"12 57210106597 (i) on (i)","Seth, Himanshu","13","6","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"13 57203928631 (i) on (i)","Dash, Sanket Sunand  Dash, Sanket S.   Sunand Dash, Sanket   Dash, Sanket","12","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"14 57209570544 (i) on (i)","Patro, Archana","11","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"15 57207467591 (i) on (i)","Tripathi, Manas Mani  Tripathi, Manas","11","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"16 57211743682 (i) on (i)","Verma, Abhishek  Verma, A.","11","6","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"17 57207879033 (i) on (i)","Pandey, Peeyush","10","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"18 57198421222 (i) on (i)","Sharma, Divya","10","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"19 56350305300 (i) on (i)","Sinha, Priyank","10","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"20 57193769594 (i) on (i)","Tapar, Archit Vinod  Tapar, Archit V.","9","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"21 57204956221 (i) on (i)","Mishra, Madhurima","8","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"22 57158782500 (i) on (i)","Murthy, Venkatesh R.  Murthy, Venkatesh   Venkatesh Murthy, R.","8","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"23 57195573697 (i) on (i)","Pant, Abhay  Pant, ABHAY","8","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"24 57196040457 (i) on (i)","Sarkar, Subhro","8","6","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"25 57205153941 (i) on (i)","Tiwari, Amit Anand","8","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"26 57193091905 (i) on (i)","Yadav, Rama Shankar  Yadav, Ramashankar","8","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"27 54583614000 (i) on (i)","Kohli, Reena","6","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"28 57204950831 (i) on (i)","Pandey, Agrata","6","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"29 57210571415 (i) on (i)","Baishya, Kuldeep","5","4","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"30 57196245405 (i) on (i)","Bhardwaj, Neha","5","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"31 36661803100 (i) on (i)","Bhardwaj, Preshth","5","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"32 57210433027 (i) on (i)","Patel, Shivan Sanjay","5","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"33 35303201400 (i) on (i)","Rakshit, Atanu","5","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"34 57207251587 (i) on (i)","Singh, Abhishek","5","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"35 57222197114 (i) on (i)","Arun, T. M.","4","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"36 57698047900 (i) on (i)","Garg, Chandra Prakash","4","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"37 57283304000 (i) on (i)","Gaur, Diptanshu","4","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
