"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 7003354436 (i) on (i)","Jaiswal, Mahadeo Prasad  Jaiswal, Mahadeo   Jaiswal, Mahadeo P.   Jaiswal, M. P.","29","12","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"2 56865434400 (i) on (i)","Guha Deb, Soumya  Deb, Soumya Guha   Deb, Soumya G.","25","5","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"3 57202998231 (i) on (i)","Kumar, Rahul Ranjith  Kumar, Rahul   Kumar, R. Ranjith   Kumar, R.","22","8","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"4 37101870700 (i) on (i)","Mahapatra, Diptiranjan  Mahapatra, D.","12","6","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"5 57225691097 (i) on (i)","Choudhary, Divya","10","4","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"6 55369855600 (i) on (i)","Sindhi, Sumita","10","3","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"7 57200618170 (i) on (i)","Annamalai, Balamurugan","9","4","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"8 55982721200 (i) on (i)","Tripathi, Ashutosh Kumar","8","2","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"9 57195100630 (i) on (i)","Ali, Esrafil","2","0","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"10 57481698900 (i) on (i)","Bhardwaj, Shikha","2","1","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"11 57516350000 (i) on (i)","Padhy, Ramakrushna K.  Padhy, Ramakrushna   Padhy, R. K.","2","1","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"12 57210015492 (i) on (i)","Shukla, Sakshi","2","1","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"13 57798896100 (i) on (i)","Misra, Arun Kumar","1","0","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"14 57218167226 (i) on (i)","Nag, Gopal C.","1","1","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"15 57828594200 (i) on (i)","Nandy, Merlin","1","0","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
"16 57216586334 (i) on (i)","Sharma, Ankul","1","1","Indian Institute of Management Sambalpur","Sambalpur","India"
"","View last title","","","",""
"","","","","","",""
