"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 26326030000 (i) on (i)","Upadhyay, Parijat  Upadhyaya, Parijat","34","11","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"2 22433590700 (i) on (i)","Roychoudhury, Basav","24","7","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"3 57196712673 (i) on (i)","Joshi, Rohit","20","7","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"4 57189309875 (i) on (i)","Pattusamy, Murugan","18","7","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"5 57195241876 (i) on (i)","Choudhary, Kailash  Choudhary, K.","17","9","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"6 28168064200 (i) on (i)","Tripathy, Naliniprava","15","4","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"7 36242366100 (i) on (i)","Sadarangani, Pradip H.  Sadarangani, Pradip","14","6","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"8 57199285764 (i) on (i)","Gogoi, Bidyut Jyoti","12","4","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"9 56567005600 (i) on (i)","Das, Sitanshu Sekhar  Sekhar Das, Sitanshu","11","5","Rajagiri Business School","Kochi","India"
"","View last title","","","",""
"","","","","","",""
"10 55875309600 (i) on (i)","Rani, Neelam","11","5","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"11 57193072756 (i) on (i)","Bhattacharya, Mousumi  Bhattacharya, Mousami","10","1","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"12 57201118361 (i) on (i)","Chopdar, Prasanta Kr","10","8","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"13 55888601800 (i) on (i)","Jaipuria, Sanjita","10","4","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"14 57131498100 (i) on (i)","Mishra, Debasisha","10","4","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"15 57279705200 (i) on (i)","Kumar, Deepak","9","2","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"16 57209777010 (i) on (i)","Mandal, Pratap Chandra  Chandra Mandal, Pratap","9","2","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"17 57192433280 (i) on (i)","Mukherjee, Sanjoy","9","3","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
"18 56811241400 (i) on (i)","Kakoty, Sanjeeb","8","1","Indian Institute of Management Shillong","Shillong","India"
"","View last title","","","",""
"","","","","","",""
