"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57196104941 (i) on (i)","Ghosh, Arpita","20","9","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"2 57201954328 (i) on (i)","Dahiya, Rinki","19","6","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"3 57224775824 (i) on (i)","Kumar, Vikas","19","10","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"4 57040958900 (i) on (i)","Vandana","17","5","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"5 56743152900 (i) on (i)","Vashisht, Devika  Vashist, Devika","14","8","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"6 57209161080 (i) on (i)","Shah, Bhavin","12","7","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"7 57201056224 (i) on (i)","Srivastava, Shashi Kant","12","3","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"8 57188671817 (i) on (i)","Kunroo, Mohd Hussain","10","3","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"9 57212073590 (i) on (i)","Malik, Parul","10","5","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"10 57194032081 (i) on (i)","Pachayappan, Murugaiyan  Murugaiyan, Pachayappan","10","4","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"11 57209132275 (i) on (i)","Patra, Pradipta","10","2","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"12 57204183416 (i) on (i)","Dhurkari, Ram Kumar","9","2","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"13 57202099662 (i) on (i)","Singh, Sanjay","8","3","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"14 56743219800 (i) on (i)","Bhawsar, Pragya","7","3","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"15 57211625209 (i) on (i)","Paidipati, Kiran Kumar","7","3","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"16 57199389241 (i) on (i)","Sangwa, Narpat Ram","6","2","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"17 57344267100 (i) on (i)","Singh, Amrinder","6","1","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"18 57542061700 (i) on (i)","Shah, Bhavin","4","1","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"19 57672926800 (i) on (i)","Roy, Arijit K.  Roy, A. K.   Roy, Arijit","3","0","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"20 57218922592 (i) on (i)","Agrawal, Anshu","2","2","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"21 57191026846 (i) on (i)","Maidullah, Sana","2","1","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"22 57693160200 (i) on (i)","Sharma, Puneet S.  Sharma, Puneet   Sharma, P. S.","2","1","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"23 57741560300 (i) on (i)","Kumar, Ashish","1","0","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"24 57558860800 (i) on (i)","Kumar, Pankaj","1","0","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
"25 57529910800 (i) on (i)","Patra, Pradipta","1","1","Indian Institute of Management Sirmaur","Paonta Sahib","India"
"","View last title","","","",""
"","","","","","",""
