"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 55654661300 (i) on (i)","Kumar Sharma, Sujeet  Sharma, Sujeet Kumar   Sharma, Sujeet K.","54","23","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"2 57189497574 (i) on (i)","Pradhan, Sajeet","30","13","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"3 57197384277 (i) on (i)","Singh, Jang Bahadur  Singh, J. B.","17","6","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"4 56785878600 (i) on (i)","Gouda, Sirish Kumar  Gouda, Sirish","14","7","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"5 51763289200 (i) on (i)","Al-Salti, Zahran S.  Al-Salti, Zahran","13","6","Sultan Qaboos University","Muscat","Oman"
"","View last title","","","",""
"","","","","","",""
"6 15829503100 (i) on (i)","Godwin, T.","13","4","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"7 55855796900 (i) on (i)","Gajanand, M. S.  Gajanand, M. S.","12","4","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"8 56331212300 (i) on (i)","Mahajan, Varun","10","5","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"9 57147069000 (i) on (i)","Saravanan, Palanisamy  Saravanan, P.","10","4","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"10 57192927538 (i) on (i)","Maheswarappa, Satish Sasalu  Maheswarappa, Satish S.","9","5","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"11 57208003837 (i) on (i)","Gupta, Prashant  Gupta, P.","8","4","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"12 56798610600 (i) on (i)","Sreekumar, Hari","8","3","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"13 26433889600 (i) on (i)","Srirangacharyulu, B.","8","6","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"14 57196741367 (i) on (i)","Srivastava, Deepak Kumar  Srivastava, Deepak K.","8","5","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"15 56415093700 (i) on (i)","Totawar, Abhishek Kumar  Totawar, Abhishek K.   Totawar, Abhishek","8","3","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"16 57218172440 (i) on (i)","Joseph, Nidheesh","6","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"17 57201339095 (i) on (i)","Lanke, Parijat","6","3","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"18 55939406700 (i) on (i)","Manikandan, K. S.","6","4","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"19 54904185000 (i) on (i)","Nath, Papri","6","3","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"20 57210431883 (i) on (i)","Vimalkumar, M.  Vimalkumar, M.","6","3","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"21 56189511400 (i) on (i)","Gunupudi, Laxmi","5","1","Indian Institute of Management Bangalore","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"22 57185710000 (i) on (i)","Makhecha, Upam Pushpak","5","3","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"23 57191920575 (i) on (i)","Khare, Apoorv","4","3","Indian Institute of Management Tiruchirappalli","Tiruchirapalli","India"
"","View last title","","","",""
"","","","","","",""
"24 57210729254 (i) on (i)","Sanjith, S. L.","4","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"25 56323913100 (i) on (i)","Chattopadhyay, Smita Prashant","3","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"26 57212382379 (i) on (i)","Dixit, Bipin Kumar","3","2","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"27 56955757500 (i) on (i)","Mukundhan, K. V.  Mukundhan, K. V.","3","2","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"28 55370303600 (i) on (i)","Nithyananda, K. V.  Nithyananda, K. V.","3","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"29 57214690601 (i) on (i)","Shaik, Farheen Fathima","3","2","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"30 55175834100 (i) on (i)","Som, Anirban","3","2","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"31 56000392300 (i) on (i)","Antony, Suresh Paul","2","2","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"32 57697515700 (i) on (i)","Khare, Apoorv","2","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"33 57218569572 (i) on (i)","Ramesh, Nedun  Ramesh, N.","2","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"34 56006109200 (i) on (i)","Sivakumar, S.","2","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"35 57203881559 (i) on (i)","Thomas, Vinu Cheruvil","2","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"36 57203723274 (i) on (i)","Ahmed, Mueen","1","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"37 57659454000 (i) on (i)","Banerjee, Sumit","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"38 57194164642 (i) on (i)","Charkraborty, Ayon","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirapalli","India"
"","View last title","","","",""
"","","","","","",""
"39 57205574079 (i) on (i)","Cheruvil Thomas, Vinu","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirapalli","India"
"","View last title","","","",""
"","","","","","",""
"40 57226322334 (i) on (i)","Hariharan, M.","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"41 57787215300 (i) on (i)","Raghuraman, J.","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"42 57221113661 (i) on (i)","Raja, S. L.N.","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"43 57281026800 (i) on (i)","Rajan, E. Sownthara","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"44 57396889500 (i) on (i)","Rao, H. K.Lakshmana","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"45 57715064300 (i) on (i)","Sam, Oliver","1","0","Indian Institute of Management Tiruchirappalli","",""
"","View last title","","","",""
"","","","","","",""
"46 57215429789 (i) on (i)","Sukumaran, Rahul","1","1","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"47 57224197265 (i) on (i)","Sundarakamatchi, S.","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
"48 57710746800 (i) on (i)","Susan Mathew, Shalina","1","0","Indian Institute of Management Tiruchirappalli","Tiruchirappalli","India"
"","View last title","","","",""
"","","","","","",""
