"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 22986215600 (i) on (i)","Rose, Elizabeth L.  L Rose, Elizabeth   Rose, E. L.   Rose, Elizabeth L.   Rose, Elizabeth   Rose, E.","62","18","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"2 9739122800 (i) on (i)","Shah, Janat  Shah, J.","25","13","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"3 56532934400 (i) on (i)","Sharma, Prateek","18","5","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"4 55486425400 (i) on (i)","Agrawal, Tushar","16","9","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"5 57195578212 (i) on (i)","Rai, Arpana","15","7","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"6 57208383130 (i) on (i)","Das, Ujjwal","14","4","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"7 56121834100 (i) on (i)","Gupta, Saurabh","13","7","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"8 57203211399 (i) on (i)","Bhattacharyya, Samadrita  Bhattacharya, Samadrita","12","4","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"9 57212703735 (i) on (i)","Mitra, Debanjan","12","7","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"10 36442232100 (i) on (i)","Banerjee, Dina","11","4","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"11 57204878637 (i) on (i)","Adhikary, Anirban","9","5","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"12 56480346500 (i) on (i)","Doshi, Vijayta","9","3","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"13 55562078100 (i) on (i)","Kumar, Kunal Kamal","8","3","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"14 55695943600 (i) on (i)","Basu, Ranojoy","7","1","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"15 55801990800 (i) on (i)","Dutta, Manisha N. 				                Dutta, M.   Dutta, M. N.   Dutta, Manisha","7","2","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"16 15750091100 (i) on (i)","Damodaran, Uday","6","2","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"17 57201654390 (i) on (i)","Bhatia, Sandhya","5","3","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"18 56998648800 (i) on (i)","Kumawat, Govind Lal","5","4","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"19 57200793289 (i) on (i)","Memon, Nazia Zabin","5","3","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"20 57204129030 (i) on (i)","Mishra, Kirti","5","2","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"21 57221544041 (i) on (i)","Sanan, Neeti Khetarpal  Sanan, Neeti","5","4","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
"","","","","","",""
"22 57350028800 (i) on (i)","Shukla, Dhirendra Mani","5","3","Indian Institute of Management Udaipur","Udaipur","India"
"","View last title","","","",""
