"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57188841283 (i) on (i)","Shankar, Amit","41","15","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"2 55178224400 (i) on (i)","Chattopadhyay, Bhargab  Chattopadhyay, B.","19","6","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"3 55637251300 (i) on (i)","Sarma, P. R.S.  Sarma, P. R.S.   Sarma, Pappu Raja Sekhara   Sarma, Pappu R.S.   Sarma, PRS R.S.","18","8","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"4 57203206080 (i) on (i)","Singh Patyal, Vishal  Patyal, Vishal Singh","18","8","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"5 57209569661 (i) on (i)","Kumar, Aalok","13","9","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"6 57202910966 (i) on (i)","Kumari, Pooja","10","3","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"7 57191405488 (i) on (i)","Jawed, Mohammad Shameem","9","4","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"8 57191412074 (i) on (i)","Chakrabarti, Amit Baran  Chakrabarti, Amit B.","8","3","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"9 50061418100 (i) on (i)","Majumdar, Bishakha","7","2","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"10 57194568081 (i) on (i)","Pandey, Neena","7","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"11 57195058475 (i) on (i)","Titiyal, Rohit","7","3","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"12 57208760416 (i) on (i)","Vishwakarma, Pankaj","6","4","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"13 56742941000 (i) on (i)","Agnihotri, Shalini","4","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"14 57192072965 (i) on (i)","Pani, Saroj Kumar","4","2","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"15 56203097800 (i) on (i)","Patel, Shivshanker Singh","4","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"16 57210272269 (i) on (i)","Subramanian, Balaji","4","3","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"17 57212764735 (i) on (i)","Krishnan, Kaveri","3","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"18 57225338765 (i) on (i)","Chakraborty, Tamali","2","0","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"19 57291972200 (i) on (i)","Kolukuluri, Kalyan","2","0","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"20 57741553900 (i) on (i)","Kumar, Aman Prashanth  Kumar, Aman   Kumar, A. Prashanth","2","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"21 57209278886 (i) on (i)","Kumar, Ankit","2","2","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"22 57215695458 (i) on (i)","More, Ajay","2","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"23 57215607001 (i) on (i)","Sharma, Anupama","2","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"24 57824668800 (i) on (i)","Chakraborty, Tamali","1","0","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"25 57811023200 (i) on (i)","Ganti, Subrahmanyam","1","0","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"26 57716796100 (i) on (i)","Moturu, Venkata Rajasekhar","1","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"27 57411408900 (i) on (i)","M.v, Anuradha  M.V, Anuradha","1","0","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"28 57716030500 (i) on (i)","Nethi, Srinivas Dinakar","1","1","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
"29 57855522200 (i) on (i)","Singh Patel, Shivshanker","1","0","Indian Institute of Management, Visakhapatnam","Visakhapatnam","India"
"","View last title","","","",""
"","","","","","",""
